"","MYEAR","inventory1","inventory1b","inventory1lm","inventoryC"
"1",1986,36927.756039857,35912.3256007639,31258.69802267,11101.620467784
"2",1987,47466.6842065053,45944.2459861806,40633.6194843085,5043.40138779542
"3",1988,52329.8921294583,50746.8820215414,45666.574640054,3774.44248618248
"4",1989,47583.2783148173,45954.4991303788,41759.578108984,4744.7334040929
"5",1990,32155.4525506416,31220.1245952858,31393.2024731172,4218.84556568014
"6",1991,21435.8661359535,20963.9171945486,20736.9203596771,3460.50761532113
"7",1992,18960.3842973975,18555.9357555187,18834.3951506459,3006.15994780099
"8",1993,13555.3275165108,13275.9900783685,13254.280413235,2834.57710183324
"9",1994,13813.6663070623,13538.3296777423,13953.9068803991,2474.09558695885
"10",1995,6916.77139137932,6770.7599612989,6870.15992255251,1986.39370775328
"11",1996,6286.84005384835,6155.92855978187,6471.25362494222,2631.77572304102
"12",1997,5160.29589920506,5064.55684812293,5231.93156949902,2198.54628177138
"13",1998,4133.00528140986,4053.05868849216,4126.13137283069,2589.28726444854
"14",1999,2989.19006574164,2931.58460303061,3016.24059485326,2082.90877818025
"15",2000,3053.4812165003,2992.37006414078,2997.42583230502,2456.65151313876
"16",2001,4856.66166908351,4732.5860395741,4632.87866840665,3013.89766587582
"17",2002,3566.30348980625,3488.72906826032,3631.69991930081,1508.55893512701
"18",2003,2894.07909424353,2759.54343322699,2927.42970905329,1352.18132762514
"19",2004,3001.18380017821,2892.97973454771,3041.32872823911,1420.67186089074
"20",2005,2088.85477209437,2010.14959487812,2137.35599271615,1408.81756242528
"21",2006,1532.00895587778,1469.30571560728,1544.6370810456,1218.95048385127
"22",2007,1234.18664353146,1180.18919208487,1262.85326508006,1112.95173344925
"23",2008,1096.90889842929,1062.95373356395,1153.74210004923,997.67673155136
"24",2009,809.539251677934,780.879182751854,859.086089436694,839.737739802886
"25",2010,886.639826614237,849.945898256291,925.869563861413,865.32027287366
"26",2011,720.249741311418,688.325818732976,744.503968669434,790.2539565984
