STATION_SEQ,STATION_ID,EASTING,NORTHING,time,MYEAR,RESULT,UNITS,LONGITUDE,LATITUDE,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1013506,HSB143D,437502.01,3681783.25,3/4/1991,1991,13000,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/12/1991,1991,19300,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/29/1991,1991,10600,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/11/1991,1991,16700,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/15/1992,1992,12500,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/24/1992,1992,12900,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/21/1992,1992,10500,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,11/6/1992,1992,10400,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/25/1993,1993,14000,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/21/1993,1993,11700,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/7/1993,1993,9720,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/15/1993,1993,9770,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/24/1994,1994,8300,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/29/1994,1994,9740,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/18/1994,1994,9880,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/14/1994,1994,10900,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/19/1995,1995,11400,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/5/1995,1995,10100,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/6/1995,1995,12100,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/20/1995,1995,10000,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/23/1996,1996,10900,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/17/1996,1996,9940,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/15/1996,1996,10800,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/24/1996,1996,11400,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/24/1997,1997,9560,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/17/1997,1997,9580,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/17/1997,1997,9200,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/14/1997,1997,8930,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/2/1997,1997,8700,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/28/1998,1998,12920,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/28/1998,1998,11400,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/28/1998,1998,12400,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/28/1998,1998,10900,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/15/1998,1998,9940,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/14/1998,1998,7070,pCi/L,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/5/1998,1998,9070,525,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/19/1999,1999,6150,633,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/20/1999,1999,8320,661,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/16/1999,1999,6490,576,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/6/1999,1999,5790,543,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/25/2000,2000,6840,545,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/25/2000,2000,7820,541,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,8/19/2000,2000,8010,607,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/16/2000,2000,8120,616,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/16/2000,2000,8050,618,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,2/1/2001,2001,7240,629,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/12/2001,2001,8630,717,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,8/13/2001,2001,7130,436,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/5/2001,2001,6910,400,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,12/6/2001,2001,6550,260,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,2/23/2002,2002,6960,242,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/25/2002,2002,6810,407,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,8/5/2002,2002,7240,575,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/30/2002,2002,6280,617,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,2/4/2003,2003,13400,570,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,2/24/2003,2003,6430,597,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/24/2003,2003,11600,361,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/23/2003,2003,25400,636,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,8/4/2003,2003,8970,431,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,11/12/2003,2003,8400,292,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,3/1/2004,2004,8100,346,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/29/2004,2004,6004.81,796.43,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/29/2004,2004,6090,822,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,10/20/2004,2004,6470,827,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,3/2/2005,2005,6040,813,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,4/21/2005,2005,6180,892,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/21/2005,2005,7170,876,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,11/1/2005,2005,5790,996,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,1/19/2006,2006,14400,525,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,5/4/2006,2006,5490,657,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/25/2006,2006,5010,340,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,11/1/2006,2006,5240,844,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
1013506,HSB143D,437502.01,3681783.25,7/26/2007,2007,5070,440,-81.67109869,33.27500317,220.9,223.1,219.1,199.1
