STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
28578762,FSB130D,436743.637,3681291.874,33.2705269,-81.67920723,2006-08-01 00:00:00,2006-07-25 00:00:00,2006-08-01 00:00:00,2006,CESIUM-137,2.12,pCi/L,19.3,pCi/L,30350899,30281826,231.96000000000001,234.78999999999999,199.78999999999999,189.78
28578762,FSB130D,436743.637,3681291.874,33.2705269,-81.67920723,2006-08-01 00:00:00,2006-07-25 00:00:00,2006-08-01 00:00:00,2006,CESIUM-137,-5.79,pCi/L,20.6,pCi/L,30350897,30281826,231.96000000000001,234.78999999999999,199.78999999999999,189.78
1013117,FSB122D,436355.5,3680990.67,33.2677873367,-81.6833533875,2006-08-07 00:00:00,2006-07-28 00:00:00,2006-08-07 00:00:00,2006,CESIUM-137,-1.04,pCi/L,17.7,pCi/L,30350869,30281816,215.59999999999999,217.80000000000001,208.80000000000001,188.80000000000001
1013110,FSB118D,436963.66,3681747.11,33.2746458614,-81.6768765867,2006-08-07 00:00:00,2006-07-28 00:00:00,2006-08-07 00:00:00,2006,CESIUM-137,-0.988,pCi/L,17.7,pCi/L,30350871,30281810,241.30000000000001,243.40000000000001,213.40000000000001,193.40000000000001
28661815,FSB132D,436587.224,3681202.619,33.26971269,-81.68088035,2006-08-20 00:00:00,2006-08-09 00:00:00,2006-08-20 00:00:00,2006,CESIUM-137,-1.27,pCi/L,23,pCi/L,30358926,30281833,219.44999999999999,222.47999999999999,195.41999999999999,185.43000000000001
28661817,FSB134D,436507.234,3681156.376,33.26929089,-81.68173593,2006-08-19 00:00:00,2006-08-09 00:00:00,2006-08-19 00:00:00,2006,CESIUM-137,-1.91,pCi/L,19.4,pCi/L,30358922,30281835,220.22999999999999,223.30000000000001,193.63,183.63
1013104,FSB114D,437042.39,3682023.28,33.2771414103,-81.6760504428,2006-02-21 00:00:00,2006-01-24 00:00:00,2006-02-21 00:00:00,2006,CESIUM-137,-0.622,pCi/L,12.1,pCi/L,29780061,29726897,250.19999999999999,252.40000000000001,220,199.90000000000001
1013034,FSB 77,436747.53,3681752.41,33.2746810077,-81.6791975931,2006-02-21 00:00:00,2006-01-24 00:00:00,2006-02-21 00:00:00,2006,CESIUM-137,-0.873,pCi/L,11.9,pCi/L,29780142,29726836,271.39999999999998,273.39999999999998,218.39999999999998,188.39999999999998
1013119,FSB123D,437100.86,3681796.02,33.2750950238,-81.6754068355,2006-02-17 00:00:00,2006-01-25 00:00:00,2006-02-17 00:00:00,2006,CESIUM-137,1.21,pCi/L,7.71,pCi/L,29782526,29726911,236.09999999999999,238.30000000000001,216.30000000000001,196.30000000000001
1013119,FSB123D,437100.86,3681796.02,33.2750950238,-81.6754068355,2006-02-19 00:00:00,2006-01-25 00:00:00,2006-02-19 00:00:00,2006,CESIUM-137,-1.01,pCi/L,6.61,pCi/L,29782652,29726911,236.09999999999999,238.30000000000001,216.30000000000001,196.30000000000001
