"","MYEAR","inventory1","inventory1b","inventory1lm"
"1",1984,20044.4039939441,19677.6409411461,18991.3173361309
"2",1985,27429.9032182605,26635.4466097433,25438.265292358
"3",1986,36927.756039857,35912.3256007639,31258.69802267
"4",1987,47466.6842065053,45944.2459861806,40633.6194843085
"5",1988,53144.973224755,51525.2287886371,45713.119319004
"6",1989,49248.4266986109,47550.7702784776,42711.7393571782
"7",1990,32846.2455506892,31884.8218446385,31746.4016035353
"8",1991,22469.6908455003,21973.0215358304,21440.5493586672
"9",1992,19827.4574675313,19402.8625673787,19482.5585292448
"10",1993,14008.7808512791,13718.9521256568,13555.3683068918
"11",1994,14296.1030381386,14010.4408892778,14291.7308829709
"12",1995,7209.64595480397,7056.95388812652,7086.89114696451
"13",1996,6445.44658933402,6310.83109026448,6553.51275794963
"14",1997,5321.50654733678,5222.78514264323,5338.65034005042
"15",1998,4278.30012596696,4195.34096607429,4231.43149748584
"16",1999,3117.14564827612,3056.98365927769,3110.44322420429
"17",2000,3191.64850602832,3127.70148914167,3129.05078425168
"18",2001,5005.01664986944,4876.66202075189,4708.83418295375
"19",2002,3474.03023105293,3398.40959791006,3495.68349758361
"20",2003,2827.16245081718,2694.84477248327,2838.14118305965
"21",2004,2888.83262747761,2784.25068015573,2917.95332161643
"22",2005,1882.94254424623,1811.67421116584,1920.18919968797
"23",2006,1479.84510128158,1418.95206418403,1486.47495155034
"24",2007,1205.17388498629,1152.14869629456,1227.62001112017
"25",2008,1076.15267102378,1042.74792510756,1125.59909885342
"26",2009,797.451447548795,769.119594768145,840.784079231934
"27",2010,858.931929172282,823.194189191555,891.41854956154
"28",2011,717.297304911063,685.329408644019,736.420084662484
