STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1014757,FSB121DR,436180.98,3681348.47,33.2710042414,-81.6852523038,1993-09-07 00:00:00,1993-08-21 00:00:00,1993-09-07 00:00:00,1993,IODINE-129,3.66,pCi/L,2,pCi/L,23582946,15257112,253.65000000000001,256.51999999999998,214.51999999999998,194.51999999999998
1013058,FSB 93D,436726.51,3681646.31,33.2737227929,-81.6794158776,1993-09-02 00:00:00,1993-08-10 00:00:00,1993-09-02 00:00:00,1993,IODINE-129,63.8,pCi/L,2,pCi/L,23582932,15256848,273.89999999999998,276.55000000000001,220.55000000000001,200.55000000000001
1013073,FSB 98D,436555.87,3681704.28,33.2742356329,-81.6812521179,1993-09-02 00:00:00,1993-08-20 00:00:00,1993-09-02 00:00:00,1993,IODINE-129,20.4,pCi/L,2,pCi/L,23582931,15257046,282.30000000000001,284.60000000000002,222.60000000000002,202.60000000000002
1013093,FSB110D,436774.62,3681419.31,33.2716781612,-81.6788834706,1993-06-15 00:00:00,1993-05-09 00:00:00,1993-06-15 00:00:00,1993,IODINE-129,370,pCi/L,2,pCi/L,23565442,15253162,232.59999999999999,234.69999999999999,213.19999999999999,193.19999999999999
1013117,FSB122D,436355.5,3680990.67,33.2677873367,-81.6833533875,1993-09-08 00:00:00,1993-08-22 00:00:00,1993-09-08 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582966,15257228,215.59999999999999,217.80000000000001,208.80000000000001,188.80000000000001
1013104,FSB114D,437042.39,3682023.28,33.2771414103,-81.6760504428,1993-08-27 00:00:00,1993-08-20 00:00:00,1993-08-27 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582991,15257074,250.19999999999999,252.40000000000001,220,199.90000000000001
1013034,FSB 77,436747.53,3681752.41,33.2746810077,-81.6791975931,1993-10-26 00:00:00,1993-08-03 00:00:00,1993-10-26 00:00:00,1993,IODINE-129,170,pCi/L,2,pCi/L,23582859,15255844,271.39999999999998,273.39999999999998,218.39999999999998,188.39999999999998
1013076,FSB 99D,436551.56,3681821.67,33.2752941917,-81.6813066187,1993-09-02 00:00:00,1993-08-20 00:00:00,1993-09-02 00:00:00,1993,IODINE-129,2,pCi/L,2,pCi/L,23582980,15257034,285.10000000000002,287.80000000000001,220.80000000000001,200.80000000000001
1013052,FSB 90D,436808.49,3681890.06,33.2759261326,-81.6785526557,1993-10-27 00:00:00,1993-08-05 00:00:00,1993-10-27 00:00:00,1993,IODINE-129,129,pCi/L,2,pCi/L,23582840,15255960,276.10000000000002,279.07999999999998,228.07999999999998,208.07999999999998
1013061,FSB 94DR,436658.67,3681589.61,33.2732073975,-81.6801403179,1993-09-03 00:00:00,1993-08-21 00:00:00,1993-09-03 00:00:00,1993,IODINE-129,183,pCi/L,2,pCi/L,23582943,15257160,278.39999999999998,281.26999999999998,206.26999999999998,186.16999999999999
