STATION_SEQ|STATION_ID|EASTING|NORTHING|LATITUDE|LONGITUDE|ANALYSIS_DATE|COLLECTION_DATE|MDATE|MYEAR|MMONTH|MDAY|MQUARTER|ANALYTE_NAME|RESULT|RESULT_UNITS|PQL|PQL_UNITS|RESULT_SEQ|SAMPLE_SEQ|GROUND_ELEVATION|REFERENCE_ELEVATION|TOP_ELEV|BOTTOM_ELEV
1013091|FSB109D|436561.94|3681891.12|33.2759212146|-81.6812000302|1989-11-07 00:00:00|1989-10-15 00:00:00|1989-11-07 00:00:00|1989|11|7|4|NITRATE|3300|ug/L|||22525111|15341684|290.80000000000001|293.30000000000001|228.30000000000001|208.30000000000001
1013093|FSB110D|436774.62|3681419.31|33.2716781612|-81.6788834706|1989-07-27 00:00:00|1989-07-03 00:00:00|1989-07-27 00:00:00|1989|7|27|3|NITRATE|550000|ug/L|||22525599|15334841|232.59999999999999|234.69999999999999|213.19999999999999|193.19999999999999
1013090|FSB108D|436650.39|3682108.07|33.2778832202|-81.6802654854|1989-07-21 00:00:00|1989-07-02 00:00:00|1989-07-21 00:00:00|1989|7|21|3|NITRATE|230|ug/L|||22525602|15334742|295.80000000000001|298.19999999999999|226.19999999999999|206.19999999999999
1013052|FSB 90D|436808.49|3681890.06|33.2759261326|-81.6785526557|1989-11-08 00:00:00|1989-10-15 00:00:00|1989-11-08 00:00:00|1989|11|8|4|NITRATE|140000|ug/L|||22525143|15341794|276.10000000000002|279.07999999999998|228.07999999999998|208.07999999999998
1013090|FSB108D|436650.39|3682108.07|33.2778832202|-81.6802654854|1989-06-01 00:00:00|1989-05-21 00:00:00|1989-06-01 00:00:00|1989|6|1|2|NITRATE|1600|ug/L|||22526174|15331050|295.80000000000001|298.19999999999999|226.19999999999999|206.19999999999999
1013104|FSB114D|437042.39|3682023.28|33.2771414103|-81.6760504428|1992-07-08 00:00:00|1992-07-04 00:00:00|1992-07-08 00:00:00|1992|7|8|3|NITRATE-NITRITE AS NITROGEN|2380|ug/L|50|ug/L|24313354|15239042|250.19999999999999|252.40000000000001|220|199.90000000000001
1013101|FSB113D|437017.23|3681581.41|33.2731544403|-81.6762898712|1992-07-08 00:00:00|1992-07-04 00:00:00|1992-07-08 00:00:00|1992|7|8|3|NITRATE-NITRITE AS NITROGEN|840|ug/L|50|ug/L|24358303|15239048|220.59999999999999|222.59999999999999|211.59999999999999|191.59999999999999
1013111|FSB119D|436814.81|3681601.74|33.2733259665|-81.6784646816|1992-11-28 00:00:00|1992-11-20 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|268000|ug/L|50|ug/L|24452045|15243020|252.09999999999999|254.30000000000001|215.30000000000001|195.30000000000001
1013111|FSB119D|436814.81|3681601.74|33.2733259665|-81.6784646816|1992-11-28 00:00:00|1992-11-20 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|263000|ug/L|50|ug/L|24362032|15243020|252.09999999999999|254.30000000000001|215.30000000000001|195.30000000000001
1014757|FSB121DR|436180.98|3681348.47|33.2710042414|-81.6852523038|1992-12-06 00:00:00|1992-11-20 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|18600|ug/L|50|ug/L|24429465|15243018|253.65000000000001|256.51999999999998|214.51999999999998|194.51999999999998
1013108|FSB116D|437157.74|3681145.72|33.2692328757|-81.6747509839|1992-12-06 00:00:00|1992-11-20 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|100|ug/L|50|ug/L|24384381|15243026|200.90000000000001|203.09999999999999|198.59999999999999|188.59999999999999
1013114|FSB120D|436287.06|3681582.78|33.2731238996|-81.6841298283|1992-12-06 00:00:00|1992-11-20 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|70|ug/L|50|ug/L|24429459|15243016|278.5|280.61000000000001|218.61000000000001|198.61000000000001
1013117|FSB122D|436355.5|3680990.67|33.2677873367|-81.6833533875|1992-12-06 00:00:00|1992-11-19 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|14400|ug/L|50|ug/L|24339703|15243010|215.59999999999999|217.80000000000001|208.80000000000001|188.80000000000001
1013111|FSB119D|436814.81|3681601.74|33.2733259665|-81.6784646816|1993-03-08 00:00:00|1993-02-25 00:00:00|1993-03-08 00:00:00|1993|3|8|1|NITRATE-NITRITE AS NITROGEN|272000|ug/L|50|ug/L|23271260|15247242|252.09999999999999|254.30000000000001|215.30000000000001|195.30000000000001
1013506|HSB143D|437502.01|3681783.25|33.2750031709|-81.6710986897|1992-11-13 00:00:00|1992-11-06 00:00:00|1992-11-13 00:00:00|1992|11|13|4|NITRATE-NITRITE AS NITROGEN|670|ug/L|50|ug/L|24406496|15242576|220.90000000000001|223.09999999999999|219.09999999999999|199.09999999999999
1013039|FSB 79|436869.23|3681288.35|33.2705024942|-81.6778585296|1992-11-17 00:00:00|1992-11-10 00:00:00|1992-11-17 00:00:00|1992|11|17|4|NITRATE-NITRITE AS NITROGEN|388000|ug/L|50|ug/L|24361669|15242458|216.09999999999999|218|206|176
1013087|FSB106D|436896.66|3681508.04|33.2724856211|-81.6775793253|1992-12-06 00:00:00|1992-11-18 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|220|ug/L|50|ug/L|24429255|15242972|232.69999999999999|235.61000000000001|225.61000000000001|205.61000000000001
1013058|FSB 93D|436726.51|3681646.31|33.2737227929|-81.6794158776|1992-11-28 00:00:00|1992-11-18 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|126000|ug/L|50|ug/L|24451866|15242954|273.89999999999998|276.55000000000001|220.55000000000001|200.55000000000001
1013061|FSB 94DR|436658.67|3681589.61|33.2732073975|-81.6801403179|1992-11-28 00:00:00|1992-11-17 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|445000|ug/L|50|ug/L|24384292|15242928|278.39999999999998|281.26999999999998|206.26999999999998|186.16999999999999
1013085|FSB105DR|436509.61|3681627.72|33.2735423683|-81.6817434527|1992-11-28 00:00:00|1992-11-18 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|360000|ug/L|50|ug/L|24429429|15242962|283.60000000000002|286.26999999999998|211.26999999999998|191.16999999999999
1013119|FSB123D|437100.86|3681796.02|33.2750950238|-81.6754068355|1992-12-06 00:00:00|1992-11-20 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|2580|ug/L|50|ug/L|24361870|15243032|236.09999999999999|238.30000000000001|216.30000000000001|196.30000000000001
1013119|FSB123D|437100.86|3681796.02|33.2750950238|-81.6754068355|1992-12-06 00:00:00|1992-11-20 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|2520|ug/L|50|ug/L|24361871|15243032|236.09999999999999|238.30000000000001|216.30000000000001|196.30000000000001
1013048|FSB 88D|436859.74|3682019.67|33.2770981678|-81.6780114013|1992-11-17 00:00:00|1992-11-10 00:00:00|1992-11-17 00:00:00|1992|11|17|4|NITRATE-NITRITE AS NITROGEN|42000|ug/L|50|ug/L|24474105|15242448|280.10000000000002|282.5|224.5|204.5
1013095|FSB111D|436899.85|3681958.82|33.2765516724|-81.6775764793|1992-12-06 00:00:00|1992-11-19 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|1040|ug/L|50|ug/L|24384303|15242996|274.39999999999998|276.80000000000001|224.10000000000002|204.10000000000002
1013056|FSB 92D|436724.22|3681703.93|33.2742423689|-81.6794444909|1992-11-28 00:00:00|1992-11-16 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|290000|ug/L|50|ug/L|24316900|15242924|273.69999999999999|276.39999999999998|224.39999999999998|204.39999999999998
1013052|FSB 90D|436808.49|3681890.06|33.2759261326|-81.6785526557|1992-11-28 00:00:00|1992-11-12 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|57000|ug/L|50|ug/L|24339511|15242804|276.10000000000002|279.07999999999998|228.07999999999998|208.07999999999998
1013050|FSB 89D|436825.82|3681967.27|33.2766235528|-81.6783719628|1992-12-06 00:00:00|1992-11-12 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|37400|ug/L|50|ug/L|24406602|15242802|278.89999999999998|281.61000000000001|224.61000000000001|204.61000000000001
1013110|FSB118D|436963.66|3681747.11|33.2746458614|-81.6768765867|1992-12-06 00:00:00|1992-11-20 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|1310|ug/L|50|ug/L|24339682|15243036|241.30000000000001|243.40000000000001|213.40000000000001|193.40000000000001
1013082|FSB104D|436615.14|3681179.56|33.2695063444|-81.6805790096|1992-11-28 00:00:00|1992-11-17 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|122000|ug/L|50|ug/L|24339666|15242944|216.90000000000001|219.40000000000001|212.90000000000001|192.90000000000001
1013095|FSB111D|436899.85|3681958.82|33.2765516724|-81.6775764793|1992-07-16 00:00:00|1992-07-10 00:00:00|1992-07-16 00:00:00|1992|7|16|3|NITRATE-NITRITE AS NITROGEN|1170|ug/L|50|ug/L|24471075|15239250|274.39999999999998|276.80000000000001|224.10000000000002|204.10000000000002
1013034|FSB 77|436747.53|3681752.41|33.2746810077|-81.6791975931|1992-11-17 00:00:00|1992-11-10 00:00:00|1992-11-17 00:00:00|1992|11|17|4|NITRATE-NITRITE AS NITROGEN|139000|ug/L|50|ug/L|24339398|15242444|271.39999999999998|273.39999999999998|218.39999999999998|188.39999999999998
1013076|FSB 99D|436551.56|3681821.67|33.2752941917|-81.6813066187|1992-12-08 00:00:00|1992-11-17 00:00:00|1992-12-08 00:00:00|1992|12|8|4|NITRATE-NITRITE AS NITROGEN|2160|ug/L|50|ug/L|24474278|15242936|285.10000000000002|287.80000000000001|220.80000000000001|200.80000000000001
1013098|FSB112D|436433.73|3681182.62|33.2695232666|-81.6825269486|1992-11-28 00:00:00|1992-11-19 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|240000|ug/L|50|ug/L|24429514|15243000|227.59999999999999|230.38999999999999|211.69|191.69
1013091|FSB109D|436561.94|3681891.12|33.2759212146|-81.6812000302|1992-12-06 00:00:00|1992-11-19 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|880|ug/L|50|ug/L|24474288|15242986|290.80000000000001|293.30000000000001|228.30000000000001|208.30000000000001
1013106|FSB115D|436975.69|3680929.11|33.2672685094|-81.6766905079|1992-12-06 00:00:00|1992-11-20 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|420|ug/L|50|ug/L|24317101|15243030|206.5|208.69999999999999|194.69999999999999|184.69999999999999
1013073|FSB 98D|436555.87|3681704.28|33.2742356329|-81.6812521179|1992-11-28 00:00:00|1992-11-15 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|188000|ug/L|50|ug/L|24406752|15242910|282.30000000000001|284.60000000000002|222.60000000000002|202.60000000000002
1013073|FSB 98D|436555.87|3681704.28|33.2742356329|-81.6812521179|1992-11-28 00:00:00|1992-11-15 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|183000|ug/L|50|ug/L|24451878|15242910|282.30000000000001|284.60000000000002|222.60000000000002|202.60000000000002
1013070|FSB 97D|436555.16|3681634.79|33.2736088181|-81.6812548738|1992-11-28 00:00:00|1992-11-18 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|388000|ug/L|50|ug/L|24474348|15242960|283.89999999999998|286.19999999999999|219.19999999999999|199.19999999999999
1015608|FSL  6D|436709.94|3682329.47|33.2798836596|-81.6796415345|1992-09-03 00:00:00|1992-08-30 00:00:00|1992-09-03 00:00:00|1992|9|3|3|NITRATE-NITRITE AS NITROGEN|26500|ug/L|50|ug/L|24450427|15241526|284.10000000000002|286.80000000000001|224.80000000000001|204.80000000000001
1013052|FSB 90D|436808.49|3681890.06|33.2759261326|-81.6785526557|1993-02-28 00:00:00|1993-02-20 00:00:00|1993-02-28 00:00:00|1993|2|28|1|NITRATE-NITRITE AS NITROGEN|74000|ug/L|50|ug/L|23271305|15246966|276.10000000000002|279.07999999999998|228.07999999999998|208.07999999999998
1013109|FSB117D|436881.7|3681450.94|33.271969725|-81.6777359715|1993-03-08 00:00:00|1993-02-24 00:00:00|1993-03-08 00:00:00|1993|3|8|1|NITRATE-NITRITE AS NITROGEN|68000|ug/L|50|ug/L|23271261|15247186|228.69999999999999|230.90000000000001|211.90000000000001|191.90000000000001
1013109|FSB117D|436881.7|3681450.94|33.271969725|-81.6777359715|1993-03-08 00:00:00|1993-02-24 00:00:00|1993-03-08 00:00:00|1993|3|8|1|NITRATE-NITRITE AS NITROGEN|68000|ug/L|50|ug/L|23271262|15247186|228.69999999999999|230.90000000000001|211.90000000000001|191.90000000000001
1013070|FSB 97D|436555.16|3681634.79|33.2736088181|-81.6812548738|1993-02-28 00:00:00|1993-02-21 00:00:00|1993-02-28 00:00:00|1993|2|28|1|NITRATE-NITRITE AS NITROGEN|378000|ug/L|50|ug/L|23271300|15246980|283.89999999999998|286.19999999999999|219.19999999999999|199.19999999999999
1013090|FSB108D|436650.39|3682108.07|33.2778832202|-81.6802654854|1993-03-04 00:00:00|1993-02-25 00:00:00|1993-03-04 00:00:00|1993|3|4|1|NITRATE-NITRITE AS NITROGEN|1040|ug/L|50|ug/L|23271270|15247228|295.80000000000001|298.19999999999999|226.19999999999999|206.19999999999999
1013082|FSB104D|436615.14|3681179.56|33.2695063444|-81.6805790096|1992-07-20 00:00:00|1992-07-13 00:00:00|1992-07-20 00:00:00|1992|7|20|3|NITRATE-NITRITE AS NITROGEN|122000|ug/L|50|ug/L|24426280|15239696|216.90000000000001|219.40000000000001|212.90000000000001|192.90000000000001
1013123|FSS  4D|437207.15|3682240.91|33.2791139594|-81.6742964169|1992-07-18 00:00:00|1992-07-10 00:00:00|1992-07-18 00:00:00|1992|7|18|3|NITRATE|2340|ug/L|20|ug/L|24389904|15239350|289.80000000000001|292|224.80000000000001|204.80000000000001
1013030|FSB 76|436732.48|3682122.94|33.2780221625|-81.6793850732|1993-02-25 00:00:00|1993-02-11 00:00:00|1993-02-25 00:00:00|1993|2|25|1|NITRATE-NITRITE AS NITROGEN|6800|ug/L|50|ug/L|23271447|15246286|292|294.39999999999998|229.39999999999998|199.39999999999998
1013039|FSB 79|436869.23|3681288.35|33.2705024942|-81.6778585296|1993-02-22 00:00:00|1993-02-17 00:00:00|1993-02-22 00:00:00|1993|2|22|1|NITRATE-NITRITE AS NITROGEN|174000|ug/L|50|ug/L|23271387|15246836|216.09999999999999|218|206|176
1013048|FSB 88D|436859.74|3682019.67|33.2770981678|-81.6780114013|1993-02-28 00:00:00|1993-02-18 00:00:00|1993-02-28 00:00:00|1993|2|28|1|NITRATE-NITRITE AS NITROGEN|48000|ug/L|50|ug/L|23271357|15246888|280.10000000000002|282.5|224.5|204.5
1013108|FSB116D|437157.74|3681145.72|33.2692328757|-81.6747509839|1993-02-26 00:00:00|1993-02-19 00:00:00|1993-02-26 00:00:00|1993|2|26|1|NITRATE-NITRITE AS NITROGEN|210|ug/L|50|ug/L|23271331|15246918|200.90000000000001|203.09999999999999|198.59999999999999|188.59999999999999
1013119|FSB123D|437100.86|3681796.02|33.2750950238|-81.6754068355|1993-03-05 00:00:00|1993-02-12 00:00:00|1993-03-05 00:00:00|1993|3|5|1|NITRATE|2240|ug/L|20|ug/L|23540140|15246346|236.09999999999999|238.30000000000001|216.30000000000001|196.30000000000001
1013119|FSB123D|437100.86|3681796.02|33.2750950238|-81.6754068355|1993-03-05 00:00:00|1993-02-12 00:00:00|1993-03-05 00:00:00|1993|3|5|1|NITRATE|1940|ug/L|20|ug/L|23540141|15246346|236.09999999999999|238.30000000000001|216.30000000000001|196.30000000000001
1013117|FSB122D|436355.5|3680990.67|33.2677873367|-81.6833533875|1993-03-04 00:00:00|1993-02-24 00:00:00|1993-03-04 00:00:00|1993|3|4|1|NITRATE-NITRITE AS NITROGEN|6300|ug/L|50|ug/L|23271254|15247220|215.59999999999999|217.80000000000001|208.80000000000001|188.80000000000001
1013091|FSB109D|436561.94|3681891.12|33.2759212146|-81.6812000302|1993-03-04 00:00:00|1993-02-25 00:00:00|1993-03-04 00:00:00|1993|3|4|1|NITRATE-NITRITE AS NITROGEN|900|ug/L|50|ug/L|23271295|15247232|290.80000000000001|293.30000000000001|228.30000000000001|208.30000000000001
1013056|FSB 92D|436724.22|3681703.93|33.2742423689|-81.6794444909|1993-02-28 00:00:00|1993-02-19 00:00:00|1993-02-28 00:00:00|1993|2|28|1|NITRATE-NITRITE AS NITROGEN|1.31e+006|ug/L|50|ug/L|23271353|15246892|273.69999999999999|276.39999999999998|224.39999999999998|204.39999999999998
1013090|FSB108D|436650.39|3682108.07|33.2778832202|-81.6802654854|1993-01-15 00:00:00|1993-01-12 00:00:00|1993-01-15 00:00:00|1993|1|15|1|NITRATE-NITRITE AS NITROGEN|1000|ug/L|50|ug/L|23271995|15244742|295.80000000000001|298.19999999999999|226.19999999999999|206.19999999999999
1013098|FSB112D|436433.73|3681182.62|33.2695232666|-81.6825269486|1993-03-08 00:00:00|1993-02-24 00:00:00|1993-03-08 00:00:00|1993|3|8|1|NITRATE-NITRITE AS NITROGEN|230000|ug/L|50|ug/L|23271263|15247164|227.59999999999999|230.38999999999999|211.69|191.69
1013123|FSS  4D|437207.15|3682240.91|33.2791139594|-81.6742964169|1993-03-05 00:00:00|1993-02-19 00:00:00|1993-03-05 00:00:00|1993|3|5|1|NITRATE|1880|ug/L|20|ug/L|23540120|15246776|289.80000000000001|292|224.80000000000001|204.80000000000001
1013106|FSB115D|436975.69|3680929.11|33.2672685094|-81.6766905079|1993-02-26 00:00:00|1993-02-19 00:00:00|1993-02-26 00:00:00|1993|2|26|1|NITRATE-NITRITE AS NITROGEN|100|ug/L|50|ug/L|23271333|15246930|206.5|208.69999999999999|194.69999999999999|184.69999999999999
1013106|FSB115D|436975.69|3680929.11|33.2672685094|-81.6766905079|1993-02-26 00:00:00|1993-02-19 00:00:00|1993-02-26 00:00:00|1993|2|26|1|NITRATE-NITRITE AS NITROGEN|100|ug/L|50|ug/L|23271425|15246930|206.5|208.69999999999999|194.69999999999999|184.69999999999999
1013030|FSB 76|436732.48|3682122.94|33.2780221625|-81.6793850732|1992-11-17 00:00:00|1992-11-10 00:00:00|1992-11-17 00:00:00|1992|11|17|4|NITRATE-NITRITE AS NITROGEN|13700|ug/L|50|ug/L|24339293|15242436|292|294.39999999999998|229.39999999999998|199.39999999999998
1013030|FSB 76|436732.48|3682122.94|33.2780221625|-81.6793850732|1992-11-17 00:00:00|1992-11-10 00:00:00|1992-11-17 00:00:00|1992|11|17|4|NITRATE-NITRITE AS NITROGEN|13100|ug/L|50|ug/L|24339294|15242436|292|294.39999999999998|229.39999999999998|199.39999999999998
1013035|FSB 78|436677.96|3681564.05|33.272977989|-81.6799314135|1992-11-28 00:00:00|1992-11-15 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|318000|ug/L|50|ug/L|24451852|15242912|270.69999999999999|272.69999999999999|219.69999999999999|189.69999999999999
1013090|FSB108D|436650.39|3682108.07|33.2778832202|-81.6802654854|1992-12-06 00:00:00|1992-11-19 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|1120|ug/L|50|ug/L|24316927|15242984|295.80000000000001|298.19999999999999|226.19999999999999|206.19999999999999
1013054|FSB 91D|436791.03|3681813.55|33.2752350182|-81.6787347906|1992-11-28 00:00:00|1992-11-15 00:00:00|1992-11-28 00:00:00|1992|11|28|4|NITRATE-NITRITE AS NITROGEN|60500|ug/L|50|ug/L|24429310|15242918|276.89999999999998|279.69|223.69|203.69
1013046|FSB 87D|436509.9|3681751.63|33.2746600056|-81.6817490246|1992-11-13 00:00:00|1992-11-10 00:00:00|1992-11-13 00:00:00|1992|11|13|4|NITRATE-NITRITE AS NITROGEN|4300|ug/L|50|ug/L|24339246|15242456|285.30000000000001|287.60000000000002|219.10000000000002|189.70000000000002
1013089|FSB107D|436846.54|3681842.5|33.2754993891|-81.678140782|1992-12-06 00:00:00|1992-11-19 00:00:00|1992-12-06 00:00:00|1992|12|6|4|NITRATE-NITRITE AS NITROGEN|11800|ug/L|50|ug/L|24474366|15242988|268.69999999999999|271.19999999999999|223.39999999999998|203.39999999999998
1013101|FSB113D|437017.23|3681581.41|33.2731544403|-81.6762898712|1993-02-26 00:00:00|1993-02-19 00:00:00|1993-02-26 00:00:00|1993|2|26|1|NITRATE-NITRITE AS NITROGEN|810|ug/L|50|ug/L|23271375|15246934|220.59999999999999|222.59999999999999|211.59999999999999|191.59999999999999
1013076|FSB 99D|436551.56|3681821.67|33.2752941917|-81.6813066187|1993-02-26 00:00:00|1993-02-21 00:00:00|1993-02-26 00:00:00|1993|2|26|1|NITRATE-NITRITE AS NITROGEN|2060|ug/L|50|ug/L|23271323|15247018|285.10000000000002|287.80000000000001|220.80000000000001|200.80000000000001
1013076|FSB 99D|436551.56|3681821.67|33.2752941917|-81.6813066187|1993-02-26 00:00:00|1993-02-21 00:00:00|1993-02-26 00:00:00|1993|2|26|1|NITRATE-NITRITE AS NITROGEN|2080|ug/L|50|ug/L|23271426|15247018|285.10000000000002|287.80000000000001|220.80000000000001|200.80000000000001
1013061|FSB 94DR|436658.67|3681589.61|33.2732073975|-81.6801403179|1993-02-28 00:00:00|1993-02-21 00:00:00|1993-02-28 00:00:00|1993|2|28|1|NITRATE-NITRITE AS NITROGEN|370000|ug/L|50|ug/L|23271302|15246984|278.39999999999998|281.26999999999998|206.26999999999998|186.16999999999999
1013061|FSB 94DR|436658.67|3681589.61|33.2732073975|-81.6801403179|1993-02-28 00:00:00|1993-02-21 00:00:00|1993-02-28 00:00:00|1993|2|28|1|NITRATE-NITRITE AS NITROGEN|365000|ug/L|50|ug/L|23271303|15246984|278.39999999999998|281.26999999999998|206.26999999999998|186.16999999999999
