STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1013039,FSB 79,436869.23,3681288.35,33.2705024942,-81.6778585296,2003-08-14 00:00:00,2003-07-16 00:00:00,2003-08-14 00:00:00,2003,TECHNETIUM-99,58.5,pCi/L,20,pCi/L,27858901,27575447,216.09999999999999,218,206,176
1013085,FSB105DR,436509.61,3681627.72,33.2735423683,-81.6817434527,2003-08-15 00:00:00,2003-07-17 00:00:00,2003-08-15 00:00:00,2003,TECHNETIUM-99,16.9,pCi/L,15.7,pCi/L,27881064,27575453,283.60000000000002,286.26999999999998,211.26999999999998,191.16999999999999
1013117,FSB122D,436355.5,3680990.67,33.2677873367,-81.6833533875,2003-08-15 00:00:00,2003-07-17 00:00:00,2003-08-15 00:00:00,2003,TECHNETIUM-99,16.2,pCi/L,15.6,pCi/L,27881102,27575469,215.59999999999999,217.80000000000001,208.80000000000001,188.80000000000001
1013082,FSB104D,436615.14,3681179.56,33.2695063444,-81.6805790096,2003-08-15 00:00:00,2003-07-17 00:00:00,2003-08-15 00:00:00,2003,TECHNETIUM-99,2.78,pCi/L,13.7,pCi/L,27880985,27575451,216.90000000000001,219.40000000000001,212.90000000000001,192.90000000000001
1016589,FEX  5,436639.90810067,3681231.48864956,33.2699761767,-81.6803167165,2003-07-12 00:00:00,2003-06-17 00:00:00,2003-07-12 00:00:00,2003,TECHNETIUM-99,32.8,pCi/L,18.34,pCi/L,27663808,27503124,224.46000000000001,225.46000000000001,202.46000000000001,182.56
1016593,FEX  1,436838.58745539,3681347.93703455,33.2710381526,-81.6781916845,2003-07-12 00:00:00,2003-06-17 00:00:00,2003-07-12 00:00:00,2003,TECHNETIUM-99,53.1,pCi/L,21.06,pCi/L,27663838,27503128,224.46000000000001,225.94999999999999,197.44999999999999,172.5
1016588,FEX  6,436566.48328465,3681217.75016172,33.2698479443,-81.6811040908,2003-07-12 00:00:00,2003-06-17 00:00:00,2003-07-12 00:00:00,2003,TECHNETIUM-99,29.4,pCi/L,13.83,pCi/L,27663935,27503123,221.91,222.91,201.91,181.91
1016590,FEX  4,436689.91395656,3681274.77339037,33.2703695257,-81.6797828461,2003-07-13 00:00:00,2003-06-17 00:00:00,2003-07-13 00:00:00,2003,TECHNETIUM-99,43.8,pCi/L,19.53,pCi/L,27663985,27503125,229.40000000000001,231.87,199.37,179.41
1016587,FEX  7,436481.43930022,3681214.27279252,33.2698115739,-81.6820169328,2003-07-11 00:00:00,2003-06-17 00:00:00,2003-07-11 00:00:00,2003,TECHNETIUM-99,17.3,pCi/L,12.25,pCi/L,27663225,27503122,225.77000000000001,226.77000000000001,195.77000000000001,180.77000000000001
1016587,FEX  7,436481.43930022,3681214.27279252,33.2698115739,-81.6820169328,2003-07-11 00:00:00,2003-06-17 00:00:00,2003-07-11 00:00:00,2003,TECHNETIUM-99,17.3,pCi/L,12.25,pCi/L,27663225,27503122,225.77000000000001,226.77000000000001,205.77000000000001,200.77000000000001
1016585,FEX  9,436659.92508404,3681479.90333579,33.2722179589,-81.6801191706,2003-07-11 00:00:00,2003-06-17 00:00:00,2003-07-11 00:00:00,2003,TECHNETIUM-99,47.7,pCi/L,23.25,pCi/L,27663354,27503120,253.52000000000001,254.52000000000001,142.52000000000001,112.42000000000002
1016586,FEX  8,436548.38452534,3681472.37013124,33.2721434546,-81.6813162451,2003-07-12 00:00:00,2003-06-17 00:00:00,2003-07-12 00:00:00,2003,TECHNETIUM-99,137,pCi/L,23.4,pCi/L,27663399,27503121,266.45999999999998,267.45999999999998,135.55999999999997,110.65999999999997
1016586,FEX  8,436548.38452534,3681472.37013124,33.2721434546,-81.6813162451,2003-07-12 00:00:00,2003-06-17 00:00:00,2003-07-12 00:00:00,2003,TECHNETIUM-99,137,pCi/L,23.4,pCi/L,27663399,27503121,266.45999999999998,267.45999999999998,160.45999999999998,140.55999999999997
1016590,FEX  4,436689.91395656,3681274.77339037,33.2703695257,-81.6797828461,2003-07-12 00:00:00,2003-06-17 00:00:00,2003-07-12 00:00:00,2003,TECHNETIUM-99,40.3,pCi/L,17.65,pCi/L,27663591,27503125,229.40000000000001,231.87,199.37,179.41
