STATION_SEQ,STATION_ID,EASTING,NORTHING,LATITUDE,LONGITUDE,ANALYSIS_DATE,COLLECTION_DATE,MDATE,MYEAR,ANALYTE_NAME,RESULT,RESULT_UNITS,PQL,PQL_UNITS,RESULT_SEQ,SAMPLE_SEQ,GROUND_ELEVATION,REFERENCE_ELEVATION,TOP_ELEV,BOTTOM_ELEV
1013048,FSB 88D,436859.74,3682019.67,33.2770981678,-81.6780114013,1992-07-09 00:00:00,1992-07-04 00:00:00,1992-07-09 00:00:00,1992,TRITIUM,3.61e+006,pCi/L,700,pCi/L,24349269,15239032,280.10000000000002,282.5,224.5,204.5
1013106,FSB115D,436975.69,3680929.11,33.2672685094,-81.6766905079,1992-07-09 00:00:00,1992-07-04 00:00:00,1992-07-09 00:00:00,1992,TRITIUM,13900,pCi/L,700,pCi/L,24371575,15239046,206.5,208.69999999999999,194.69999999999999,184.69999999999999
1013035,FSB 78,436677.96,3681564.05,33.272977989,-81.6799314135,1993-08-30 00:00:00,1993-08-03 00:00:00,1993-08-30 00:00:00,1993,TRITIUM,1.19e+007,pCi/L,700,pCi/L,23820899,15255848,270.69999999999999,272.69999999999999,219.69999999999999,189.69999999999999
1013054,FSB 91D,436791.03,3681813.55,33.2752350182,-81.6787347906,1993-08-28 00:00:00,1993-08-08 00:00:00,1993-08-28 00:00:00,1993,TRITIUM,373000,pCi/L,700,pCi/L,23836243,15256094,276.89999999999998,279.69,223.69,203.69
1013104,FSB114D,437042.39,3682023.28,33.2771414103,-81.6760504428,1993-09-03 00:00:00,1993-08-20 00:00:00,1993-09-03 00:00:00,1993,TRITIUM,12100,pCi/L,700,pCi/L,23835956,15257074,250.19999999999999,252.40000000000001,220,199.90000000000001
1013058,FSB 93D,436726.51,3681646.31,33.2737227929,-81.6794158776,1992-01-31 00:00:00,1992-01-22 00:00:00,1992-01-31 00:00:00,1992,TRITIUM,9.16e+006,pCi/L,700,pCi/L,23831483,15258434,273.89999999999998,276.55000000000001,220.55000000000001,200.55000000000001
1012771,BRR  1D,436315.82,3682280.8,33.2794214641,-81.6838701154,1992-03-10 00:00:00,1992-03-04 00:00:00,1992-03-10 00:00:00,1992,TRITIUM,6810,pCi/L,700,pCi/L,23831602,15257914,293.80000000000001,296.19999999999999,222.79999999999998,202.79999999999998
1012932,F   14,436632.34,3681547.08,33.2728222461,-81.6804200489,1992-04-14 00:00:00,1992-03-10 00:00:00,1992-04-14 00:00:00,1992,TRITIUM,7.87e+006,pCi/L,700,pCi/L,23831549,15258190,273.19999999999999,275.69999999999999,275.69999999999999,275.69999999999999
1012932,F   14,436632.34,3681547.08,33.2728222461,-81.6804200489,1992-03-17 00:00:00,1992-03-10 00:00:00,1992-03-17 00:00:00,1992,TRITIUM,7.9e+006,pCi/L,700,pCi/L,23831550,15258190,273.19999999999999,275.69999999999999,275.69999999999999,275.69999999999999
1012933,F   15,436827.88,3681655.09,33.2738079291,-81.6783280691,1992-03-17 00:00:00,1992-03-10 00:00:00,1992-03-17 00:00:00,1992,TRITIUM,391000,pCi/L,700,pCi/L,23831548,15258194,251.5,253.5,253.5,253.5
1012934,F   16,436674.46,3681498.59,33.2723873592,-81.6799644167,1992-03-17 00:00:00,1992-03-10 00:00:00,1992-03-17 00:00:00,1992,TRITIUM,71700,pCi/L,700,pCi/L,23831547,15258196,252.90000000000001,255.90000000000001,255.90000000000001,255.90000000000001
1012935,F   17,436834.89,3681504.68,33.2724516985,-81.678242313,1992-03-17 00:00:00,1992-03-11 00:00:00,1992-03-17 00:00:00,1992,TRITIUM,26800,pCi/L,700,pCi/L,23831546,15258198,237,239.80000000000001,239.80000000000001,239.80000000000001
1012944,F   25,436905.74,3681850.39,33.2755740199,-81.6775056817,1992-03-17 00:00:00,1992-03-10 00:00:00,1992-03-17 00:00:00,1992,TRITIUM,18000,pCi/L,700,pCi/L,23831545,15258200,259.69999999999999,260.89999999999998,260.89999999999998,260.89999999999998
1013048,FSB 88D,436859.74,3682019.67,33.2770981678,-81.6780114013,1992-01-29 00:00:00,1992-01-20 00:00:00,1992-01-29 00:00:00,1992,TRITIUM,418000,pCi/L,700,pCi/L,23831493,15258400,280.10000000000002,282.5,224.5,204.5
1013052,FSB 90D,436808.49,3681890.06,33.2759261326,-81.6785526557,1992-01-29 00:00:00,1992-01-20 00:00:00,1992-01-29 00:00:00,1992,TRITIUM,1.57e+006,pCi/L,700,pCi/L,23831488,15258418,276.10000000000002,279.07999999999998,228.07999999999998,208.07999999999998
1013050,FSB 89D,436825.82,3681967.27,33.2766235528,-81.6783719628,1992-01-29 00:00:00,1992-01-19 00:00:00,1992-01-29 00:00:00,1992,TRITIUM,1.85e+006,pCi/L,700,pCi/L,23831490,15258412,278.89999999999998,281.61000000000001,224.61000000000001,204.61000000000001
1013065,FSB 95DR,436595.57,3681589.89,33.2732062144,-81.6808178449,1993-08-29 00:00:00,1993-08-05 00:00:00,1993-08-29 00:00:00,1993,TRITIUM,1.89e+007,pCi/L,700,pCi/L,23836240,15255966,282,284.39999999999998,209.39999999999998,189.39999999999998
1013034,FSB 77,436747.53,3681752.41,33.2746810077,-81.6791975931,1991-04-09 00:00:00,1991-04-01 00:00:00,1991-04-09 00:00:00,1991,TRITIUM,1.74e+007,pCi/L,,,23828338,15269452,271.39999999999998,273.39999999999998,218.39999999999998,188.39999999999998
1013089,FSB107D,436846.54,3681842.5,33.2754993891,-81.678140782,1991-05-11 00:00:00,1991-04-09 00:00:00,1991-05-11 00:00:00,1991,TRITIUM,1.25e+006,pCi/L,,,23828277,15269570,268.69999999999999,271.19999999999999,223.39999999999998,203.39999999999998
1013056,FSB 92D,436724.22,3681703.93,33.2742423689,-81.6794444909,1991-07-30 00:00:00,1991-07-15 00:00:00,1991-07-30 00:00:00,1991,TRITIUM,2.07e+007,pCi/L,,,23837967,15272972,273.69999999999999,276.39999999999998,224.39999999999998,204.39999999999998
1012773,BRR  3D,436215.11,3682219.97,33.2788668476,-81.6849472339,1991-03-26 00:00:00,1991-03-05 00:00:00,1991-03-26 00:00:00,1991,TRITIUM,73000,pCi/L,,,23829032,15268308,289.5,291.89999999999998,219.49999999999997,199.49999999999997
1012772,BRR  2D,436234.5,3682246.56,33.2791078259,-81.6847409018,1991-03-26 00:00:00,1991-03-05 00:00:00,1991-03-26 00:00:00,1991,TRITIUM,160000,pCi/L,,,23829033,15268306,289.60000000000002,292.10000000000002,218.60000000000002,198.60000000000002
1012771,BRR  1D,436315.82,3682280.8,33.2794214641,-81.6838701154,1991-03-26 00:00:00,1991-03-05 00:00:00,1991-03-26 00:00:00,1991,TRITIUM,15000,pCi/L,,,23829034,15268302,293.80000000000001,296.19999999999999,222.79999999999998,202.79999999999998
1012933,F   15,436827.88,3681655.09,33.2738079291,-81.6783280691,,1991-02-13 00:00:00,1991-02-13 00:00:00,1991,TRITIUM,403000,pCi/L,,pCi/L,23829978,15268714,251.5,253.5,253.5,253.5
1012935,F   17,436834.89,3681504.68,33.2724516985,-81.678242313,,1991-02-13 00:00:00,1991-02-13 00:00:00,1991,TRITIUM,13800,pCi/L,,pCi/L,23829976,15268718,237,239.80000000000001,239.80000000000001,239.80000000000001
1012944,F   25,436905.74,3681850.39,33.2755740199,-81.6775056817,,1991-02-13 00:00:00,1991-02-13 00:00:00,1991,TRITIUM,21800,pCi/L,,pCi/L,23829975,15268720,259.69999999999999,260.89999999999998,260.89999999999998,260.89999999999998
1012934,F   16,436674.46,3681498.59,33.2723873592,-81.6799644167,,1991-02-13 00:00:00,1991-02-13 00:00:00,1991,TRITIUM,395000,pCi/L,,pCi/L,23829977,15268716,252.90000000000001,255.90000000000001,255.90000000000001,255.90000000000001
1014623,Z    9,436245.68,3682367.99,33.2802037372,-81.6846294033,,1991-03-14 00:00:00,1991-03-14 00:00:00,1991,TRITIUM,8200,pCi/L,,pCi/L,23829848,15268852,277.39999999999998,279.5,229.59999999999999,209.59999999999999
1012774,BRR  4D,436197.5,3682192.9,33.2786216449,-81.6851344179,1993-09-05 00:00:00,1993-08-28 00:00:00,1993-09-05 00:00:00,1993,TRITIUM,26600,pCi/L,700,pCi/L,23835782,15279442,290,292.39999999999998,221.09999999999997,201.09999999999997
1013048,FSB 88D,436859.74,3682019.67,33.2770981678,-81.6780114013,1993-11-18 00:00:00,1993-11-07 00:00:00,1993-11-18 00:00:00,1993,TRITIUM,3.3e+006,pCi/L,700,pCi/L,23843815,15282848,280.10000000000002,282.5,224.5,204.5
1012775,BRR  5D,436190.8,3682152.67,33.2782583899,-81.6852035257,1993-09-05 00:00:00,1993-08-28 00:00:00,1993-09-05 00:00:00,1993,TRITIUM,7060,pCi/L,700,pCi/L,23835926,15279446,292.60000000000002,294.80000000000001,224.30000000000001,204.30000000000001
1012775,BRR  5D,436190.8,3682152.67,33.2782583899,-81.6852035257,1993-09-05 00:00:00,1993-08-28 00:00:00,1993-09-05 00:00:00,1993,TRITIUM,7200,pCi/L,700,pCi/L,23835927,15279446,292.60000000000002,294.80000000000001,224.30000000000001,204.30000000000001
1013119,FSB123D,437100.86,3681796.02,33.2750950238,-81.6754068355,1993-11-09 00:00:00,1993-10-31 00:00:00,1993-11-09 00:00:00,1993,TRITIUM,9250,pCi/L,700,pCi/L,23843864,15282690,236.09999999999999,238.30000000000001,216.30000000000001,196.30000000000001
1013090,FSB108D,436650.39,3682108.07,33.2778832202,-81.6802654854,1991-11-04 00:00:00,1991-10-21 00:00:00,1991-11-04 00:00:00,1991,TRITIUM,10200,pCi/L,700,pCi/L,23837045,15276726,295.80000000000001,298.19999999999999,226.19999999999999,206.19999999999999
1013090,FSB108D,436650.39,3682108.07,33.2778832202,-81.6802654854,1993-11-17 00:00:00,1993-11-04 00:00:00,1993-11-17 00:00:00,1993,TRITIUM,12600,pCi/L,700,pCi/L,23843891,15282744,295.80000000000001,298.19999999999999,226.19999999999999,206.19999999999999
1013109,FSB117D,436881.7,3681450.94,33.271969725,-81.6777359715,1991-11-20 00:00:00,1991-10-22 00:00:00,1991-11-20 00:00:00,1991,TRITIUM,4.04e+006,pCi/L,700,pCi/L,23836651,15276798,228.69999999999999,230.90000000000001,211.90000000000001,191.90000000000001
1015622,FSL  9D,436837.61,3682058.81,33.2774498992,-81.6782517526,1993-09-19 00:00:00,1993-09-02 00:00:00,1993-09-19 00:00:00,1993,TRITIUM,1.08e+006,pCi/L,700,pCi/L,23835738,15279550,283.5,286.60000000000002,224.60000000000002,204.50000000000003
1013093,FSB110D,436774.62,3681419.31,33.2716781612,-81.6788834706,1991-08-15 00:00:00,1991-07-29 00:00:00,1991-08-15 00:00:00,1991,TRITIUM,2.26e+007,pCi/L,,,23837934,15273252,232.59999999999999,234.69999999999999,213.19999999999999,193.19999999999999
1013054,FSB 91D,436791.03,3681813.55,33.2752350182,-81.6787347906,1993-11-16 00:00:00,1993-11-03 00:00:00,1993-11-16 00:00:00,1993,TRITIUM,940000,pCi/L,700,pCi/L,23843892,15282740,276.89999999999998,279.69,223.69,203.69
1013117,FSB122D,436355.5,3680990.67,33.2677873367,-81.6833533875,1991-12-16 00:00:00,1991-12-09 00:00:00,1991-12-16 00:00:00,1991,TRITIUM,537000,pCi/L,700,pCi/L,23836418,15276824,215.59999999999999,217.80000000000001,208.80000000000001,188.80000000000001
1013104,FSB114D,437042.39,3682023.28,33.2771414103,-81.6760504428,1991-11-04 00:00:00,1991-10-18 00:00:00,1991-11-04 00:00:00,1991,TRITIUM,2060,pCi/L,700,pCi/L,23837032,15276778,250.19999999999999,252.40000000000001,220,199.90000000000001
1013085,FSB105DR,436509.61,3681627.72,33.2735423683,-81.6817434527,1991-11-11 00:00:00,1991-10-17 00:00:00,1991-11-11 00:00:00,1991,TRITIUM,3.42e+007,pCi/L,700,pCi/L,23836654,15276708,283.60000000000002,286.26999999999998,211.26999999999998,191.16999999999999
1013052,FSB 90D,436808.49,3681890.06,33.2759261326,-81.6785526557,1991-11-01 00:00:00,1991-10-15 00:00:00,1991-11-01 00:00:00,1991,TRITIUM,1.01e+006,pCi/L,700,pCi/L,23837068,15276626,276.10000000000002,279.07999999999998,228.07999999999998,208.07999999999998
1013104,FSB114D,437042.39,3682023.28,33.2771414103,-81.6760504428,1991-11-04 00:00:00,1991-10-18 00:00:00,1991-11-04 00:00:00,1991,TRITIUM,1520,pCi/L,700,pCi/L,23837031,15276780,250.19999999999999,252.40000000000001,220,199.90000000000001
1013035,FSB 78,436677.96,3681564.05,33.272977989,-81.6799314135,1991-11-11 00:00:00,1991-10-14 00:00:00,1991-11-11 00:00:00,1991,TRITIUM,1.4e+007,pCi/L,700,pCi/L,23836658,15276574,270.69999999999999,272.69999999999999,219.69999999999999,189.69999999999999
1013054,FSB 91D,436791.03,3681813.55,33.2752350182,-81.6787347906,1991-11-11 00:00:00,1991-10-16 00:00:00,1991-11-11 00:00:00,1991,TRITIUM,4.06e+006,pCi/L,700,pCi/L,23837066,15276632,276.89999999999998,279.69,223.69,203.69
1013119,FSB123D,437100.86,3681796.02,33.2750950238,-81.6754068355,1991-11-04 00:00:00,1991-10-18 00:00:00,1991-11-04 00:00:00,1991,TRITIUM,4200,pCi/L,700,pCi/L,23837019,15276830,236.09999999999999,238.30000000000001,216.30000000000001,196.30000000000001
1013095,FSB111D,436899.85,3681958.82,33.2765516724,-81.6775764793,1991-11-04 00:00:00,1991-10-18 00:00:00,1991-11-04 00:00:00,1991,TRITIUM,7410,pCi/L,700,pCi/L,23837040,15276742,274.39999999999998,276.80000000000001,224.10000000000002,204.10000000000002
1013030,FSB 76,436732.48,3682122.94,33.2780221625,-81.6793850732,1993-11-17 00:00:00,1993-11-04 00:00:00,1993-11-17 00:00:00,1993,TRITIUM,865000,pCi/L,700,pCi/L,23843878,15282778,292,294.39999999999998,229.39999999999998,199.39999999999998
1012773,BRR  3D,436215.11,3682219.97,33.2788668476,-81.6849472339,1993-09-05 00:00:00,1993-08-28 00:00:00,1993-09-05 00:00:00,1993,TRITIUM,176000,pCi/L,700,pCi/L,23835928,15279438,289.5,291.89999999999998,219.49999999999997,199.49999999999997
1013039,FSB 79,436869.23,3681288.35,33.2705024942,-81.6778585296,1991-11-20 00:00:00,1991-10-24 00:00:00,1991-11-20 00:00:00,1991,TRITIUM,2.59e+007,pCi/L,700,pCi/L,23837080,15276588,216.09999999999999,218,206,176
1013076,FSB 99D,436551.56,3681821.67,33.2752941917,-81.6813066187,1993-11-17 00:00:00,1993-11-07 00:00:00,1993-11-17 00:00:00,1993,TRITIUM,29500,pCi/L,700,pCi/L,23843805,15282840,285.10000000000002,287.80000000000001,220.80000000000001,200.80000000000001
1013091,FSB109D,436561.94,3681891.12,33.2759212146,-81.6812000302,1991-11-04 00:00:00,1991-10-21 00:00:00,1991-11-04 00:00:00,1991,TRITIUM,62600,pCi/L,700,pCi/L,23837044,15276730,290.80000000000001,293.30000000000001,228.30000000000001,208.30000000000001
1013076,FSB 99D,436551.56,3681821.67,33.2752941917,-81.6813066187,1991-11-01 00:00:00,1991-10-16 00:00:00,1991-11-01 00:00:00,1991,TRITIUM,39600,pCi/L,700,pCi/L,23837053,15276678,285.10000000000002,287.80000000000001,220.80000000000001,200.80000000000001
1013087,FSB106D,436896.66,3681508.04,33.2724856211,-81.6775793253,1991-11-04 00:00:00,1991-10-22 00:00:00,1991-11-04 00:00:00,1991,TRITIUM,65600,pCi/L,700,pCi/L,23837047,15276716,232.69999999999999,235.61000000000001,225.61000000000001,205.61000000000001
1013101,FSB113D,437017.23,3681581.41,33.2731544403,-81.6762898712,1991-11-04 00:00:00,1991-10-23 00:00:00,1991-11-04 00:00:00,1991,TRITIUM,6340,pCi/L,700,pCi/L,23837035,15276766,220.59999999999999,222.59999999999999,211.59999999999999,191.59999999999999
1015623,FSL  7D,436722.93,3682186.17,33.278591912,-81.6794920359,1993-09-21 00:00:00,1993-09-06 00:00:00,1993-09-21 00:00:00,1993,TRITIUM,3.72e+006,pCi/L,700,pCi/L,23835708,15279924,285.60000000000002,287.60000000000002,221.60000000000002,201.50000000000003
1013090,FSB108D,436650.39,3682108.07,33.2778832202,-81.6802654854,1993-10-26 00:00:00,1993-10-10 00:00:00,1993-10-26 00:00:00,1993,TRITIUM,11100,pCi/L,700,pCi/L,23844055,15281700,295.80000000000001,298.19999999999999,226.19999999999999,206.19999999999999
