STATION_SEQ|STATION_ID|EASTING|NORTHING|LATITUDE|LONGITUDE|ANALYSIS_DATE|COLLECTION_DATE|MDATE|MYEAR|MMONTH|MDAY|MQUARTER|ANALYTE_NAME|RESULT|RESULT_UNITS|PQL|PQL_UNITS|RESULT_SEQ|SAMPLE_SEQ|GROUND_ELEVATION|REFERENCE_ELEVATION|TOP_ELEV|BOTTOM_ELEV
1013063|FSB 95CR|436591.72|3681590.93|33.2732153684|-81.6808592553|2000-07-25 00:00:00|2000-07-11 00:00:00|2000-07-25 00:00:00|2000|7|25|3|TRITIUM|9.15e+006|pCi/L|360770|pCi/L|16710799|15411303|281.89999999999998|284.39999999999998|164.39999999999998|154.39999999999998
1013063|FSB 95CR|436591.72|3681590.93|33.2732153684|-81.6808592553|2000-07-25 00:00:00|2000-07-11 00:00:00|2000-07-25 00:00:00|2000|7|25|3|TRITIUM|9.18e+006|pCi/L|360790|pCi/L|16710800|15411303|281.89999999999998|284.39999999999998|164.39999999999998|154.39999999999998
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|2000-07-13 00:00:00|2000-07-05 00:00:00|2000-07-13 00:00:00|2000|7|13|3|TRITIUM|26300|pCi/L|2490|pCi/L|16710804|15411177|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013079|FSB102C|437054.85|3681393.25|33.2714595041|-81.6758728684|2000-11-01 00:00:00|2000-10-06 00:00:00|2000-11-01 00:00:00|2000|11|1|4|TRITIUM|781000|pCi/L|32610|pCi/L|16711617|15414500|198.90000000000001|201.30000000000001|158.30000000000001|148.30000000000001
1013063|FSB 95CR|436591.72|3681590.93|33.2732153684|-81.6808592553|2000-10-24 00:00:00|2000-10-04 00:00:00|2000-10-24 00:00:00|2000|10|24|4|TRITIUM|8.17e+006|pCi/L|313610|pCi/L|16711619|15414314|281.89999999999998|284.39999999999998|164.39999999999998|154.39999999999998
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|2000-10-30 00:00:00|2000-10-03 00:00:00|2000-10-30 00:00:00|2000|10|30|4|TRITIUM|74800|pCi/L|3730|pCi/L|16711622|15414210|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013075|FSB 99C|436551.44|3681818.57|33.2752662238|-81.68130769|2000-11-02 00:00:00|2000-10-10 00:00:00|2000-11-02 00:00:00|2000|11|2|4|TRITIUM|1.8e+006|pCi/L|73390|pCi/L|16711616|15415014|285.19999999999999|288.06|170.06|160.06
1013079|FSB102C|437054.85|3681393.25|33.2714595041|-81.6758728684|2001-02-15 00:00:00|2001-01-19 00:00:00|2001-02-15 00:00:00|2001|2|15|1|TRITIUM|316000|pCi/L|6931|pCi/L|16712457|15418472|198.90000000000001|201.30000000000001|158.30000000000001|148.30000000000001
1013075|FSB 99C|436551.44|3681818.57|33.2752662238|-81.68130769|2001-02-15 00:00:00|2001-01-19 00:00:00|2001-02-15 00:00:00|2001|2|15|1|TRITIUM|1.75e+006|pCi/L|16807|pCi/L|16712458|15418466|285.19999999999999|288.06|170.06|160.06
1013063|FSB 95CR|436591.72|3681590.93|33.2732153684|-81.6808592553|2001-01-22 00:00:00|2001-01-11 00:00:00|2001-01-22 00:00:00|2001|1|22|1|TRITIUM|7.05e+006|pCi/L|278790|pCi/L|16712463|15417688|281.89999999999998|284.39999999999998|164.39999999999998|154.39999999999998
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|2001-01-19 00:00:00|2001-01-08 00:00:00|2001-01-19 00:00:00|2001|1|19|1|TRITIUM|506000|pCi/L|21470|pCi/L|16712469|15417518|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|2000-04-27 00:00:00|2000-04-25 00:00:00|2000-04-27 00:00:00|2000|4|27|2|TRITIUM|5990|pCi/L|1790|pCi/L|16770032|15411527|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|2000-11-05 00:00:00|2000-10-16 00:00:00|2000-11-05 00:00:00|2000|11|5|4|TRITIUM|5420|pCi/L|1896|pCi/L|16771665|15414988|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|2000-08-29 00:00:00|2000-08-19 00:00:00|2000-08-29 00:00:00|2000|8|29|3|TRITIUM|5850|pCi/L|1736|pCi/L|16770803|15412905|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|2001-02-25 00:00:00|2001-02-01 00:00:00|2001-02-25 00:00:00|2001|2|25|1|TRITIUM|6040|pCi/L|1801|pCi/L|16773578|15418970|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
1013094|FSB111C|436902.34|3681960.79|33.2765695868|-81.6775498803|2000-10-20 00:00:00|2000-10-04 00:00:00|2000-10-20 00:00:00|2000|10|20|4|TRITIUM|1.03e+006|pCi/L|12721|pCi/L|16266015|15414300|274|276.5|171.5|161.5
1013083|FSB105C|436510.69|3681619.5|33.2734682906|-81.6817312804|2000-05-03 00:00:00|2000-04-18 00:00:00|2000-05-03 00:00:00|2000|5|3|2|TRITIUM|3.08e+006|pCi/L|123490|pCi/L|15882401|15411651|283.5|286.19|154.19|144.19
1013055|FSB 92C|436724.47|3681706.9|33.2742691719|-81.6794420141|2000-08-04 00:00:00|2000-07-26 00:00:00|2000-08-04 00:00:00|2000|8|4|3|TRITIUM|538000|pCi/L|22820|pCi/L|15944039|15412080|273.60000000000002|275.69999999999999|159.69999999999999|149.69999999999999
1013042|FSB 79C|436876.13|3681295.23|33.2705649532|-81.6777849256|2001-04-20 00:00:00|2001-04-10 00:00:00|2001-04-20 00:00:00|2001|4|20|2|TRITIUM|5.42e+006|pCi/L|216310|pCi/L|15822776|15420456|216.59999999999999|218.69999999999999|161.69999999999999|151.89999999999998
1013097|FSB112C|436436.7|3681186.21|33.2695558221|-81.6824953128|2001-04-20 00:00:00|2001-04-10 00:00:00|2001-04-20 00:00:00|2001|4|20|2|TRITIUM|6.52e+006|pCi/L|257120|pCi/L|15822775|15420462|227.09999999999999|229.87|141.87|131.87
1013072|FSB 98C|436555.41|3681707.45|33.274264198|-81.6812572791|2001-04-21 00:00:00|2001-04-11 00:00:00|2001-04-21 00:00:00|2001|4|21|2|TRITIUM|2.06e+006|pCi/L|83600|pCi/L|15822766|15420492|282.39999999999998|284.60000000000002|160.60000000000002|150.60000000000002
1013049|FSB 89C|436827.25|3681970.17|33.2766497935|-81.6783568105|2001-05-13 00:00:00|2001-04-23 00:00:00|2001-05-13 00:00:00|2001|5|13|2|TRITIUM|13900|pCi/L|2325|pCi/L|15822765|15420797|279.10000000000002|281.5|168.5|158.5
1013049|FSB 89C|436827.25|3681970.17|33.2766497935|-81.6783568105|2001-05-14 00:00:00|2001-04-23 00:00:00|2001-05-14 00:00:00|2001|5|14|2|TRITIUM|13400|pCi/L|2385|pCi/L|15822764|15420796|279.10000000000002|281.5|168.5|158.5
1013118|FSB123C|437104.01|3681799.82|33.2751294821|-81.6753732769|2001-05-27 00:00:00|2001-04-27 00:00:00|2001-05-27 00:00:00|2001|5|27|2|TRITIUM|2900|pCi/L|2266|pCi/L|15822758|15420946|236.30000000000001|238.30000000000001|167.30000000000001|157.30000000000001
1013049|FSB 89C|436827.25|3681970.17|33.2766497935|-81.6783568105|2001-04-25 00:00:00|2001-04-23 00:00:00|2001-04-25 00:00:00|2001|4|25|2|TRITIUM|18800|pCi/L|2486|pCi/L|15822782|15420798|279.10000000000002|281.5|168.5|158.5
1013083|FSB105C|436510.69|3681619.5|33.2734682906|-81.6817312804|2001-06-22 00:00:00|2001-06-07 00:00:00|2001-06-22 00:00:00|2001|6|22|2|TRITIUM|2.62e+006|pCi/L|18998|pCi/L|15886121|15611554|283.5|286.19|154.19|144.19
1013113|FSB120C|436292.27|3681579.45|33.2730941721|-81.6840736541|2001-05-13 00:00:00|2001-04-24 00:00:00|2001-05-13 00:00:00|2001|5|13|2|TRITIUM|759000|pCi/L|11235|pCi/L|15886125|15420860|277.92000000000002|279.89999999999998|162.89999999999998|152.89999999999998
1013116|FSB122C|436350.93|3680993.49|33.2678125024|-81.6834026509|2001-05-27 00:00:00|2001-04-26 00:00:00|2001-05-27 00:00:00|2001|5|27|2|TRITIUM|1.51e+006|pCi/L|62590|pCi/L|15886124|15420918|216.25999999999999|218.97|172.97|162.97
1013083|FSB105C|436510.69|3681619.5|33.2734682906|-81.6817312804|2001-03-20 00:00:00|2001-03-14 00:00:00|2001-03-20 00:00:00|2001|3|20|1|TRITIUM|2.72e+006|pCi/L|109910|pCi/L|15886160|15419510|283.5|286.19|154.19|144.19
1013059|FSB 94C|436662.9|3681592.66|33.2732351558|-81.6800951135|2001-04-20 00:00:00|2001-04-09 00:00:00|2001-04-20 00:00:00|2001|4|20|2|TRITIUM|1.17e+007|pCi/L|452000|pCi/L|15886145|15419882|278.80000000000001|281.30000000000001|152.30000000000001|142.30000000000001
1013113|FSB120C|436292.27|3681579.45|33.2730941721|-81.6840736541|2001-01-26 00:00:00|2001-01-17 00:00:00|2001-01-26 00:00:00|2001|1|26|1|TRITIUM|718000|pCi/L|7181|pCi/L|15885226|15421184|277.92000000000002|279.89999999999998|162.89999999999998|152.89999999999998
1013057|FSB 93C|436726.39|3681649.54|33.2737519193|-81.6794173917|2001-05-17 00:00:00|2001-04-25 00:00:00|2001-05-17 00:00:00|2001|5|17|2|TRITIUM|411000|pCi/L|8516|pCi/L|15947949|15420868|274.25|276.75|154.75|144.75
1013055|FSB 92C|436724.47|3681706.9|33.2742691719|-81.6794420141|2001-04-20 00:00:00|2001-04-17 00:00:00|2001-04-20 00:00:00|2001|4|20|2|TRITIUM|390000|pCi/L|8023|pCi/L|15947955|15420636|273.60000000000002|275.69999999999999|159.69999999999999|149.69999999999999
1013038|FSB 78C|436677.79|3681567.13|33.2730057595|-81.6799334541|2001-04-20 00:00:00|2001-04-09 00:00:00|2001-04-20 00:00:00|2001|4|20|2|TRITIUM|9.82e+006|pCi/L|374670|pCi/L|15947971|15419878|271.39999999999998|273.60000000000002|153.60000000000002|143.80000000000001
1013045|FSB 87C|436511.93|3681755.21|33.2746924154|-81.681727479|2001-05-13 00:00:00|2001-04-20 00:00:00|2001-05-13 00:00:00|2001|5|13|2|TRITIUM|551000|pCi/L|9789|pCi/L|16268831|15420758|285.64999999999998|287.97000000000003|161.97000000000003|151.47000000000003
1013069|FSB 97C|436555.62|3681631.62|33.273580253|-81.6812497127|2001-05-13 00:00:00|2001-04-18 00:00:00|2001-05-13 00:00:00|2001|5|13|2|TRITIUM|2.52e+006|pCi/L|20194|pCi/L|16268829|15420680|283.80000000000001|286.30000000000001|156.30000000000001|146.30000000000001
1013069|FSB 97C|436555.62|3681631.62|33.273580253|-81.6812497127|2001-05-13 00:00:00|2001-04-18 00:00:00|2001-05-13 00:00:00|2001|5|13|2|TRITIUM|2.5e+006|pCi/L|19750|pCi/L|16268830|15420680|283.80000000000001|286.30000000000001|156.30000000000001|146.30000000000001
1013088|FSB107C|436847.37|3681845.66|33.2755279397|-81.6781320904|2001-05-16 00:00:00|2001-04-25 00:00:00|2001-05-16 00:00:00|2001|5|16|2|TRITIUM|81700|pCi/L|4224|pCi/L|16268819|15420878|268.94999999999999|271.39999999999998|163.39999999999998|153.39999999999998
1013094|FSB111C|436902.34|3681960.79|33.2765695868|-81.6775498803|2001-05-17 00:00:00|2001-04-25 00:00:00|2001-05-17 00:00:00|2001|5|17|2|TRITIUM|2.07e+006|pCi/L|18024|pCi/L|16268818|15420882|274|276.5|171.5|161.5
1013115|FSB121C|436176.21|3681346.43|33.2709855591|-81.6853033744|2001-05-17 00:00:00|2001-04-25 00:00:00|2001-05-17 00:00:00|2001|5|17|2|TRITIUM|158000|pCi/L|5546|pCi/L|16268817|15420902|254.40000000000001|256.60000000000002|160.60000000000002|150.60000000000002
1013086|FSB106C|436900.76|3681509.93|33.2725029081|-81.6775354354|2001-06-24 00:00:00|2001-05-24 00:00:00|2001-06-24 00:00:00|2001|6|24|2|TRITIUM|1.05e+006|pCi/L|44370|pCi/L|16653487|15422401|233|235.30000000000001|168.30000000000001|158.30000000000001
1013103|FSB114C|437044.36|3682028.44|33.2771880666|-81.6760296485|2001-05-25 00:00:00|2001-05-03 00:00:00|2001-05-25 00:00:00|2001|5|25|2|TRITIUM|3260|pCi/L|2076|pCi/L|16653495|15421048|250.09999999999999|253|170.80000000000001|160.80000000000001
1013081|FSB104C|436612.14|3681180.16|33.2695115799|-81.6806112614|2001-05-18 00:00:00|2001-04-24 00:00:00|2001-05-18 00:00:00|2001|5|18|2|TRITIUM|985000|pCi/L|41570|pCi/L|16653498|15420844|217.00999999999999|219.61000000000001|163.61000000000001|153.61000000000001
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|2001-05-18 00:00:00|2001-04-24 00:00:00|2001-05-18 00:00:00|2001|5|18|2|TRITIUM|3630|pCi/L|2022|pCi/L|16653497|15420838|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013092|FSB110C|436777.3|3681420.28|33.2716870673|-81.6788547636|2001-05-16 00:00:00|2001-04-25 00:00:00|2001-05-16 00:00:00|2001|5|16|2|TRITIUM|1.83e+006|pCi/L|17004|pCi/L|16653499|15420880|232.47999999999999|235.03999999999999|150.03999999999999|140.03999999999999
1013100|FSB113C|437012.67|3681580.32|33.2731443425|-81.6763387564|2001-05-27 00:00:00|2001-04-27 00:00:00|2001-05-27 00:00:00|2001|5|27|2|TRITIUM|62600|pCi/L|4339|pCi/L|16567159|15420936|221|223.09999999999999|166.09999999999999|156.09999999999999
1013080|FSB103C|436650.83|3681335.5|33.2709149614|-81.6802067253|2001-05-16 00:00:00|2001-04-25 00:00:00|2001-05-16 00:00:00|2001|5|16|2|TRITIUM|560000|pCi/L|9746|pCi/L|16567165|15420866|240.09999999999999|242.59999999999999|159.59999999999999|149.59999999999999
