STATION_SEQ,STATION_ID,EASTING,NORTHING,WATER_ELEV,MEASUREMENT_DATE,MYEAR,REFERENCE_ELEVATION_CODE,REFERENCE_ELEVATION,DEPTH_TO_WATER
1013033,FSB 76C,436739.58,3682117.11,207.49000000000001,2008-10-21,2008,S,293.80000000000001,86.310000000000002
1013033,FSB 76C,436739.58,3682117.11,207.96000000000001,2003-01-07,2003,S,293.80000000000001,85.840000000000003
1013033,FSB 76C,436739.58,3682117.11,207.90000000000001,2008-07-10,2008,S,293.80000000000001,85.900000000000006
1013033,FSB 76C,436739.58,3682117.11,207.85000000000002,2011-01-31,2011,S,293.80000000000001,85.950000000000003
1013033,FSB 76C,436739.58,3682117.11,207.83000000000001,2002-10-03,2002,S,293.80000000000001,85.969999999999999
1013033,FSB 76C,436739.58,3682117.11,211.10000000000002,2004-04-12,2004,S,293.80000000000001,82.700000000000003
1013033,FSB 76C,436739.58,3682117.11,207.40000000000001,2009-01-27,2009,S,293.80000000000001,86.400000000000006
1013033,FSB 76C,436739.58,3682117.11,208.93000000000001,2002-07-02,2002,S,293.80000000000001,84.870000000000005
1013033,FSB 76C,436739.58,3682117.11,211.08000000000001,2005-10-13,2005,S,293.80000000000001,82.719999999999999
1013033,FSB 76C,436739.58,3682117.11,210.94,2002-01-07,2002,S,293.80000000000001,82.859999999999999
1013033,FSB 76C,436739.58,3682117.11,211.13,2001-10-02,2001,S,293.80000000000001,82.670000000000002
1013033,FSB 76C,436739.58,3682117.11,207.70000000000002,2011-04-11,2011,S,293.80000000000001,86.099999999999994
1013033,FSB 76C,436739.58,3682117.11,213,2003-07-02,2003,S,293.80000000000001,80.799999999999997
1013033,FSB 76C,436739.58,3682117.11,208.80000000000001,2002-07-15,2002,S,293.80000000000001,85
1013033,FSB 76C,436739.58,3682117.11,210.30000000000001,2005-04-04,2005,S,293.80000000000001,83.5
1013033,FSB 76C,436739.58,3682117.11,213,2003-07-04,2003,S,293.80000000000001,80.799999999999997
1013033,FSB 76C,436739.58,3682117.11,211.37,2001-08-16,2001,S,293.80000000000001,82.430000000000007
1013033,FSB 76C,436739.58,3682117.11,211.39000000000001,2001-09-19,2001,S,293.80000000000001,82.409999999999997
1013033,FSB 76C,436739.58,3682117.11,213.41000000000003,1997-06-16,1997,S,293.80000000000001,80.390000000000001
1013033,FSB 76C,436739.58,3682117.11,211.75,1996-12-10,1996,S,293.80000000000001,82.049999999999997
1013033,FSB 76C,436739.58,3682117.11,212.28000000000003,1996-09-18,1996,S,293.80000000000001,81.519999999999996
1013033,FSB 76C,436739.58,3682117.11,212.70000000000002,1996-06-13,1996,S,293.80000000000001,81.099999999999994
1013033,FSB 76C,436739.58,3682117.11,213,1996-01-04,1996,S,293.80000000000001,80.799999999999997
1013033,FSB 76C,436739.58,3682117.11,211.65000000000001,2000-12-20,2000,S,293.80000000000001,82.150000000000006
1013033,FSB 76C,436739.58,3682117.11,212.46000000000001,2000-10-20,2000,S,293.80000000000001,81.340000000000003
1013033,FSB 76C,436739.58,3682117.11,214.50999999999999,1999-01-06,1999,S,293.80000000000001,79.290000000000006
1013033,FSB 76C,436739.58,3682117.11,213.90000000000001,1999-03-23,1999,S,293.80000000000001,79.900000000000006
1013033,FSB 76C,436739.58,3682117.11,215.12,1998-06-29,1998,S,293.80000000000001,78.680000000000007
1013033,FSB 76C,436739.58,3682117.11,212.10000000000002,2000-08-20,2000,S,293.80000000000001,81.700000000000003
1013033,FSB 76C,436739.58,3682117.11,211.59000000000003,2001-04-24,2001,S,293.80000000000001,82.209999999999994
1013033,FSB 76C,436739.58,3682117.11,211.65000000000001,2000-09-22,2000,S,293.80000000000001,82.150000000000006
1013033,FSB 76C,436739.58,3682117.11,211.14000000000001,2001-06-23,2001,S,293.80000000000001,82.659999999999997
1013033,FSB 76C,436739.58,3682117.11,212.48000000000002,1986-10-18,1986,S,293.80000000000001,81.319999999999993
1013033,FSB 76C,436739.58,3682117.11,213.60000000000002,1986-04-29,1986,S,293.80000000000001,80.200000000000003
1013033,FSB 76C,436739.58,3682117.11,214.20000000000002,1985-09-09,1985,S,293.80000000000001,79.599999999999994
1013033,FSB 76C,436739.58,3682117.11,213.52000000000001,2000-03-14,2000,S,293.80000000000001,80.280000000000001
