X	Y	Ztccz
4.3617750e+05	3.6809315e+06	1.8034276e+02
4.3618250e+05	3.6809315e+06	1.8027913e+02
4.3618750e+05	3.6809315e+06	1.8020995e+02
4.3619250e+05	3.6809315e+06	1.8010736e+02
4.3619750e+05	3.6809315e+06	1.8001446e+02
4.3620250e+05	3.6809315e+06	1.7991342e+02
4.3620750e+05	3.6809315e+06	1.7980410e+02
4.3621250e+05	3.6809315e+06	1.7968634e+02
4.3621750e+05	3.6809315e+06	1.7951001e+02
4.3622250e+05	3.6809315e+06	1.7935630e+02
4.3622750e+05	3.6809315e+06	1.7919090e+02
4.3623250e+05	3.6809315e+06	1.7901369e+02
4.3623750e+05	3.6809315e+06	1.7882163e+02
4.3624250e+05	3.6809315e+06	1.7861887e+02
4.3624750e+05	3.6809315e+06	1.7840349e+02
4.3625250e+05	3.6809315e+06	1.7819987e+02
4.3625750e+05	3.6809315e+06	1.7795983e+02
4.3626250e+05	3.6809315e+06	1.7771580e+02
4.3626750e+05	3.6809315e+06	1.7745969e+02
4.3627250e+05	3.6809315e+06	1.7718494e+02
4.3627750e+05	3.6809315e+06	1.7690093e+02
4.3628250e+05	3.6809315e+06	1.7660329e+02
4.3628750e+05	3.6809315e+06	1.7629165e+02
4.3629250e+05	3.6809315e+06	1.7596564e+02
4.3629750e+05	3.6809315e+06	1.7565711e+02
4.3630250e+05	3.6809315e+06	1.7529574e+02
4.3630750e+05	3.6809315e+06	1.7493210e+02
4.3631250e+05	3.6809315e+06	1.7455377e+02
4.3631750e+05	3.6809315e+06	1.7416062e+02
4.3632250e+05	3.6809315e+06	1.7375261e+02
4.3632750e+05	3.6809315e+06	1.7332985e+02
4.3633250e+05	3.6809315e+06	1.7292505e+02
4.3633750e+05	3.6809315e+06	1.7248369e+02
4.3634250e+05	3.6809315e+06	1.7203002e+02
4.3634750e+05	3.6809315e+06	1.7156472e+02
4.3635250e+05	3.6809315e+06	1.7108869e+02
4.3635750e+05	3.6809315e+06	1.7060305e+02
4.3636250e+05	3.6809315e+06	1.7010907e+02
