"","MYEAR","inventory1","inventory1b","inventory1lm","inventoryC"
"1",1985,531820.175283933,533759.990724952,477934.802262814,119267.27988
"2",1986,679202.703387589,1758907.8496349,455172.340221856,129940.0932816
"3",1987,507285.880110431,1066481.84990274,373861.092430125,76911.0557700414
"4",1988,706011.083508418,1675252.9867605,517972.513703166,76081.9022265056
"5",1989,785056.267795332,1501185.2973694,607872.233318388,73857.9935448637
"6",1990,414032.308591044,424939.81852489,396822.830190731,112567.34019888
"7",1991,294216.059951127,545214.9729307,244869.92027702,71509.9403067145
"8",1992,376924.702070411,384357.014045342,366480.208507834,73018.0574379342
"9",1993,382865.875311845,671775.316888669,328785.367091108,82971.0363155682
"10",1994,383674.328166769,692632.970228024,336313.652151888,85787.8703431126
"11",1995,159162.421062152,279031.161219932,138599.957830403,47039.180157654
"12",1996,150676.839099824,154714.032696086,150906.416197235,60178.5665650056
"13",1997,135736.924828918,137448.946093076,135405.74758677,61732.5003637399
"14",1998,118340.649012469,119939.830320228,116074.179067534,72301.3877388679
"15",1999,91096.2284891164,91942.4561519237,90111.613556955,59503.3649067789
"16",2000,101963.926916637,102974.837380805,98007.3310324385,71335.4790204
"17",2001,181059.712837349,180524.778245111,168542.797817232,94768.1611350383
"18",2002,126899.669073799,130559.951135501,124902.507730073,63127.6864857834
"19",2003,121449.563134377,137770.147904591,112082.270945419,70981.046559642
"20",2004,136937.878775151,150105.206492419,130932.553518171,67873.4107301983
"21",2005,98592.4996395626,109516.725383166,95047.8770424545,56858.2157062486
"22",2006,117118.651095298,131106.341454591,110466.525652785,104285.47171162
"23",2007,91864.5710762121,104368.861174375,87377.2445402062,59280.84821988
"24",2008,80598.9763935776,89052.368858529,78728.0958229312,58559.7214503
"25",2009,67130.0129031422,75008.8930443177,65257.0325424066,58419.3975352756
"26",2010,64146.8265478508,73184.6395879453,61370.7963551611,64666.3624658922
"27",2011,77741.0826469654,87521.9489407867,73633.7947135133,64373.527049381
