"","MYEAR","inventory1","inventory1b","inventory1lm","inventoryC"
"1",1986,46643.8540422415,120791.982427233,31258.69802267,11101.620467784
"2",1987,55135.0804872063,115912.082196594,40633.6194843085,5043.40138779542
"3",1988,62244.8237865745,147697.152912468,45666.574640054,3774.44248618248
"4",1989,53931.7585802203,103128.356989323,41759.578108984,4744.7334040929
"5",1990,32754.668091459,33617.5762756131,31393.2024731172,4218.84556568014
"6",1991,24915.820599126,46171.7774881331,20736.9203596771,3460.50761532113
"7",1992,19371.1655255234,19753.1318564985,18834.3951506459,3006.15994780099
"8",1993,15434.4206889099,27081.1882642723,13254.280413235,2834.57710183324
"9",1994,15918.9370201983,28737.8639166607,13953.9068803991,2474.09558695885
"10",1995,7889.40562085626,13831.0915166523,6870.15992255251,1986.39370775328
"11",1996,6461.40877101707,6634.53397240186,6471.25362494222,2631.77572304102
"12",1997,5244.7278997817,5310.87854891766,5231.93156949902,2198.54628177138
"13",1998,4206.69841039669,4263.54509428274,4126.13137283069,2589.28726444854
"14",1999,3049.19789537709,3077.52305934093,3016.24059485326,2082.90877818025
"15",2000,3118.43313437473,3149.35050665213,2997.42583230502,2456.65151313876
"16",2001,4976.9417155494,4962.23751523074,4632.87866840665,3013.89766587582
"17",2002,3689.76993584938,3796.19731116539,3631.69991930081,1508.55893512701
"18",2003,3172.09007519354,3598.36056670342,2927.42970905329,1352.18132762514
"19",2004,3180.82167888977,3486.67512010528,3041.32872823911,1420.67186089074
"20",2005,2217.06445739298,2462.71917463033,2137.35599271615,1408.81756242528
"21",2006,1637.65276670741,1833.24057106236,1544.6370810456,1218.95048385127
"22",2007,1327.70807936604,1508.43114589289,1262.85326508006,1112.95173344925
"23",2008,1181.15942363564,1305.04194198067,1153.74210004923,997.67673155136
"24",2009,883.743223097354,987.465934135805,859.086089436694,839.737739802886
"25",2010,967.750100149346,1104.09892588834,925.869563861413,865.32027287366
"26",2011,786.03234811559,884.925713602276,744.503968669434,790.2539565984
