"","Year","gwInventory","tCD","inventory1bCD"
"1",1988,56978.27618,58228.9406556008,55299.6712748196
"2",1989,49413.15232,53004.4736010472,52295.5036825705
"3",1990,43135.55931,41600.7000790944,36103.6674103187
"4",1991,35021.94693,24736.1403088532,25553.1033545704
"5",1992,28842.91983,21860.6118418536,22507.5246523281
"6",1993,25082.47243,18100.5001393897,16625.005841071
"7",1994,20828.0787,13441.2738521891,16582.5166625658
"8",1995,17316.80441,10136.9325563028,9091.58667475671
"9",1996,14747.93035,7540.40914722815,9019.7613127476
"10",1997,12939.81771,6444.54282204168,7476.09754364975
"11",1998,10753.78057,4978.2635188867,6850.40605569768
"12",1999,9516.527314,4113.07009218412,5189.64063554379
"13",2000,8642.06933,4320.65489992409,5644.1247126465
"14",2001,7884.52726,3974.46722228055,7975.50298505909
"15",2002,7226.494697,3127.11385366769,4943.38662235905
"16",2003,6275.519019,3088.38443072569,4111.64549133853
"17",2004,5405.65204,3005.51583910413,4249.31469383231
"18",2005,4479.44941,2748.02159229817,3225.85894446951
"19",2006,4164.998041,2489.79489788337,2608.87022768316
"20",2007,3782.777031,2077.06862602222,2257.14603767699
"21",2008,3504.499815,1931.8400130966,2040.42465665892
"22",2009,3285.470796,1461.94767495761,1594.53985721871
"23",2010,3105.443468,1452.06510326262,1681.85113136115
"24",2011,2935.280736,1410.96561040636,1475.58336524242
