STATION_ID,EASTING,NORTHING,SurfaceElevation,TCCZ_top,TCCZ_bot,TCCZ_th_ft
BGO10A,438008.3423,3683301.806,299.1,209,207,2
BGO10AA,437958.9102,3683338.45,298.8,219,207,12
BGO12A,437811.3009,3683158.163,311.4,199,186,13
BGO14A,437786.3066,3682978.999,300.2,220,212,8
BGO16A,437985.2576,3682889.927,302.8,196,183,13
BGO18A,438137.959,3682941.891,292.9,194,199,-5
BGO20AA,438356.1012,3682857.163,280.88,206,194,12
BGO25A,437783.6488,3682894.509,294.7,212,201,11
BGO26A,437625.0574,3682773.823,285.1,219,205,14
BGO27C,437626.3829,3682594.518,273.9,199,192,7
BGO29A,437505.5432,3682466.489,262.1,196,185,11
BGO31C,437785.489,3682450.921,271.1,198,188,10
BGO33C,438087.9934,3682483.322,277.4,200,191,9
BGO35C,438395.2076,3682508.786,271.4,204,197,7
BGO37C,438657.6279,3682528.063,284.3,199,191,8
BGO39A,438778.0021,3682643.7,293.7,204,202,2
BGO3A,438663.9096,3683310.367,288.2,197,188,9
BGO41A,437662.74,3682923.716,298.3,217,208,9
BGO42C,437703.5749,3682929.015,295.9,216,209,7
BGO43AA,437768.8514,3683225.775,312.2,195,187,8
BGO44AA,438221.3493,3683438.714,283.3,222,199,23
BGO45A,437567.1483,3682613.108,276.9,207,201,6
BGO46B,437687.842,3682392.691,263.4,199,193,6
BGO47A,437854.2763,3682407.084,264.8,198,190,8
BGO48C,437929.2617,3682412.978,274.7,198,192,6
BGO49A,438320.463,3682435.108,269.1,201,192,9
BGO50A,437588.684,3682391.765,253.5,194,184,10
BGO51AA,438692.1616,3682784.956,287.2,205,194,11
BGO52AA,438437.8202,3682789.839,281.6,207,197,10
BGO53AA,437740.8627,3682829.615,288.9,223,216,7
BGO5C,438496.7464,3683533.613,294.2,218,201,17
BGO6A,438377.2173,3683450.483,283.8,210,195,15
BGO6B,438372.681,3683472.072,284.5,203,192,11
BGO8A,438190.4717,3683345.372,281.3,213,199,14
BGO9AA,438056.8479,3683401.381,282.8,224,211,13
BGT1,438551.2039,3683657.567,282.9,222,208,14
BGT10,438201.0891,3684308.762,215.2,201,194,7
BGT11,438165.1136,3684456.813,222.5,NA,NA,NA
BGT12,438166.2976,3683599.97,284.2,225,214,11
BGT13,438137.766,3683653.713,287.8,224,216,8
BGT14,438066.0753,3683788.127,280.7,215,209,6
BGT15,437994.3667,3683922.566,277.5,209,201,8
BGT16,437923.0321,3684057.165,250.7,NA,NA,NA
BGT17,437850.5373,3684191.182,240.7,NA,NA,NA
BGT18,437778.0426,3684325.2,216.5,NA,NA,NA
BGT2,438610.7509,3683797.777,276.4,213,198,15
BGT20,437633.0956,3684593.229,159.5,NA,NA,NA
BGT21,437898.8202,3683401.302,294.2,223,216,7
BGT22,437799.2642,3683547.28,281,231,216,15
BGT23,437730.6298,3683655.388,270,216,210,6
BGT24,437646.5223,3683782.422,265.8,227,220,7
BGT25,437562.4148,3683909.456,264.8,229,224,5
BGT27,437394.2243,3684163.542,256.9,217,207,10
BGT28,437310.1168,3684290.576,258.3,216,194,22
BGT29,437226.0339,3684417.628,243,219,215,4
BGT3,438675.7853,3683935.574,275.7,212,198,14
BGT30,437150.3331,3684531.975,219,NA,NA,NA
BGT31,437720.1928,3683251.773,308.76,220,215,5
BGT32,437602.4171,3683378.02,310.12,237,234,3
BGT33,437471.8011,3683513.995,290.42,239,223,16
BGT34,437397.7705,3683610.66,286.76,228,218,10
BGT35,437283.7259,3683716.813,267.73,217,212,5
BGT36,437179.3837,3683827.832,261.36,226,215,11
BGT37,437075.0273,3683938.845,251.6,222,215,7
BGT4,438740.7952,3684073.353,259.2,213,204,9
BGT40,437573.6233,3683170.775,332.32,209,203,6
BGT41,437457.1354,3683250.908,328.37,224,219,5
BGT42,437322.7929,3683343.789,310.92,224,219,5
BGT43,436946.5471,3683603.308,277.08,205,201,4
BGT44,436821.1316,3683689.813,276.2,214,209,5
BGT45,436732.3225,3683751.075,285.28,218,209,9
BGT46,437606.8383,3682975.279,310,213,205,8
BGT47,437455.5514,3682992.371,317.32,214,210,4
BGT48,437417.971,3682996.633,314.33,217,209,8
BGT49,437597.6957,3682776.255,297.26,222,214,8
BGT5,438806.0513,3684211.312,225.7,214,206,8
BGT50,437522.9961,3682780.448,296.27,221,214,7
BGT51,437611.8206,3682528.706,272.64,193,186,7
BGT53,437287.8677,3682412.689,278.25,200,191,9
BGT54,437137.9402,3682342.739,279.96,205,196,9
BGT56,438403.8365,3682351.999,262.94,182,175,7
BGT57,438409.3661,3682260.771,259.35,179,169,10
BGT58,438703.6616,3682527.162,285.76,192,190,2
BGT59,438743.9408,3682328.725,281.88,182,173,9
BGT6,438345.4681,3683716.678,282.2,218,NA,NA
BGT60,438917.0045,3682574.571,291.42,186,176,10
BGT61,439061.0979,3682600.745,284.3,184,178,6
BGT62,439100.6798,3682607.936,282.03,190,176,14
BGT63,439149.6592,3682818.859,293.67,195,189,6
BGT63A,438997.843,3682831.579,290.79,198,194,4
BGT64,439291.5915,3682806.965,283.25,195,188,7
BGT66,439160.7448,3683263.044,244.04,195,188,7
BGT67,439263.5839,3683325.284,242.3,186,174,12
BGT7,438308.9976,3683864.633,276.4,212,199,13
BGT8,438274.4854,3684006.739,249.3,221,217,4
BGT9,438237.0646,3684160.71,226,210,205,5
BGX11D,438901.5308,3683384.969,273.8,193,177,16
BGX1A,438382.7926,3683584.455,289.1,211,198,13
BGX2B,438233.9245,3683616.107,289.2,216,198,18
BGX4A,437856.3048,3683595.926,288.8,225,213,12
BGX7D,438042.2971,3683908.498,277.1,225,220,5
BGX9D,438593.66,3683777.194,277.4,207,202,5
BPC1,432582.4858,3682974.743,281.5,193,186,7
BRR1D,436315.8142,3682280.8,293.8,195,NA,NA
BRR3D,436215.1071,3682219.965,289.5,208,194,14
BRR6B,436497.5974,3682296.065,293.9,178,166,12
BRR7B,436307.5083,3682353.977,289.6,202,190,12
BRR8B,436151.2803,3682262.601,276.7,205,200,5
CPC1,437361.8127,3679081.26,285.1,166,156,10
FAC1SB,437323.9414,3683305.933,312,224,217,7
FCH1,436490.48,3683208.334,316.8,214,202,12
FCH2,436607.816,3682921.066,288.7,213,197,16
FCH3,436560.6392,3682720.595,307.2,207,196,11
FCH4,436642.0084,3682574.547,297.5,197,187,10
FCH5,436648.6433,3682382.47,284.2,196,191,5
FCH6,436649.0292,3682163.476,291.5,189,182,7
FIW1MC,436719.7494,3682122.606,293.3,190,185,5
FIW2MA,436719.9478,3682034.368,290.5,189,180,9
FNB1A,436727.2494,3683631.584,282.4,208,202,6
FNB3A,436612.6105,3683699.909,282.2,211,208,3
FSB100A,436735.3352,3681896.167,283.8,185,183,2
FSB101A,436759.6056,3681983.41,282.9,191,183,8
FSB112A,436439.5228,3681189.733,227,164,144,20
FSB113A,437007.4893,3681579.101,221.3,178,171,7
FSB114A,437045.9162,3682032.93,250,178,173,5
FSB115C,436975.5821,3680933.24,205.8,181,165,16
FSB116C,437162.0772,3681148.148,200.5,176,171,5
FSB120A,436295.358,3681577.582,278,181,165,16
FSB121C,436176.2108,3681346.421,254.4,173,162,11
FSB122C,436350.9332,3680993.481,216,164,148,16
FSB123C,437104.0098,3681799.82,236.3,183,172,11
FSB1TA,436887.1869,3682049.938,275.4,191,187,4
FSB76A,436734.9034,3682121.049,291.5,NA,NA,NA
FSB87A,436515.6906,3681761.642,285.6,176,173,3
FSB98A,436555.12,3681710.48,280.7,172,160,12
FSB78A,436681.0892,3681563.943,270.5,163,147,16
FSB89C,436827.2523,3681970.164,279.1,186,180,6
FSB91C,436791.7117,3681816.185,277,168,161,7
FSB93C,436726.3876,3681649.532,274,166,151,15
FSB95C,436604.2566,3681588.668,281.8,174,158,16
FSB96A,436561.6753,3681523.939,277.7,167,154,13
FSB97A,436555.9159,3681628.67,283.8,163,152,11
FSB79A,436871.42,3681290.47,216.1,173,164,9
FSB99A,436551.4618,3681815.534,285.3,178,173,5
FSBPC,436792.7132,3681393.621,230.8,161,157,4
HAA1TA,440702.1214,3682657.261,290.2,208,204,4
HAA2AA,440105.8722,3682612.632,291.4,190,186,4
HAA3AA,439738.1323,3682556.978,274.5,191,179,12
HAA4AA,440031.908,3683047.927,299.2,202,194,8
HAA6AA,440647.7872,3683201.447,279.8,210,183,27
HC12A,439261.5181,3682850.374,287.3,195,190,5
HCA4AA,440229.3409,3683301.137,308.6,234,230,4
HCH1,439681.2429,3683008.693,284,202,187,15
HCH2,439526.0055,3682791.371,270.9,196,180,16
HCH3,439576.4216,3682631.787,264,197,179,18
HCH4,439304.0706,3682603.423,269.9,193,183,10
HCH5,439465.9061,3682480.307,255,192,180,12
HIW1BD,439086.9239,3682488.698,275.8,205,NA,NA
HIW1MC,439130.4359,3682496.025,272.3,187,180,7
HIW2A,438572.5621,3682372.48,276.3,202,195,7
HIW2MC,438563.2897,3682356.949,269,199,194,5
HIW4MC,438543.5726,3682317.607,263.4,197,190,7
HIW5MC,438454.694,3682402.838,266.1,184,178,6
HMD1C,437643.7331,3683762.489,262.7,229,226,3
HMD2C,437549.2371,3684045.76,259.3,222,216,6
HMD3C,437681.997,3684109.575,257.5,224,219,5
HMD4C,437866.2191,3684086.024,248.5,224,220,4
HPC1,440498.6337,3682698.787,293.5,195,188,7
HPT1A,439230.6067,3683453.56,232.9,NA,NA,NA
HPT2A,439096.8893,3683437.14,257.8,NA,NA,NA
HSB101C,439252.4275,3682397.096,256.3,195,189,6
HSB103C,439256.4197,3682246.228,245.2,195,181,14
HSB104C,439235.9821,3682149.526,245.5,194,185,9
HSB105C,439174.3646,3682131.243,247.2,190,183,7
HSB106C,439068.0719,3682156.986,250.7,192,184,8
HSB107C,439018.0149,3682112.105,259.3,199,191,8
HSB109C,438888.329,3682012.536,259.4,203,189,14
HSB110C,438818.4412,3681997.278,253.4,192,188,4
HSB111C,438749.2692,3681999.728,253.7,188,172,16
HSB112C,438685.9507,3682042.96,252.6,191,186,5
HSB113C,438594.6806,3682035.278,258.7,188,174,14
HSB115C,438504.6738,3682098.242,266.8,209,197,12
HSB117A,438275.1663,3681961.474,234.8,216,192,24
HSB118A,438431.0031,3682060.895,245,183,173,10
HSB119A,438441.7284,3682214.222,254.8,213,195,18
HSB120A,438467.3838,3682350.716,266,203,196,7
HSB121A,438949.0534,3682184.886,272.3,197,184,13
HSB122A,439006.5141,3682291.201,269.4,188,177,11
HSB123A,439100.5809,3682357.378,263.6,196,186,10
HSB124A,439194.8511,3682429.696,263.9,NA,NA,NA
HSB132C,439392.5401,3682299.524,238.3,163,158,5
HSB139A,439104.0246,3681959.47,231.5,190,179,11
HSB140A,439092.7121,3681545.279,234,194,181,13
HSB141A,439532.8111,3682304.093,252.6,181,167,14
HSB143C,437504.53,3681779.12,220.1,198,179,19
HSB144A,438679.9147,3681938.952,233.6,186,179,7
HSB145C,439208.5629,3682024.827,233.7,184,175,9
HSB146A,439488.4995,3681994.93,249.5,174,163,11
HSB148C,438781.1102,3681356.59,248.9,187,175,12
HSB151C,437943.184,3681819.421,211.6,193,183,10
HSB152C,438201.7271,3681636.045,212.1,198,186,12
HSB65A,439133.0579,3682473.887,270.7,204,199,5
HSB68A,438915.7833,3681973.01,247.4,198,193,5
HSB69A,438806.5564,3681901.978,234.1,187,181,6
HSB83A,439316.2044,3682310.365,234.9,195,188,7
HSB84A,438773.8438,3681892.035,226.7,205,181,24
HSB85A,439014.9355,3682898.86,292.1,204,200,4
HSB86A,438514.4091,3682055.201,260,185,178,7
HSBPC,438503.5597,3681896.209,227.8,188,178,10
HSBTB,439204.7016,3682510.135,267.1,207,199,8
HSL6AA,439609.2675,3682917.181,274.6,174,169,5
HSL8AA,439740.1567,3683026.331,286.7,193,186,7
IDB2A,442440.5374,3686708.834,301.79,245,228,17
IDP3A,431772.8995,3681890.628,282.2,190,182,8
LWR9SB,436062.6632,3679945.804,238.2,179,161,18
MWD1A,443753.5617,3684765.716,327.5,218,211,7
NPN1A,443233.6512,3683271.367,335.9,235,224,11
OFS1SB,437594.3313,3682307.811,261.6,196,186,10
OFS2SB,437602.0269,3682201.663,257.5,198,188,10
OFS3SB,437854.0219,3682233.967,258.1,196,185,11
OFS4SB,438075.0653,3682245.624,258.7,196,192,4
OFS5SB,437900.8253,3682024.185,228.7,189,178,11
P14TA,443566.7047,3685704.641,294.4,213,203,10
P18TA,437347.7228,3679343.399,296.9,175,167,8
P27TA,440877.7815,3682969.737,274.1,180,169,11
P28TA,437167.1748,3683623.852,285.6,215,211,4
SDS21,440095.9268,3685630.218,251,205,199,6
SDS22,440273.1759,3684981.331,283,191,188,3
SSW3,435066.5256,3678790.55,178.7,139,134,5
YSC1A,439853.3126,3685110.216,268.9,210,199,11
YSC1C,439929.6818,3685220.964,272.5,215,213,2
YSC2A,439967.4756,3685295.697,281.7,220,215,5
YSC3SB,440036.3665,3685107.825,277,211,205,6
YSC4A,440140.3397,3684946.097,287.5,223,214,9
YSC5A,440942.5372,3684492.014,273,221,209,12
BGT53,437287.87,3682412.68,278.25,200,191.25,8.75
BRR6B,436497.6,3682296.07,293.9,178.9,165.9,13
BRR7B,436307.51,3682353.98,289.6,202,189.6,12.4
BRR8,436158.97,3682265.41,277.4,205,200.4,4.6
FBICPT1,436669.336,3681492.08,254.100006,168,151,17
FCH4,436642,3682574,298,197,187,10
FCH5,436648.6,3682382,284,196,191,5
FCH6,436651.944,3682161.711,292,189,182,7
FCPT10,436564.873,3681240.079,224.17,181.75,163,18.75
FCPT100,436638.21,3681157.14,0,179,162,17
FCPT101,436579.96,3681181.59,0,188,168,20
FCPT102,436556.04,3681106.64,0,187,0,0
FCPT103,436489.38,3681213.49,0,178,159,19
FCPT104,436481.41,3681098.67,0,189,161,28
FCPT105,436452.06,3681102.82,0,185,160,25
FCPT106,436449.51,3681067.41,0,184,158,26
FCPT107,436476.3,3681049.87,0,167,150,17
FCPT108,436505.01,3681009.69,0,168,145,23
FCPT109,436470.88,3680983.21,0,0,0,0
FCPT11,436675.15,3681322.82,237.47,179,160.5,18.5
FCPT110,436429.74,3680950.36,0,160,0,0
FCPT111,436430.2,3681022.17,0,0,0,0
FCPT112,436394.02,3681037.75,0,179,156,23
FCPT113,436374.24,3681013.83,0,0,0,0
FCPT12,436741.351,3681344.416,235.65,168,150,18
FCPT13,436816.547,3681309.274,223.07,172,156.5,15.5
FCPT14,436873.245,3681299.553,216.4,169.5,157,12.5
FCPT15,436836.071,3681382.142,224.7,168,156,12
FCPT16,436736,3681651,239,170,158,12
FCPT17,437038.98,3681393.07,0,179,164,15
FCPT18,436917.13,3681415.9,0,171,159,12
FCPT19,436781.02,3681421.4,0,177,165,12
FCPT20,437006.25,3681589.13,0,178,161,17
FCPT21,437034.83,3681653.04,0,179,0,0
FCPT22,436789.41,3681804.82,275.799988,165.5,150.5,15
FCPT23,436898.02,3681966.45,0,186,0,0
FCPT24,436855.77,3682006.23,0,0,0,0
FCPT25,436741.14,3681167.18,205,182,164,18
FCPT26,436743.77,3681058.99,0,0,0,0
FCPT27,436747.97,3680950.52,0,0,0,0
FCPT28,436673.9,3681588.23,276.059998,161,151,10
FCPT29,436595.07,3681595.68,0,174,156,18
FCPT30,436548.86,3681520.58,0,165,147,18
FCPT31,436530.73,3681334.99,0,171,154,17
FCPT32,436617.6,3681185.24,0,186,168,18
FCPT33,436350.5,3680998.7,215.899994,182,172,10
FCPT34,436355.27,3681230.56,234.399994,166,153,13
FCPT35,436388.96,3681491.67,0,167,148,19
