"","STATION_ID","EASTING","NORTHING","SurfaceElevation","TCCZ_top","TCCZ_bot","TCCZ_th_ft"
"1","BGO10A",438008.342263973,3683301.80646407,299.1,209,207,2
"2","BGO10AA",437958.910232253,3683338.45048416,298.8,219,207,12
"3","BGO12A",437811.30087696,3683158.16281419,311.4,199,186,13
"4","BGO14A",437786.306598847,3682978.99920116,300.2,220,212,8
"5","BGO16A",437985.257604218,3682889.92704167,302.8,196,183,13
"6","BGO18A",438137.958966947,3682941.890588,292.9,194,199,-5
"7","BGO20AA",438356.101206398,3682857.16274095,280.88,206,194,12
"8","BGO25A",437783.648750494,3682894.50886023,294.7,212,201,11
"9","BGO26A",437625.0574007,3682773.8233529,285.1,219,205,14
"10","BGO27C",437626.382918034,3682594.51834071,273.9,199,192,7
"11","BGO29A",437505.543150123,3682466.48881271,262.1,196,185,11
"12","BGO31C",437785.489042646,3682450.92137602,271.1,198,188,10
"13","BGO33C",438087.993360028,3682483.32164801,277.4,200,191,9
"14","BGO35C",438395.207602066,3682508.78583899,271.4,204,197,7
"15","BGO37C",438657.627917296,3682528.06276563,284.3,199,191,8
"16","BGO39A",438778.002077293,3682643.70018222,293.7,204,202,2
"17","BGO3A",438663.909565878,3683310.36660222,288.2,197,188,9
"18","BGO41A",437662.740018772,3682923.71586279,298.3,217,208,9
"19","BGO42C",437703.574866569,3682929.01490007,295.9,216,209,7
"20","BGO43AA",437768.851443544,3683225.7751181,312.2,195,187,8
"21","BGO44AA",438221.34933695,3683438.7136796,283.3,222,199,23
"22","BGO45A",437567.148289437,3682613.10784507,276.9,207,201,6
"23","BGO46B",437687.842049792,3682392.69140251,263.4,199,193,6
"24","BGO47A",437854.276287239,3682407.08360689,264.8,198,190,8
"25","BGO48C",437929.261732882,3682412.97794483,274.7,198,192,6
"26","BGO49A",438320.462955424,3682435.10845955,269.1,201,192,9
"27","BGO50A",437588.683984038,3682391.76543051,253.5,194,184,10
"28","BGO51AA",438692.161620055,3682784.95566675,287.2,205,194,11
"29","BGO52AA",438437.820195251,3682789.83928504,281.6,207,197,10
"30","BGO53AA",437740.862744105,3682829.61539593,288.9,223,216,7
