WellID	SRSEasting	SRSNorthing	SurfaceElevation	TCCZ_top	TCCZ_depth	LAZ_top	LAZ_Depth	GCU_top	GCU_Depth	GAU_top	GAU_Depth	MBCS_top	MBCS_Depth
BGO10A	57050.92	76805.18	299.10	209	90	207	92	131	168	124	175		
BGO10AA	56990.54	76997.88	298.80	219	80	207	92	130	169	126	173		
BGO12A	56250.68	76804.63	311.40	199	112	186	125	137	174	132	179		
BGO14A	55838.32	76377.54	300.20	220	80	212	88	133	167	127	173		
BGO16A	56194.15	75756.95	302.80	196	107	183	120	131	172	126	177		
BGO18A	56699.67	75599.89	292.90	194	99	199	94	131	162	126	167		
BGO20AA	57114.81	74953.76	280.88	206	75	194	87	125	156	114	167	43	238
BGO25A	55668.08	76158.50	294.70	212	83	201	94	138	157	128	167		
BGO26A	55014.20	76144.60	285.10	219	66	205	80	133	152	129	156		
BGO27C	54671.40	75666.30	273.90	199	75	192	82						
BGO29A	54103.50	75560.00	262.10	196	66	185	77	124	138	113	149		
BGO31C	54816.20	74978.00	271.10	198	73	188	83						
BGO33C	55681.40	74479.70	277.40	200	77	191	86						
BGO35C	56545.70	73953.90	271.40	204	67	197	74						
BGO37C	57279.20	73498.20	284.30	199	85	191	93						
BGO39A	57821.93	73572.52	293.70	204	90	202	92	113	181	102	192	29	265
BGO3A	58806.84	75561.71	288.20	197	91	188	100	130	158	121	167	40	248
BGO41A	55403.69	76469.52	298.30	217	81	208	90	138	160	131	167		
BGO42C	55522.27	76404.71	295.90	216	80	209	87						
BGO43AA	56268.64	77066.01	312.20	195	117	187	125	135	177	127	185		
BGO44AA	57880.51	76757.02	283.30	222	61	199	84	131	152	120	163		
BGO45A	54550.14	75830.03	276.90	207	70	201	76	134	143	130	147		
BGO46B	54444.65	75012.10	263.40	199	64	193	70	128	135	126	137		
BGO47A	54914.04	74728.83	264.80	198	67	190	75	131	134	125	140		
BGO48C	55124.38	74599.64	274.70	198	77	192	83						
BGO49A	56205.08	73902.78	269.10	201	68	192	77	119	150	115	154		
BGO50A	54179.77	75201.16	253.50	194	60	184	70	133	121	129	125		
BGO51AA	57867.00	74113.10	287.20	205	82	194	93	107	180	93	194	32	255
BGO52AA	57201.60	74617.30	281.60	207	75	197	85	125	157	116	166	18	264
BGO53AA	55429.22	76068.96	288.90	223	66	216	73	138	151	132	157	29	260
BGO5C	58794.50	76476.90	294.20	218	76	201	93						
BGO6A	58316.80	76487.20	283.80	210	74	195	89	121	163	120	164		
BGO6B	58346.46	76553.24	284.50	203	82	192	93	137	148	123	162		
BGO8A	57618.30	76569.00	281.30	213	68	199	82	130	151	120	161		
