SRS Easting	SRS Northing	Surface Elevation	TCCZ	LAZ	GCU	GAU	MBCS	Well ID
50958.4	75534.4	283.8	185	183	118	114	NA	FSB-100A
51191.3	75719	282.9	191	183	119	116	NA	FSB-101A
48809.1	74231.4	227	164	144	103	98	NA	FSB-112A
51068.1	74167.5	221.3	178	171	109	104	22	FSB-113A
52046.6	75297.4	250	178	173	114	110	NA	FSB-114A
49736	72515.5	205.8	181	165	101	86	6	FSB-115C
50645.9	72725.5	200.5	176	171	NA	NA	NA	FSB-116C
49175.7	75538.9	278	181	165	112	110	NA	FSB-120A
48413.1	75155.7	254.4	173	162	NA	NA	NA	FSB-121C
48195	73881.8	216	164	148	104	NA	NA	FSB-122C
51750.5	74566.7	236.3	183	172	NA	NA	NA	FSB-123C
51658.3	75649.1	275.4	191	187	117	115	24	FSB-1TA
51391.6	76131.9	291.5	NA	NA	121	117	NA	FSB-76A
50115.8	75601.7	285.6	176	173	115	109	NA	FSB-87A
50121.6	75389.8	280.7	172	160	109	107	NA	FSB-98A
50172.8	74757.7	270.5	163	147	105	100	NA	FSB-78A
51345.2	75553.2	279.1	186	180	NA	NA	NA	FSB-89C
50953.5	75213.3	277	168	161	NA	NA	NA	FSB-91C
50458.3	74897.3	274	166	151	NA	NA	NA	FSB-93C
50016.7	74971.7	281.8	174	158	NA	NA	NA	FSB-95C
49778.7	74882.2	277.7	167	154	109	101	NA	FSB-96A
49965.7	75171.2	283.8	163	152	111	107	NA	FSB-97A
50149.6	73664.5	216.1	173	164	103	100	18	FSB-79A
50314.8	75675.6	285.3	178	173	115	112	NA	FSB-99A
