"","MYEAR","inventory1","inventory1b","inventory1lm","inventoryC"
"1",1986,36927.756039857,35912.3256007639,31258.69802267,11101.620467784
"2",1987,47466.6842065053,45944.2459861806,40633.6194843085,5043.40138779542
"3",1988,53144.973224755,51525.2287886371,45713.119319004,3774.44248618248
"4",1989,49248.4266986109,47550.7702784776,42711.7393571782,4744.7334040929
"5",1990,32846.2455506892,31884.8218446385,31746.4016035353,4218.84556568014
"6",1991,22469.6908455003,21973.0215358304,21440.5493586672,3580.08181874
"7",1992,19827.4574675313,19402.8625673787,19482.5585292448,3104.66208494939
"8",1993,14008.7808512791,13718.9521256568,13555.3683068918,2906.05371541428
"9",1994,14296.1030381386,14010.4408892778,14291.7308829709,2572.075773288
"10",1995,7209.64595480397,7056.95388812652,7086.89114696451,2034.63278663019
"11",1996,6445.44658933402,6310.83109026448,6553.51275794963,2708.93022248312
"12",1997,5321.50654733678,5222.78514264323,5338.65034005042,2253.31240100652
"13",1998,4278.30012596696,4195.34096607429,4231.43149748584,2655.06508962338
"14",1999,3117.14564827612,3056.98365927769,3110.44322420429,2132.6569762661
"15",2000,3191.64850602832,3127.70148914167,3129.05078425168,2516.42322350484
"16",2001,5005.01664986944,4876.66202075189,4708.83418295375,3098.8409643072
"17",2002,3474.03023105293,3398.40959791006,3495.68349758361,1544.97702444899
"18",2003,2827.16245081718,2694.84477248327,2838.14118305965,1416.80071885526
"19",2004,2888.83262747761,2784.25068015573,2917.95332161643,1465.06401367658
"20",2005,1882.94254424623,1811.67421116584,1920.18919968797,1414.18473330367
"21",2006,1479.84510128158,1418.95206418403,1486.47495155034,1189.91816349913
"22",2007,1205.17388498629,1152.14869629456,1227.62001112017,1104.99734138243
"23",2008,1076.15267102378,1042.74792510756,1125.59909885342,997.67673155136
"24",2009,797.451447548795,769.119594768145,840.784079231934,825.42026245056
"25",2010,858.931929172282,823.194189191555,891.41854956154,858.6569421696
"26",2011,717.297304911063,685.329408644019,736.420084662484,790.2539565984
