Year,Volume (L),H-3 (Ci) ,Cumul H-3 (Ci),Net H-3 after evaporative losses (Ci),Cumul H-3 after evaporative losses (Ci),Cumul H-3 (evap losses + decay corrected) (Ci),H-AreaMigration,H-Migration decay corrected,F-Area Migration,Cumul H-3 from migration from F seepage basins (Ci),Cumul H-3 from migration from F seepage basins decay corrected,Tritium inventory decay corrected (Ci), Decay Corrected,Possible evolution (F),Estimates interpolation,Lower bound,Upper bound
1955,4.84E+07,293,293,205,205,205,0,0,0,0,0,205,,,,,
1956,9.67E+07,293,586,205,410,398.7670278,0,0,0,0,0,398.7670278,,,,,
1957,5.54E+07,293,879,205,615,581.916594,0,0,0,0,0,581.916594,,,,,
1958,3.79E+07,0,879,0,615,550.0304822,4.00E+02,3.89E+02,0,0,0,550.0304822,,,,,
1959,7.08E+07,5900,6779,4130,4745,4649.891569,8.00E+02,1.15E+03,0,0,0,4649.891569,,,,,
1960,1.45E+08,8340,15119,5838,10583,10233.10082,1.60E+03,2.64E+03,0,0,0,10233.10082,,,,,
1961,8.71E+07,10000,25119,7000,17583,16672.3782,2.00E+03,4.44E+03,0,0,0,16672.3782,,,,,
1962,1.74E+08,18050,43169,12635,30218,28393.81547,1.70E+03,5.85E+03,0,0,0,28393.81547,,,,,
1963,1.50E+08,17160,60329,12012,42230,38849.97674,2.70E+03,8.15E+03,0,0,0,38849.97674,,8.00E+01,,,
1964,2.10E+08,21570,81899,15099,57329,51820.1928,4.70E+03,1.23E+04,0,0,0,51820.1928,,7.10E+02,,,
1965,1.06E+08,16150,98049,11305,68634,60285.70604,5.60E+03,1.70E+04,0,0,0,60285.70604,,1.34E+03,,,
1966,1.11E+08,19990,118039,13993,82627,70975.3516,4.60E+03,2.06E+04,0,0,0,70975.3516,,1.97E+03,,,
1967,1.17E+08,11940,129979,8358,90985,75444.25818,3.00E+03,2.24E+04,2.60E+03,2600,2600,72844.25818,2.53E+03,2.60E+03,,,
1968,1.26E+08,14002,143981,9801,100786,81111.29109,2.90E+03,2.40E+04,2.89E+03,5487,5344.533036,75766.75805,5.20E+03,,,,
1969,1.95E+08,11700,155681,8190,108976,84856.79901,3.50E+03,2.60E+04,2.59E+03,8076,7640.679421,77216.11958,7.43E+03,,,,
1970,1.91E+08,10940,166621,7658,116634,87865.07187,4.40E+03,2.89E+04,2.59E+03,10668,9814.008497,78051.06337,9.54E+03,,,,
1971,1.23E+08,4766,171387,3336,119970,86386.50646,9.54E+03,3.67E+04,2.30E+03,12967,11575.25004,74811.25642,1.13E+04,,,,
1972,1.53E+08,7051,178438,4936,124906,86588.95902,5.36E+03,3.98E+04,3.49E+03,16452,14425.98437,72162.97465,1.40E+04,,,,
1973,2.08E+08,11941,190379,8359,133265,90203.31819,6.81E+03,4.42E+04,4.19E+03,20637,17820.51275,72382.80544,1.73E+04,,,,
1974,1.31E+08,7500,197879,5250,138515,90510.62861,5.73E+03,4.74E+04,3.18E+03,23813,20020.038,70490.59061,1.95E+04,,,,
1975,7.88E+07,3690,201569,2583,141098,88134.09995,6.80E+03,5.14E+04,2.08E+03,25893,21003.04029,67131.05966,2.04E+04,,,,
1976,1.68E+08,6040,207609,4228,145326,87532.79315,4.30E+03,5.27E+04,2.65E+03,28546,22505.17899,65027.61417,2.19E+04,,,,
1977,1.47E+08,3922,211531,2745,148071,85481.43495,4.53E+03,5.42E+04,3.66E+03,32203,24929.00801,60552.42694,2.42E+04,,,,
1978,1.55E+08,4763,216294,3334,151405,84131.48089,5.46E+03,5.66E+04,3.45E+03,35657,27017.02336,57114.45753,2.63E+04,,,,
1979,1.91E+08,5970,222264,4179,155584,83700.49755,6.69E+03,6.00E+04,2.16E+03,37817,27696.62593,56003.87161,2.69E+04,,,,
1980,1.93E+08,5322,227586,3725,159309,82839.12993,5.32E+03,6.19E+04,1.51E+03,39324,27685.9897,55153.14024,2.69E+04,,,,
1981,2.71E+08,7577,235163,5304,164613,83603.96094,4.17E+03,6.25E+04,1.11E+03,40430,27274.93627,56329.02467,2.65E+04,,,,
1982,1.27E+08,4540,239703,3178,167791,82200.88304,8.90E+03,6.77E+04,2.77E+03,43200,28550.40651,53650.47654,2.77E+04,,,,
1983,7.37E+07,7482,247185,5237,173028,82933.68678,1.05E+04,7.42E+04,2.57E+03,45768,29553.98738,53379.69941,2.87E+04,,,,
1984,1.17E+08,9344,256529,6541,179569,84930.33655,1.25E+04,8.23E+04,2.32E+03,48088,30254.57704,54675.75951,2.94E+04,,,,
1985,1.50E+08,9895,266424,6927,186496,87203.57992,9.28E+03,8.68E+04,2.69E+03,50778,31286.77791,55916.80202,3.04E+04,,,,
1986,1.64E+08,10232,276656,7162,193658,89587.26096,1.26E+04,9.43E+04,1.80E+03,52578,31372.41934,58214.84162,3.05E+04,,,,
1987,2.67E+09,13162,289818,9213,202871,93891.32822,1.18E+04,1.01E+05,2.76E+03,55338,32413.36805,61477.96017,3.15E+04,,,,
1988,7.66E+07,3142,292960,2199,205070,90945.55417,7.65E+03,1.02E+05,3.33E+03,58668,33967.27799,56978.27618,3.30E+04,,,,
1989,0.00E+00,0,292960,0,205070,85962.19378,6.91E+03,1.04E+05,4.44E+03,63111,36549.04146,49413.15232,3.55E+04,,,,
1990,0.00E+00,0,292960,0,205070,81251.89655,,,3.57E+03,66681,38116.33723,43135.55931,,,18466.13047,12310.75365,24621.50729
1991,0.00E+00,0,292960,0,205070,76799.69999,,,5.75E+03,72431,41777.75306,35021.94693,,,17243.56617,11495.71078,22991.42156
1992,0.00E+00,0,292960,0,205070,72591.46148,,,4.26E+03,76691,43748.54165,28842.91983,,,13445.48107,8963.654045,17927.30809
1993,0.00E+00,0,292960,0,205070,68613.81334,,,2.18E+03,78871,43531.34091,25082.47243,,,10971.82991,7314.553271,14629.10654
1994,0.00E+00,0,292960,0,205070,64854.12038,,,2.88E+03,81751,44026.04168,20828.0787,,,10033.23081,6688.820538,13377.64108
1995,0.00E+00,0,292960,0,205070,61300.43974,,,2.37E+03,84121,43983.63533,17316.80441,,,9016.065693,6010.710462,12021.42092
1996,0.00E+00,0,292960,0,205070,57941.48298,,,1.62E+03,85741,43193.55263,14747.93035,,,6702.50275,4468.335166,8936.670333
1997,0.00E+00,0,292960,0,205070,54766.58022,,,1.00E+03,86741,41826.76251,12939.81771,,,5748.363258,3832.242172,7664.484344
1998,0.00E+00,0,292960,0,205070,51765.6462,,,1.48E+03,88218,41011.86563,10753.78057,,,3377.933757,2251.955838,4503.911676
1999,0.00E+00,0,292960,0,205070,48929.14833,,,6.48E+02,88866,39412.62101,9516.527314,,,2148.442066,1432.294711,2864.589422
2000,0.00E+00,0,292960,0,205070,46248.07632,,,3.53E+02,89219,37606.00698,8642.06933,,,2221.498448,1480.998965,2961.99793
2001,0.00E+00,0,292960,0,205070,43713.91361,,,2.84E+02,89503,35829.38635,7884.52726,,,1875.221532,1250.147688,2500.295376
2002,0.00E+00,0,292960,0,205070,41318.61031,,,2.26E+02,89729,34092.11561,7226.494697,,,1521.605688,1014.403792,2028.807584
2003,0.00E+00,0,292960,0,205070,39054.55762,,,5.55E+02,90284,32779.0386,6275.519019,,,1529.54942,1019.699613,2039.399226
2004,0.00E+00,0,292960,0,205070,36914.56367,,,5.26E+02,90810,31508.91163,5405.65204,,,1654.448583,1102.965722,2205.931444
2005,0.00E+00,0,292960,0,205070,34891.83066,,,6.30E+02,91440,30412.38125,4479.44941,,,1304.847026,869.898017,1739.796034
2006,0.00E+00,0,292960,0,205070,32979.93328,,,6.90E+01,91509,28814.93524,4164.998041,,,1165.129744,776.7531628,1553.506326
2007,0.00E+00,0,292960,0,205070,31172.79829,,,1.54E+02,91663,27390.02125,3782.777031,,,853.7183257,569.1455505,1138.291101
2008,0.00E+00,0,292960,0,205070,29464.68523,,,7.10E+01,91734,25960.18542,3504.499815,,,757.8869688,505.2579792,1010.515958
2009,0.00E+00,0,292960,0,205070,27850.16821,,,2.70E+01,91761,24564.69741,3285.470796,,,603.8288224,402.5525483,805.1050965
2010,0.00E+00,0,292960,0,205070,26324.11862,,,0.00E+00,91761,23218.67515,3105.443468,,,,,
2011,0.00E+00,0,292960,0,205070,24881.6889,,,0.00E+00,91761,21946.40817,2935.280736,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
