"ANALYTE_NAME"|"COUNT"
"1-NAPHTHYLAMINE"|85
"1,1-DICHLOROETHANE"|1801
"1,1-DICHLOROETHYLENE"|1836
"1,1-DICHLOROPROPENE"|14
"1,1,1-TRICHLOROETHANE"|1841
"1,1,1,2-TETRACHLOROETHANE"|182
"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE"|205
"1,1,2-TRICHLOROETHANE"|1777
"1,1,2,2-TETRACHLOROETHANE"|1777
"1,1'-BIPHENYL"|119
"1,2-DIBROMO-3-CHLOROPROPANE"|372
"1,2-DIBROMOETHANE"|402
"1,2-DICHLOROBENZENE"|405
"1,2-DICHLOROETHANE (EDC)"|1770
"1,2-DICHLOROETHYLENE"|150
"1,2-DICHLOROPROPANE"|1784
"1,2-DIPHENYLHYDRAZINE"|55
"1,2,3-TRICHLOROBENZENE"|14
"1,2,3-TRICHLOROPROPANE"|176
"1,2,3,4,6,7,8-HPCDD"|30
"1,2,3,4,6,7,8-HPCDF"|1
"1,2,3,4,7,8-HXCDD"|30
"1,2,3,4,7,8-HXCDF"|1
"1,2,3,7,8-PCDF"|1
"1,2,4-TRICHLOROBENZENE"|407
"1,2,4,5-TETRACHLOROBENZENE"|85
"1,3-DICHLOROBENZENE"|404
"1,3-DICHLOROPROPANE"|14
"1,3-DINITROBENZENE"|85
"1,3,5-TRIMETHYLBENZENE"|6
"1,3,5-TRINITROBENZENE"|74
"1,4-BENZOQUINONE"|5
"1,4-DICHLOROBENZENE"|430
"1,4-DINITROBENZENE"|11
"1,4-DIOXANE"|131
"1,4-NAPHTHOQUINONE"|85
"2-ACETYLAMINOFLUORENE"|86
"2-CHLOROETHYL VINYL ETHER"|1402
"2-CHLORONAPHTHALENE"|300
"2-CHLOROPHENOL"|309
"2-DINITROPHENOL"|11
"2-HEXANONE"|456
"2-METHYLANILINE (O-TOLUIDINE)"|86
"2-METHYLNAPHTHALENE"|260
"2-NAPHTHYLAMINE"|74
"2-NITROANILINE"|260
"2-NITROPHENOL"|289
"2-NITROPROPANE"|5
"2-PICOLINE"|85
"2,2-DICHLOROPROPANE"|14
"2,3,4,6-TETRACHLOROPHENOL"|86
"2,3,7,8-TCDD"|64
"2,3,7,8-TCDF"|1
"2,4-DICHLOROPHENOL"|301
"2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)"|424
"2,4-DIMETHYLPHENOL"|301
"2,4-DINITROPHENOL"|301
"2,4-DINITROTOLUENE"|313
"2,4,5-T"|84
"2,4,5-TP (SILVEX)"|424
"2,4,5-TRICHLOROPHENOL"|261
"2,4,6-TRICHLOROPHENOL"|305
"2,6-DICHLOROPHENOL"|86
"2,6-DINITROTOLUENE"|304
"3-METHYLCHOLANTHRENE"|85
"3,3-DICHLOROBENZIDINE"|304
"3,3'-DIMETHOXYBENZIDINE"|11
"3,3'-DIMETHYLBENZIDINE"|74
"3,4-BENZO (6) FLUORANTHENE"|11
"4-AMINOBIPHENYL"|86
"4-BROMOPHENYL PHENYL ETHER"|304
"4-CHLOROANILINE"|260
"4-CHLOROPHENYL PHENYL ETHER"|304
"4-CHLOROTOLUENE"|6
"4-NITROPHENOL"|309
"4-NITROQUINOLINE-1-OXIDE"|74
"5-NITRO-O-TOLUIDINE"|74
"7,12-DIMETHYLBENZ(A)ANTHRACENE"|85
"A,A-DIMETHYLPHENETHYLAMINE"|74
"ACENAPHTHENE"|314
"ACENAPHTHYLENE"|305
"ACETONE"|456
"ACETONITRILE (METHYL CYANIDE)"|182
"ACETOPHENONE"|212
"ACROLEIN"|229
"ACRYLONITRILE"|229
