"ANALYTE_NAME"|"COUNT"
"1-NAPHTHYLAMINE"|65
"1,1-DICHLOROETHANE"|1235
"1,1-DICHLOROETHYLENE"|1248
"1,1-DICHLOROPROPENE"|3
"1,1,1-TRICHLOROETHANE"|1272
"1,1,1,2-TETRACHLOROETHANE"|71
"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE"|81
"1,1,2-TRICHLOROETHANE"|1232
"1,1,2,2-TETRACHLOROETHANE"|1232
"1,1'-BIPHENYL"|1
"1,2-DIBROMO-3-CHLOROPROPANE"|131
"1,2-DIBROMOETHANE"|151
"1,2-DICHLOROBENZENE"|165
"1,2-DICHLOROETHANE (EDC)"|1232
"1,2-DICHLOROETHYLENE"|73
"1,2-DICHLOROPROPANE"|1233
"1,2-DIPHENYLHYDRAZINE"|14
"1,2,3-TRICHLOROBENZENE"|4
"1,2,3-TRICHLOROPROPANE"|71
"1,2,3,4,6,7,8-HPCDD"|27
"1,2,3,4,6,7,8-HPCDF"|1
"1,2,3,4,7,8-HXCDD"|27
"1,2,3,4,7,8-HXCDF"|1
"1,2,3,7,8-PCDF"|1
"1,2,4-TRICHLOROBENZENE"|163
"1,2,4,5-TETRACHLOROBENZENE"|65
"1,3-DICHLOROBENZENE"|165
"1,3-DICHLOROPROPANE"|4
"1,3-DINITROBENZENE"|65
"1,3,5-TRIMETHYLBENZENE"|1
"1,3,5-TRINITROBENZENE"|52
"1,4-DICHLOROBENZENE"|173
"1,4-DINITROBENZENE"|13
"1,4-DIOXANE"|62
"1,4-NAPHTHOQUINONE"|65
"2-ACETYLAMINOFLUORENE"|65
"2-CHLOROETHYL VINYL ETHER"|1072
"2-CHLORONAPHTHALENE"|83
"2-CHLOROPHENOL"|82
"2-DINITROPHENOL"|13
"2-HEXANONE"|194
"2-METHYLANILINE (O-TOLUIDINE)"|65
"2-METHYLNAPHTHALENE"|82
"2-NAPHTHYLAMINE"|52
"2-NITROANILINE"|82
"2-NITROPHENOL"|70
"2-PICOLINE"|65
"2,2-DICHLOROPROPANE"|4
"2,3,4,6-TETRACHLOROPHENOL"|65
"2,3,7,8-TCDD"|49
"2,3,7,8-TCDF"|1
"2,4-DICHLOROPHENOL"|83
"2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)"|339
"2,4-DIMETHYLPHENOL"|83
"2,4-DINITROPHENOL"|83
"2,4-DINITROTOLUENE"|83
"2,4,5-T"|65
"2,4,5-TP (SILVEX)"|340
"2,4,5-TRICHLOROPHENOL"|82
"2,4,6-TRICHLOROPHENOL"|83
"2,6-DICHLOROPHENOL"|65
"2,6-DINITROTOLUENE"|83
"3-METHYLCHOLANTHRENE"|65
"3,3-DICHLOROBENZIDINE"|83
"3,3'-DIMETHOXYBENZIDINE"|13
