"ANALYTE_NAME"|"COUNT"
"TRITIUM"|3617
"NONVOLATILE BETA"|3539
"GROSS ALPHA"|3506
"LEAD"|3346
"CADMIUM"|3326
"NITRATE-NITRITE AS NITROGEN"|2887
"PH"|2591
"SPECIFIC CONDUCTANCE"|2573
"ALUMINUM"|2406
"BARIUM"|2035
"SILVER"|2024
"ARSENIC"|2016
"CHROMIUM"|2015
"MERCURY"|2003
"SELENIUM"|1992
"ZINC"|1970
"NICKEL"|1958
"COPPER"|1915
"ANTIMONY"|1870
"COBALT"|1860
"THALLIUM"|1845
"VANADIUM"|1830
"CYANIDE"|1800
"PHENOLS"|1673
"IRON"|1638
"TETRACHLOROETHYLENE (PCE)"|1590
"CHLOROFORM"|1587
"TRICHLOROETHYLENE (TCE)"|1583
"BENZENE"|1543
"DICHLOROMETHANE (METHYLENE CHLORIDE)"|1528
"TRICHLOROFLUOROMETHANE"|1502
"TOTAL ACTIVITY"|1479
"RADIUM-226"|1414
"URANIUM-238"|1280
"CARBON TETRACHLORIDE"|1277
"1,1,1-TRICHLOROETHANE"|1272
"RADIUM-228"|1270
"MANGANESE"|1269
"1,1-DICHLOROETHYLENE"|1248
"TOLUENE"|1247
"CHLOROBENZENE"|1245
"1,1-DICHLOROETHANE"|1235
"RADIUM, TOTAL ALPHA-EMITTING"|1234
"1,2-DICHLOROPROPANE"|1233
"1,1,2-TRICHLOROETHANE"|1232
"1,1,2,2-TETRACHLOROETHANE"|1232
"1,2-DICHLOROETHANE (EDC)"|1232
"BROMODICHLOROMETHANE"|1232
"BROMOFORM (TRIBROMOMETHANE)"|1232
"BROMOMETHANE (METHYL BROMIDE)"|1232
"CHLOROETHANE (ETHYL CHLORIDE)"|1232
"CHLOROMETHANE (METHYL CHLORIDE)"|1232
"CIS-1,3-DICHLOROPROPENE"|1232
"DIBROMOCHLOROMETHANE"|1232
"ETHYLBENZENE"|1232
"TRANS-1,3-DICHLOROPROPENE"|1232
"SODIUM"|1224
"URANIUM-233/234"|1213
"IODINE-129"|1201
"TRANS-1,2-DICHLOROETHYLENE"|1194
"BIS(2-ETHYLHEXYL)PHTHALATE (DEHP)"|1188
"MAGNESIUM"|1185
"POTASSIUM"|1176
"URANIUM-235"|1171
"CHLOROETHENE (VINYL CHLORIDE)"|1168
"BERYLLIUM"|1167
"CALCIUM"|1152
"THORIUM-230"|1152
"TECHNETIUM-99"|1111
"AMERICIUM-241"|1105
"THORIUM-228"|1075
"2-CHLOROETHYL VINYL ETHER"|1072
"STRONTIUM-90"|1052
"TOTAL ORGANIC CARBON"|1025
"TOTAL ORGANIC HALOGENS"|1008
