Year,Volume.L,CumulVol.L,Tritium.Ci,Tritiumafterevap.Ci,Strontium90.Ci,UNAT.Ci,Cesium137.Ci
1955,4.84E+07,4.84E+07,293,205,0.21,0.137,0.182
1956,9.67E+07,1.45E+08,293,205,6.84,0.539,0.572
1957,5.54E+07,2.00E+08,293,205,5.89,0.494,0.8462
1958,3.79E+07,2.38E+08,0,0,2.6,0.436,0.67
1959,7.08E+07,3.09E+08,5900,4130,2.3,0.592,1
1960,1.45E+08,4.54E+08,8340,5838,4.4,0.811,7
1961,8.71E+07,5.42E+08,10000,7000,1.93,0.251,17.74
1962,1.74E+08,7.15E+08,18050,12635,2.58,0.574,57.08
1963,1.50E+08,8.66E+08,17160,12012,3.06,0.658,15.38
1964,2.10E+08,1.08E+09,21570,15099,1.69,1.716,15.48
1965,1.06E+08,1.18E+09,16150,11305,1.86,0.588,4.38
1966,1.11E+08,1.29E+09,19990,13993,0.96,0.49,3.95
1967,1.17E+08,1.41E+09,11940,8358,0.73,0.176,7.23
1968,1.26E+08,1.54E+09,14002,9801,1.03,0.251,18.98
1969,1.95E+08,1.73E+09,11700,8190,0.99,0.973,22.51
1970,1.91E+08,1.92E+09,10940,7658,1.99,1.38,12.9
1971,1.23E+08,2.04E+09,4766,3336,0.81,0.22,4.81
1972,1.53E+08,2.20E+09,7051,4936,0.44,0.23,2.72
1973,2.08E+08,2.41E+09,11941,8359,0.09,0.158,4.13
1974,1.31E+08,2.54E+09,7500,5250,0.06,0.098,4.72
1975,7.88E+07,2.61E+09,3690,2583,0.115,0.115,0.975
1976,1.68E+08,2.78E+09,6040,4228,0.022,0.239,0.31
1977,1.47E+08,2.93E+09,3922,2745,0.065,0.099,0.614
1978,1.55E+08,3.08E+09,4763,3334,0.052,0.114,1.032
1979,1.91E+08,3.27E+09,5970,4179,0.06,0.107,0.605
1980,1.93E+08,3.47E+09,5322,3725,0.032,0.182,0.275
1981,2.71E+08,3.74E+09,7577,5304,0.258,0.613,0.6392
1982,1.27E+08,3.87E+09,4540,3178,0.081,0.147,0.9223
1983,7.37E+07,3.94E+09,7482,5237,0.023,0.068,0.7309
1984,1.17E+08,4.06E+09,9344,6541,0.058,0.042,0.549
1985,1.50E+08,4.21E+09,9895,6927,0.105,0.115,2.802
1986,1.64E+08,4.37E+09,10232,7162,0.07,1.153,2.999
1987,2.67E+09,7.04E+09,13162,9213,0.026,0.038,3.899
1988,7.66E+07,7.12E+09,3142,2199,0.008,0.022,1.494
