STATION_SEQ|SITE_ID|STATION_ID|STATION_TYPE|STATION_STATUS_CODE|GRID_PLANE|COORDINATE_STATUS_CODE|NORTHING|EASTING|PLANIMETRIC_UNITS|LONGITUDE|LATITUDE|GROUND_ELEVATION|REFERENCE_ELEVATION|ELEVATION_UNITS|REFERENCE_ELEVATION_CODE|TOP_DEPTH|BOTTOM_DEPTH|DEPTH_UNITS|INSTALLATION_DATE|ISINDOMAIN|ISINDOMAIN2|ISINDOMAIN3|AQUIFER|TOP_ELEV|BOTTOM_ELEV
1017139|72|FSL 11C|MONITORING WELL|ACTIVE|UTM|L|3682458.26580037|436572.47681727|m|-81.6811266171|33.2810372674|298.44|300.73000000000002|ft|S|107.7|127.7|ft|2000-07-26||False|True|C|193.03000000000003|173.03000000000003
1014757|19|FSB121DR|MONITORING WELL|ABANDONED|UTM||3681348.47|436180.98|m|-81.6852523038|33.2710042414|253.65000000000001|256.51999999999998|ft|S|42|62|ft|1991-09-04||True|True|D|214.51999999999998|194.51999999999998
1014946|1977|BH   1B|WELL|ACTIVE|UTM||3680832.36|435716.31|m|-81.6902047319|33.2663215325|271.10000000000002|273.60000000000002|ft|C|0|0|ft|||True|True|B|273.60000000000002|273.60000000000002
1014949|1977|BH   3B|PIEZOMETER WELL|ABANDONED|UTM||3681368.39518401|436079.90042223|m|-81.6863389771|33.2711779719|261.69999999999999|264.19999999999999|ft|C|0|65.900000000000006|ft|||True|True|D|264.19999999999999|198.29999999999998
1015126|19|F   60|MONITORING WELL|ACTIVE|UTM||3682016.11|436860.44|m|-81.6780036368|33.2770660989|277.89999999999998|280.39999999999998|ft|C|0|0|ft|1968-01-18||True|True|D|280.39999999999998|280.39999999999998
1015127|19|F   77|MONITORING WELL|ACTIVE|UTM||3681716.15|436738.84|m|-81.679288367|33.2743534466|269.5|272|ft|C|0|0|ft|||True|True|D|272|272
1015113|19|F   49|MONITORING WELL|ABANDONED|UTM||3682636.01|435455.65|m|-81.6931317553|33.2825741512|229.69999999999999|232.19999999999999|ft|C|0|0|ft|1967-05-12||True|True|D|232.19999999999999|232.19999999999999
1015096|19|F   14A|MONITORING WELL|ACTIVE|UTM||3681579.78|436633.83|m|-81.6804063384|33.2731172751|279.5|279.5|ft|G|0|0|ft|1962-02-09||True|True|A|279.5|279.5
1015097|19|F   32A|MONITORING WELL|ACTIVE|UTM||3681590.75|436463.03|m|-81.6822409926|33.2732061694|271.89999999999998|274.39999999999998|ft|C|0|0|ft|1965-05-13||True|True|A|274.39999999999998|274.39999999999998
1015098|19|F   32B|MONITORING WELL|ACTIVE|UTM||3681592.75|436464.21|m|-81.6822284631|33.2732242781|271.69999999999999|274.19999999999999|ft|C|0|0|ft|1965-11-10||True|True|B|274.19999999999999|274.19999999999999
1015099|19|F   35|MONITORING WELL|ACTIVE|UTM||3681998|436882.67|m|-81.6777636795|33.2769040554|274.89999999999998|277.39999999999998|ft|C|0|0|ft|1966-07-08||True|True|D|277.39999999999998|277.39999999999998
1015100|19|F   36|MONITORING WELL|ACTIVE|UTM||3681805.28|436818.31|m|-81.6784413003|33.2751620249|269.10000000000002|271.60000000000002|ft|C|0|0|ft|1967-01-12||True|True|D|271.60000000000002|271.60000000000002
1015101|19|F   37|MONITORING WELL|ACTIVE|UTM||3681708.68|436758.6|m|-81.6790756786|33.2742872292|268.5|271|ft|C|0|0|ft|1967-01-17||True|True|D|271|271
1015102|19|F   38|MONITORING WELL|ACTIVE|UTM||3681546.4|436632.5|m|-81.6804182835|33.2728161222|273.69999999999999|276.19999999999999|ft|C|0|0|ft|1967-01-25||True|True|D|276.19999999999999|276.19999999999999
1015103|19|F   39|MONITORING WELL|ACTIVE|UTM||3681717.34|436531.81|m|-81.6815113693|33.2743520131|279.39999999999998|281.89999999999998|ft|C|0|0|ft|1967-01-30||True|True|D|281.89999999999998|281.89999999999998
1015104|19|F   40|MONITORING WELL|ACTIVE|UTM||3682292.46|436842.44|m|-81.6782161861|33.2795576149|270|272.5|ft|C|0|0|ft|1967-02-02||True|True|D|272.5|272.5
1015105|19|F   41|MONITORING WELL|ABANDONED|UTM||3683100.49|435768.06|m|-81.6898100011|33.2867822291|272.60000000000002|275.10000000000002|ft|C|0|0|ft|1967-02-07||False|True|D|275.10000000000002|275.10000000000002
1015106|19|F   42|MONITORING WELL|ACTIVE|UTM||3682114.31|437448.9|m|-81.6716918127|33.2779861293|251.5|254|ft|C|0|0|ft|1967-02-09||True|True|D|254|254
1015139|2049|FM   6|MONITORING WELL|ACTIVE|UTM||3682685.6|436729.63|m|-81.6794549924|33.283096968|296.5|299|ft|C|0|0|ft|1961-11-21||False|True|D|299|299
1015140|2049|FM   7|MONITORING WELL|ACTIVE|UTM||3682368.57487816|436454.61879|m|-81.6823858819|33.2802213495|281.19999999999999|283.69999999999999|ft|C|0|66.599999999999994|ft|1961-11-22||True|True|D|283.69999999999999|217.09999999999999
1015144|19|FMC  1A|MONITORING WELL|ABANDONED|UTM||3681633.44|436640.75|m|-81.6803357916|33.2736016745|279.5|282|ft|C|67.700000000000003|75.700000000000003|ft|1968-06-11||True|True|A|214.30000000000001|206.30000000000001
1015145|19|FMC  1B|MONITORING WELL|ABANDONED|UTM||3681633.44|436640.75|m|-81.6803357916|33.2736016745|277.10000000000002|279.60000000000002|ft|C|90.099999999999994|94.099999999999994|ft|1968-06-16||True|True|B|189.50000000000003|185.50000000000003
1015146|19|FMC  1C|MONITORING WELL|ABANDONED|UTM||3681633.44|436640.75|m|-81.6803357916|33.2736016745|276.60000000000002|279.10000000000002|ft|C|115.59999999999999|119.59999999999999|ft|1968-06-12||True|True|C|163.50000000000003|159.50000000000003
1015147|19|FMC  2A|MONITORING WELL|ABANDONED|UTM||3681509.6|436734.67|m|-81.6793187142|33.2724901996|237.19999999999999|239.69999999999999|ft|C|30.600000000000001|38.600000000000001|ft|1968-11-13||True|True|A|209.09999999999999|201.09999999999999
1015148|19|FMC  2B|MONITORING WELL|ABANDONED|UTM||3681509.6|436734.67|m|-81.6793187142|33.2724901996|237.40000000000001|239.90000000000001|ft|C|50.600000000000001|54.600000000000001|ft|1968-11-13||True|True|B|189.30000000000001|185.30000000000001
