STATION_SEQ|STATION_ID|EASTING|NORTHING|LATITUDE|LONGITUDE|ANALYSIS_DATE|COLLECTION_DATE|MDATE|MYEAR|MMONTH|MDAY|MQUARTER|ANALYTE_NAME|RESULT|RESULT_UNITS|PQL|PQL_UNITS|RESULT_SEQ|SAMPLE_SEQ|GROUND_ELEVATION|REFERENCE_ELEVATION|TOP_ELEV|BOTTOM_ELEV
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-02-01 00:00:00|1993-01-11 00:00:00|1993-02-01 00:00:00|1993|2|1|1|IODINE-129|2|pCi/L|2|pCi/L|23566009|15244734|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-03-10 00:00:00|1993-02-11 00:00:00|1993-03-10 00:00:00|1993|3|10|1|IODINE-129|2|pCi/L|2|pCi/L|23565884|15246282|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-03-09 00:00:00|1993-02-11 00:00:00|1993-03-09 00:00:00|1993|3|9|1|IODINE-129|2|pCi/L|2|pCi/L|23565885|15246282|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|1993-03-17 00:00:00|1993-02-18 00:00:00|1993-03-17 00:00:00|1993|3|17|1|IODINE-129|2|pCi/L|2|pCi/L|23565860|15246884|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013069|FSB 97C|436555.62|3681631.62|33.273580253|-81.6812497127|1993-04-01 00:00:00|1993-02-21 00:00:00|1993-04-01 00:00:00|1993|4|1|2|IODINE-129|113|pCi/L|2|pCi/L|23565821|15246972|283.80000000000001|286.30000000000001|156.30000000000001|146.30000000000001
1013118|FSB123C|437104.01|3681799.82|33.2751294821|-81.6753732769|1993-03-12 00:00:00|1993-02-12 00:00:00|1993-03-12 00:00:00|1993|3|12|1|IODINE-129|2|pCi/L|2|pCi/L|23565881|15246356|236.30000000000001|238.30000000000001|167.30000000000001|157.30000000000001
1013069|FSB 97C|436555.62|3681631.62|33.273580253|-81.6812497127|1993-03-30 00:00:00|1993-02-21 00:00:00|1993-03-30 00:00:00|1993|3|30|1|IODINE-129|112|pCi/L|2|pCi/L|23565820|15246972|283.80000000000001|286.30000000000001|156.30000000000001|146.30000000000001
1013038|FSB 78C|436677.79|3681567.13|33.2730057595|-81.6799334541|1993-04-07 00:00:00|1993-02-19 00:00:00|1993-04-07 00:00:00|1993|4|7|2|IODINE-129|106|pCi/L|2|pCi/L|23565811|15246902|271.39999999999998|273.60000000000002|153.60000000000002|143.80000000000001
1013105|FSB115C|436975.58|3680933.25|33.2673058442|-81.6766919769|1993-03-17 00:00:00|1993-02-19 00:00:00|1993-03-17 00:00:00|1993|3|17|1|IODINE-129|2|pCi/L|2|pCi/L|23565854|15246926|205.80000000000001|207.90000000000001|175.90000000000001|165.90000000000001
1013051|FSB 90C|436809.36|3681892.96|33.2759523405|-81.6785435166|1993-04-03 00:00:00|1993-02-20 00:00:00|1993-04-03 00:00:00|1993|4|3|2|IODINE-129|3.41|pCi/L|2|pCi/L|23565835|15246962|276.10000000000002|278.60000000000002|170.60000000000002|160.60000000000002
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|1993-03-02 00:00:00|1993-01-25 00:00:00|1993-03-02 00:00:00|1993|3|2|1|IODINE-129|2|pCi/L|2|pCi/L|23565920|15245764|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
1013100|FSB113C|437012.67|3681580.32|33.2731443425|-81.6763387564|1993-03-17 00:00:00|1993-02-19 00:00:00|1993-03-17 00:00:00|1993|3|17|1|IODINE-129|2|pCi/L|2|pCi/L|23565856|15246938|221|223.09999999999999|166.09999999999999|156.09999999999999
1013045|FSB 87C|436511.93|3681755.21|33.2746924154|-81.681727479|1993-03-10 00:00:00|1993-02-16 00:00:00|1993-03-10 00:00:00|1993|3|10|1|IODINE-129|2|pCi/L|2|pCi/L|23565868|15246832|285.64999999999998|287.97000000000003|161.97000000000003|151.47000000000003
1013107|FSB116C|437162.07|3681148.15|33.2692550457|-81.6747046631|1993-06-21 00:00:00|1993-05-12 00:00:00|1993-06-21 00:00:00|1993|6|21|2|IODINE-129|2|pCi/L|2|pCi/L|23565424|15249622|200.5|203.34|173.34|163.34
1013103|FSB114C|437044.36|3682028.44|33.2771880666|-81.6760296485|1993-06-18 00:00:00|1993-05-11 00:00:00|1993-06-18 00:00:00|1993|6|18|2|IODINE-129|2|pCi/L|2|pCi/L|23565435|15249548|250.09999999999999|253|170.80000000000001|160.80000000000001
1013042|FSB 79C|436876.13|3681295.23|33.2705649532|-81.6777849256|1993-06-10 00:00:00|1993-05-04 00:00:00|1993-06-10 00:00:00|1993|6|10|2|IODINE-129|42.1|pCi/L|2|pCi/L|23565463|15252974|216.59999999999999|218.69999999999999|161.69999999999999|151.89999999999998
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-08-04 00:00:00|1993-07-18 00:00:00|1993-08-04 00:00:00|1993|8|4|3|IODINE-129|2|pCi/L|2|pCi/L|23575930|15254950|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013042|FSB 79C|436876.13|3681295.23|33.2705649532|-81.6777849256|1993-03-17 00:00:00|1993-02-17 00:00:00|1993-03-17 00:00:00|1993|3|17|1|IODINE-129|47.5|pCi/L|2|pCi/L|23565859|15246848|216.59999999999999|218.69999999999999|161.69999999999999|151.89999999999998
1013063|FSB 95CR|436591.72|3681590.93|33.2732153684|-81.6808592553|1993-04-07 00:00:00|1993-02-19 00:00:00|1993-04-07 00:00:00|1993|4|7|2|IODINE-129|87.1|pCi/L|2|pCi/L|23565807|15246910|281.89999999999998|284.39999999999998|164.39999999999998|154.39999999999998
1013049|FSB 89C|436827.25|3681970.17|33.2766497935|-81.6783568105|1993-03-23 00:00:00|1993-02-20 00:00:00|1993-03-23 00:00:00|1993|3|23|1|IODINE-129|2|pCi/L|2|pCi/L|23565850|15246952|279.10000000000002|281.5|168.5|158.5
1013105|FSB115C|436975.58|3680933.25|33.2673058442|-81.6766919769|1993-06-21 00:00:00|1993-05-13 00:00:00|1993-06-21 00:00:00|1993|6|21|2|IODINE-129|2|pCi/L|2|pCi/L|23565426|15249646|205.80000000000001|207.90000000000001|175.90000000000001|165.90000000000001
1013072|FSB 98C|436555.41|3681707.45|33.274264198|-81.6812572791|1993-06-15 00:00:00|1993-05-10 00:00:00|1993-06-15 00:00:00|1993|6|15|2|IODINE-129|79.1|pCi/L|2|pCi/L|23565451|15249498|282.39999999999998|284.60000000000002|160.60000000000002|150.60000000000002
1013086|FSB106C|436900.76|3681509.93|33.2725029081|-81.6775354354|1993-04-17 00:00:00|1993-02-24 00:00:00|1993-04-17 00:00:00|1993|4|17|2|IODINE-129|90|pCi/L|2|pCi/L|23565760|15247190|233|235.30000000000001|168.30000000000001|158.30000000000001
1013088|FSB107C|436847.37|3681845.66|33.2755279397|-81.6781320904|1993-06-07 00:00:00|1993-05-07 00:00:00|1993-06-07 00:00:00|1993|6|7|2|IODINE-129|2|pCi/L|2|pCi/L|23565476|15253096|268.94999999999999|271.39999999999998|163.39999999999998|153.39999999999998
1013081|FSB104C|436612.14|3681180.16|33.2695115799|-81.6806112614|1993-06-21 00:00:00|1993-05-11 00:00:00|1993-06-21 00:00:00|1993|6|21|2|IODINE-129|9.36|pCi/L|2|pCi/L|23565447|15249532|217.00999999999999|219.61000000000001|163.61000000000001|153.61000000000001
1013083|FSB105C|436510.69|3681619.5|33.2734682906|-81.6817312804|1993-04-15 00:00:00|1993-02-24 00:00:00|1993-04-15 00:00:00|1993|4|15|2|IODINE-129|58.3|pCi/L|2|pCi/L|23565776|15247184|283.5|286.19|154.19|144.19
1013086|FSB106C|436900.76|3681509.93|33.2725029081|-81.6775354354|1993-06-17 00:00:00|1993-05-09 00:00:00|1993-06-17 00:00:00|1993|6|17|2|IODINE-129|66.8|pCi/L|2|pCi/L|23565443|15253148|233|235.30000000000001|168.30000000000001|158.30000000000001
1013057|FSB 93C|436726.39|3681649.54|33.2737519193|-81.6794173917|1993-06-05 00:00:00|1993-05-06 00:00:00|1993-06-05 00:00:00|1993|6|5|2|IODINE-129|3.79|pCi/L|2|pCi/L|23565591|15253040|274.25|276.75|154.75|144.75
1013116|FSB122C|436350.93|3680993.49|33.2678125024|-81.6834026509|1993-04-14 00:00:00|1993-02-24 00:00:00|1993-04-14 00:00:00|1993|4|14|2|IODINE-129|6.34|pCi/L|2|pCi/L|23565785|15247224|216.25999999999999|218.97|172.97|162.97
1013113|FSB120C|436292.27|3681579.45|33.2730941721|-81.6840736541|1993-06-22 00:00:00|1993-05-13 00:00:00|1993-06-22 00:00:00|1993|6|22|2|IODINE-129|4.45|pCi/L|2|pCi/L|23565420|15249626|277.92000000000002|279.89999999999998|162.89999999999998|152.89999999999998
1013097|FSB112C|436436.7|3681186.21|33.2695558221|-81.6824953128|1993-06-16 00:00:00|1993-05-11 00:00:00|1993-06-16 00:00:00|1993|6|16|2|IODINE-129|131|pCi/L|2|pCi/L|23565440|15249520|227.09999999999999|229.87|141.87|131.87
1013116|FSB122C|436350.93|3680993.49|33.2678125024|-81.6834026509|1993-06-22 00:00:00|1993-05-13 00:00:00|1993-06-22 00:00:00|1993|6|22|2|IODINE-129|10.3|pCi/L|2|pCi/L|23565418|15249660|216.25999999999999|218.97|172.97|162.97
1013059|FSB 94C|436662.9|3681592.66|33.2732351558|-81.6800951135|1993-06-14 00:00:00|1993-05-06 00:00:00|1993-06-14 00:00:00|1993|6|14|2|IODINE-129|103|pCi/L|2|pCi/L|23565457|15253026|278.80000000000001|281.30000000000001|152.30000000000001|142.30000000000001
1013081|FSB104C|436612.14|3681180.16|33.2695115799|-81.6806112614|1993-03-30 00:00:00|1993-02-21 00:00:00|1993-03-30 00:00:00|1993|3|30|1|IODINE-129|3.43|pCi/L|1|pCi/L|23565825|15247048|217.00999999999999|219.61000000000001|163.61000000000001|153.61000000000001
1013092|FSB110C|436777.3|3681420.28|33.2716870673|-81.6788547636|1993-06-17 00:00:00|1993-05-09 00:00:00|1993-06-17 00:00:00|1993|6|17|2|IODINE-129|5.87|pCi/L|2|pCi/L|23565473|15253166|232.47999999999999|235.03999999999999|150.03999999999999|140.03999999999999
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|1993-05-13 00:00:00|1993-04-21 00:00:00|1993-05-13 00:00:00|1993|5|13|2|IODINE-129|2|pCi/L|2|pCi/L|23565624|15252612|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
1013080|FSB103C|436650.83|3681335.5|33.2709149614|-81.6802067253|1993-06-18 00:00:00|1993-05-11 00:00:00|1993-06-18 00:00:00|1993|6|18|2|IODINE-129|2|pCi/L|2|pCi/L|23565449|15249536|240.09999999999999|242.59999999999999|159.59999999999999|149.59999999999999
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-05-05 00:00:00|1993-04-08 00:00:00|1993-05-05 00:00:00|1993|5|5|2|IODINE-129|2|pCi/L|2|pCi/L|23565669|15251726|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013113|FSB120C|436292.27|3681579.45|33.2730941721|-81.6840736541|1993-04-07 00:00:00|1993-02-24 00:00:00|1993-04-07 00:00:00|1993|4|7|2|IODINE-129|6.83|pCi/L|2|pCi/L|23565779|15247210|277.92000000000002|279.89999999999998|162.89999999999998|152.89999999999998
1013053|FSB 91C|436791.71|3681816.19|33.2752588699|-81.6787276735|1993-03-29 00:00:00|1993-02-21 00:00:00|1993-03-29 00:00:00|1993|3|29|1|IODINE-129|43.6|pCi/L|2|pCi/L|23565831|15247004|277|279.39999999999998|161.49999999999997|151.49999999999997
1013069|FSB 97C|436555.62|3681631.62|33.273580253|-81.6812497127|1993-06-14 00:00:00|1993-05-06 00:00:00|1993-06-14 00:00:00|1993|6|14|2|IODINE-129|86.9|pCi/L|2|pCi/L|23565453|15253020|283.80000000000001|286.30000000000001|156.30000000000001|146.30000000000001
1013075|FSB 99C|436551.44|3681818.57|33.2752662238|-81.68130769|1993-03-29 00:00:00|1993-02-21 00:00:00|1993-03-29 00:00:00|1993|3|29|1|IODINE-129|10.8|pCi/L|2|pCi/L|23565817|15247022|285.19999999999999|288.06|170.06|160.06
1013097|FSB112C|436436.7|3681186.21|33.2695558221|-81.6824953128|1993-04-15 00:00:00|1993-02-24 00:00:00|1993-04-15 00:00:00|1993|4|15|2|IODINE-129|149|pCi/L|2|pCi/L|23565780|15247170|227.09999999999999|229.87|141.87|131.87
1013057|FSB 93C|436726.39|3681649.54|33.2737519193|-81.6794173917|1993-03-30 00:00:00|1993-02-21 00:00:00|1993-03-30 00:00:00|1993|3|30|1|IODINE-129|6.98|pCi/L|2|pCi/L|23565830|15247040|274.25|276.75|154.75|144.75
1013080|FSB103C|436650.83|3681335.5|33.2709149614|-81.6802067253|1993-04-05 00:00:00|1993-02-21 00:00:00|1993-04-05 00:00:00|1993|4|5|2|IODINE-129|2|pCi/L|2|pCi/L|23565832|15247052|240.09999999999999|242.59999999999999|159.59999999999999|149.59999999999999
1013053|FSB 91C|436791.71|3681816.19|33.2752588699|-81.6787276735|1993-06-05 00:00:00|1993-05-06 00:00:00|1993-06-05 00:00:00|1993|6|5|2|IODINE-129|28.6|pCi/L|2|pCi/L|23565461|15253056|277|279.39999999999998|161.49999999999997|151.49999999999997
1013115|FSB121C|436176.21|3681346.43|33.2709855591|-81.6853033744|1993-05-26 00:00:00|1993-05-09 00:00:00|1993-05-26 00:00:00|1993|5|26|2|IODINE-129|2|pCi/L|2|pCi/L|23565364|15253124|254.40000000000001|256.60000000000002|160.60000000000002|150.60000000000002
1013115|FSB121C|436176.21|3681346.43|33.2709855591|-81.6853033744|1993-06-16 00:00:00|1993-05-09 00:00:00|1993-06-16 00:00:00|1993|6|16|2|IODINE-129|2|pCi/L|2|pCi/L|23565466|15253124|254.40000000000001|256.60000000000002|160.60000000000002|150.60000000000002
1013115|FSB121C|436176.21|3681346.43|33.2709855591|-81.6853033744|1993-06-08 00:00:00|1993-05-09 00:00:00|1993-06-08 00:00:00|1993|6|8|2|IODINE-129|2|pCi/L|2|pCi/L|23565470|15253124|254.40000000000001|256.60000000000002|160.60000000000002|150.60000000000002
1013059|FSB 94C|436662.9|3681592.66|33.2732351558|-81.6800951135|1993-04-08 00:00:00|1993-02-21 00:00:00|1993-04-08 00:00:00|1993|4|8|2|IODINE-129|122|pCi/L|2|pCi/L|23565806|15246988|278.80000000000001|281.30000000000001|152.30000000000001|142.30000000000001
1013088|FSB107C|436847.37|3681845.66|33.2755279397|-81.6781320904|1993-04-14 00:00:00|1993-02-24 00:00:00|1993-04-14 00:00:00|1993|4|14|2|IODINE-129|2.1|pCi/L|2|pCi/L|23565789|15247636|268.94999999999999|271.39999999999998|163.39999999999998|153.39999999999998
1013115|FSB121C|436176.21|3681346.43|33.2709855591|-81.6853033744|1993-04-13 00:00:00|1993-02-24 00:00:00|1993-04-13 00:00:00|1993|4|13|2|IODINE-129|2|pCi/L|2|pCi/L|23565787|15247206|254.40000000000001|256.60000000000002|160.60000000000002|150.60000000000002
1013075|FSB 99C|436551.44|3681818.57|33.2752662238|-81.68130769|1993-06-17 00:00:00|1993-05-08 00:00:00|1993-06-17 00:00:00|1993|6|17|2|IODINE-129|8.13|pCi/L|2|pCi/L|23565481|15253100|285.19999999999999|288.06|170.06|160.06
1013094|FSB111C|436902.34|3681960.79|33.2765695868|-81.6775498803|1993-06-17 00:00:00|1993-05-11 00:00:00|1993-06-17 00:00:00|1993|6|17|2|IODINE-129|2|pCi/L|2|pCi/L|23565472|15249552|274|276.5|171.5|161.5
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|1993-06-03 00:00:00|1993-05-04 00:00:00|1993-06-03 00:00:00|1993|6|3|2|IODINE-129|2|pCi/L|2|pCi/L|23565574|15252950|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-06-24 00:00:00|1993-06-08 00:00:00|1993-06-24 00:00:00|1993|6|24|2|IODINE-129|2|pCi/L|2|pCi/L|23565409|15250854|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013079|FSB102C|437054.85|3681393.25|33.2714595041|-81.6758728684|1993-06-17 00:00:00|1993-05-09 00:00:00|1993-06-17 00:00:00|1993|6|17|2|IODINE-129|36|pCi/L|2|pCi/L|23565477|15253158|198.90000000000001|201.30000000000001|158.30000000000001|148.30000000000001
1013100|FSB113C|437012.67|3681580.32|33.2731443425|-81.6763387564|1993-06-21 00:00:00|1993-05-12 00:00:00|1993-06-21 00:00:00|1993|6|21|2|IODINE-129|2|pCi/L|2|pCi/L|23565427|15249618|221|223.09999999999999|166.09999999999999|156.09999999999999
1013063|FSB 95CR|436591.72|3681590.93|33.2732153684|-81.6808592553|1993-06-15 00:00:00|1993-05-06 00:00:00|1993-06-15 00:00:00|1993|6|15|2|IODINE-129|106|pCi/L|2|pCi/L|23565455|15253072|281.89999999999998|284.39999999999998|164.39999999999998|154.39999999999998
1013118|FSB123C|437104.01|3681799.82|33.2751294821|-81.6753732769|1993-06-22 00:00:00|1993-05-13 00:00:00|1993-06-22 00:00:00|1993|6|22|2|IODINE-129|2|pCi/L|2|pCi/L|23565416|15249670|236.30000000000001|238.30000000000001|167.30000000000001|157.30000000000001
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-06-02 00:00:00|1993-05-03 00:00:00|1993-06-02 00:00:00|1993|6|2|2|IODINE-129|2|pCi/L|2|pCi/L|23565582|15252924|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
