STATION_SEQ|STATION_ID|EASTING|NORTHING|LATITUDE|LONGITUDE|ANALYSIS_DATE|COLLECTION_DATE|MDATE|MYEAR|MMONTH|MDAY|MQUARTER|ANALYTE_NAME|RESULT|RESULT_UNITS|PQL|PQL_UNITS|RESULT_SEQ|SAMPLE_SEQ|GROUND_ELEVATION|REFERENCE_ELEVATION|TOP_ELEV|BOTTOM_ELEV
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|1992-07-08 00:00:00|1992-07-04 00:00:00|1992-07-08 00:00:00|1992|7|8|3|NITRATE-NITRITE AS NITROGEN|1810|ug/L|50|ug/L|24358299|15239034|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|1992-07-13 00:00:00|1992-07-04 00:00:00|1992-07-13 00:00:00|1992|7|13|3|NITRATE-NITRITE AS NITROGEN|1600|ug/L|50|ug/L|24313672|15239034|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013103|FSB114C|437044.36|3682028.44|33.2771880666|-81.6760296485|1992-07-08 00:00:00|1992-07-04 00:00:00|1992-07-08 00:00:00|1992|7|8|3|NITRATE-NITRITE AS NITROGEN|2260|ug/L|50|ug/L|24448363|15239040|250.09999999999999|253|170.80000000000001|160.80000000000001
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|1992-07-11 00:00:00|1992-07-04 00:00:00|1992-07-11 00:00:00|1992|7|11|3|NITRATE|1720|ug/L|20|ug/L|24457686|15239034|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|1992-07-11 00:00:00|1992-07-04 00:00:00|1992-07-11 00:00:00|1992|7|11|3|NITRATE|1730|ug/L|20|ug/L|24389869|15239034|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013100|FSB113C|437012.67|3681580.32|33.2731443425|-81.6763387564|1992-07-08 00:00:00|1992-07-04 00:00:00|1992-07-08 00:00:00|1992|7|8|3|NITRATE-NITRITE AS NITROGEN|3700|ug/L|50|ug/L|24380612|15239050|221|223.09999999999999|166.09999999999999|156.09999999999999
1013038|FSB 78C|436677.79|3681567.13|33.2730057595|-81.6799334541|1992-07-16 00:00:00|1992-07-05 00:00:00|1992-07-16 00:00:00|1992|7|16|3|NITRATE-NITRITE AS NITROGEN|295000|ug/L|50|ug/L|24313636|15239072|271.39999999999998|273.60000000000002|153.60000000000002|143.80000000000001
1013105|FSB115C|436975.58|3680933.25|33.2673058442|-81.6766919769|1992-07-08 00:00:00|1992-07-04 00:00:00|1992-07-08 00:00:00|1992|7|8|3|NITRATE-NITRITE AS NITROGEN|580|ug/L|50|ug/L|24470929|15239056|205.80000000000001|207.90000000000001|175.90000000000001|165.90000000000001
1013105|FSB115C|436975.58|3680933.25|33.2673058442|-81.6766919769|1992-07-08 00:00:00|1992-07-04 00:00:00|1992-07-08 00:00:00|1992|7|8|3|NITRATE-NITRITE AS NITROGEN|580|ug/L|50|ug/L|24403211|15239056|205.80000000000001|207.90000000000001|175.90000000000001|165.90000000000001
1013107|FSB116C|437162.07|3681148.15|33.2692550457|-81.6747046631|1992-07-08 00:00:00|1992-07-04 00:00:00|1992-07-08 00:00:00|1992|7|8|3|NITRATE-NITRITE AS NITROGEN|930|ug/L|50|ug/L|24448368|15239044|200.5|203.34|173.34|163.34
