STATION_SEQ	STATION_ID	EASTING	NORTHING	REFERENCE_ELEVATION	TOP_DEPTH	BOTTOM_DEPTH
1012919	F    1	436807.57	3681975.25	281.9	24.5	29.5
1012920	F    2	436839.25	3682025.71	281.4	63.2	73.2
1012921	F    3	436845.56	3682022.05	279.6	62.1	72.1
1012922	F    4	436856.96	3682014.74	280.1	61.4	71.4
1012923	F    5	436839.83	3682014.56	279.6	16	21
1012924	F    6	436790.2	3681916.89	278.1	3	13
1012925	F    7	436802.2	3681913.26	277.6	4	14
1012926	F    8	436791.62	3681813.52	277.7	61.7	71.7
1012927	F    9	436752.81	3681713.17	269.3	55.5	65.5
1012928	F   10	436676.67	3681710.58	280.1	1	11
1012929	F   11	436676.89	3681710.03	280.8	63.3	73.3
1012930	F   12	436666.76	3681608.43	280.1	7	17
1012931	F   13	436667.08	3681599.55	279.5	7	17
1012932	F   14	436632.34	3681547.08	275.7	0	0
1012933	F   15	436827.88	3681655.09	253.5	0	0
1012934	F   16	436674.46	3681498.59	255.9	0	0
1012935	F   17	436834.89	3681504.68	239.8	0	0
1012936	F   18	436770.48	3681407.59	237.1	0	0
1012938	F   19	436649.72	3681348.22	243.9	0	0
1012939	F   20	436297.41	3681461.53	281.7	0	0
1012940	F   21	436088.77	3681315.3	282	0	0
1012941	F   22	435879.8	3681265.32	282.8	0	0
1012942	F   23	436532.54	3681720.54	282.2	0	0
1012943	F   24	436729.26	3682093.24	291	0	0
1012944	F   25	436905.74	3681850.39	260.9	0	0
1012945	F   26	436563.26	3681785.46	286.2	0	0
1012946	F   27	436500.29	3681767.89	286.4	0	0
1012947	F   28	436520.12	3681658.32	286.3	0	0
1012948	F   29	436523.71	3681593.85	285.7	0	0
1012949	F   30	436521.32	3681537.08	284.5	0	0
1012950	F   31	436473.86	3681662.34	284.6	0	0
1012951	F   32	436953.92	3682715.08	294.2	0	0
1012952	F   33	436460	3681536.92	291.5	0	0
1012953	F   34	436585.75	3681580.59	282.7	0	0
1015099	F   35	436882.67	3681998	277.4	0	0
1015100	F   36	436818.31	3681805.28	271.6	0	0
1015101	F   37	436758.6	3681708.68	271	0	0
1015102	F   38	436632.5	3681546.4	276.2	0	0
1015103	F   39	436531.81	3681717.34	281.9	0	0
1015104	F   40	436842.44	3682292.46	272.5	0	0
1015105	F   41	435768.06	3683100.49	275.1	0	0
1015106	F   42	437448.9	3682114.31	254	0	0
1015107	F   43	437765.16	3683438.66	280.3	0	0
1015108	F   44	437315.7	3684299.44	261.3	0	0
1015109	F   45	438717.5	3682205.98	279.1	0	0
1015110	F   46	440248.55	3682695.62	300.2	0	0
1015111	F   47	439463.66	3682417.86	251.4	0	0
1015112	F   48	440245.35	3683615.92	296.3	0	0
1015113	F   49	435455.65	3682636.01	232.2	0	0
1015114	F   50	436508.41	3683789.43	272	0	0
1015115	F   51	437577.34	3684196.3	260.8	0	0
1015116	F   52	439905.88	3684945.34	293.1	0	0
1015117	F   53	439622.98	3682191.24	261	0	0
1015118	F   54	441029.39	3682753.72	286.5	0	0
1015119	F   55	437745.8	3683448.68	272.1	0	0
1015120	F   56	437742.42	3683434.16	272.1	0	0
1015124	F   58	437737.94	3683440.32	270.8	0	0
1015125	F   59	437748.69	3683437.98	274.6	0	0
1015126	F   60	436860.44	3682016.11	280.4	0	0
1015127	F   77	436738.84	3681716.15	272	0	0
1015153	FSB  0PD	436638.91	3681454.66	254.9	37.3	81
1015154	FSB 25PD	436637.15	3681447.65	254.6	35.9	81
1015155	FSB 50PD	436635.74	3681471.84	258	35.9	81
1013030	FSB 76	436732.48	3682122.94	294.4	65	95
1013034	FSB 77	436747.53	3681752.41	273.4	55	85
1013035	FSB 78	436677.96	3681564.05	272.7	53	83
1013039	FSB 79	436869.23	3681288.35	218	12	42
1013046	FSB 87D	436509.9	3681751.63	287.6	68.5	97.9
1013048	FSB 88D	436859.74	3682019.67	282.5	58	78
1013050	FSB 89D	436825.82	3681967.27	281.61	57	77
1013052	FSB 90D	436808.49	3681890.06	279.08	51	71
1013054	FSB 91D	436791.03	3681813.55	279.69	56	76
1013056	FSB 92D	436724.22	3681703.93	276.4	52	72
1013058	FSB 93D	436726.51	3681646.31	276.55	56	76
1013060	FSB 94D	436666.02	3681592.82	281.1	57	77
1013061	FSB 94DR	436658.67	3681589.61	281.27	75	95.1
1013064	FSB 95D	436601.29	3681588.7	284.3	54	74
1013065	FSB 95DR	436595.57	3681589.89	284.4	75	95
1013070	FSB 97D	436555.16	3681634.79	286.2	67	87
1013073	FSB 98D	436555.87	3681704.28	284.6	62	82
1013076	FSB 99D	436551.56	3681821.67	287.8	67	87
1015156	FSB100PD	436663.05	3681458.4	252.9	35.4	75.5
1013082	FSB104D	436615.14	3681179.56	219.4	6.5	26.5
1013084	FSB105D	436510.19	3681622.94	285.8	60	80
1013085	FSB105DR	436509.61	3681627.72	286.27	75	95.1
1013087	FSB106D	436896.66	3681508.04	235.61	10	30
1013089	FSB107D	436846.54	3681842.5	271.2	47.8	67.8
1013090	FSB108D	436650.39	3682108.07	298.2	72	92
1013091	FSB109D	436561.94	3681891.12	293.3	65	85
1013093	FSB110D	436774.62	3681419.31	234.7	21.5	41.5
1013095	FSB111D	436899.85	3681958.82	276.8	52.7	72.7
1013098	FSB112D	436433.73	3681182.62	230.39	18.7	38.7
28079297	FSB112DR	436442.132	3681193.707	230.04	50.04	60.05
1013101	FSB113D	437017.23	3681581.41	222.6	11	31
1013104	FSB114D	437042.39	3682023.28	252.4	32.4	52.5
1013106	FSB115D	436975.69	3680929.11	208.7	14	24
1013108	FSB116D	437157.74	3681145.72	203.1	4.5	14.5
1013109	FSB117D	436881.7	3681450.94	230.9	19	39
1013110	FSB118D	436963.66	3681747.11	243.4	30	50
1013111	FSB119D	436814.81	3681601.74	254.3	39	59
1013114	FSB120D	436287.06	3681582.78	280.61	62	82
1015157	FSB121D	436176.29	3681351.12	256.3	39	59
1014757	FSB121DR	436180.98	3681348.47	256.52	42	62
1013117	FSB122D	436355.5	3680990.67	217.8	9	29
1013119	FSB123D	437100.86	3681796.02	238.3	22	42
28661808	FSB124D	436430.434	3681393.92	259.41	66.06	76.06
28661809	FSB125D	436761.282	3681487.733	244.16	55.12	65.14
29191793	FSB125DR	436766.8	3681484	243.98	55	65
28661810	FSB126D	436740.272	3681381.343	239.77	53.79	63.8
28661811	FSB127D	437035.989	3681484.472	214.13	28.99	34
28661812	FSB128D	436212.504	3681134.69	249.19	55.07	65.07
28661813	FSB129D	436239.507	3680896.825	225.15	19.01	29.01
28578762	FSB130D	436743.637	3681291.874	234.79	35	45.01
28661814	FSB131D	436736.59	3681261.453	229.05	28.02	38.02
28661815	FSB132D	436587.224	3681202.619	222.48	27.06	37.05
28661816	FSB133D	436541.774	3681128.633	220.35	17.81	27.82
28661817	FSB134D	436507.234	3681156.376	223.3	29.67	39.67
28661818	FSB135D	436407.977	3681079.14	222.11	33.06	43.05
28661819	FSB136D	436420.123	3681045.886	217.99	16.17	26.17
28661820	FSB137D	436454.876	3680970.429	203.28	15	20
28661821	FSB138D	436632.232	3681090.045	210.93	22.5	27.5
1015158	FSB150PD	436594.47	3681447.41	259.4	35.9	81
