STATION_SEQ|STATION_ID|EASTING|NORTHING|LATITUDE|LONGITUDE|ANALYSIS_DATE|COLLECTION_DATE|MDATE|MYEAR|MMONTH|MDAY|MQUARTER|ANALYTE_NAME|RESULT|RESULT_UNITS|PQL|PQL_UNITS|RESULT_SEQ|SAMPLE_SEQ|GROUND_ELEVATION|REFERENCE_ELEVATION|TOP_ELEV|BOTTOM_ELEV
1013073|FSB 98D|436555.87|3681704.28|33.2742356329|-81.6812521179|2008-02-26 00:00:00|2008-02-07 00:00:00|2008-02-26 00:00:00|2008|2|26|1|STRONTIUM-90|21.6|pCi/L|9.17|pCi/L|31570310|31448039|282.30000000000001|284.60000000000002|222.60000000000002|202.60000000000002
1013065|FSB 95DR|436595.57|3681589.89|33.2732062144|-81.6808178449|2007-08-11 00:00:00|2007-07-30 00:00:00|2007-08-11 00:00:00|2007|8|11|3|STRONTIUM-90|153|pCi/L|23.5|pCi/L|31235465|30980564|282|284.39999999999998|209.39999999999998|189.39999999999998
28578762|FSB130D|436743.637|3681291.874|33.2705269|-81.67920723|2007-08-21 00:00:00|2007-08-06 00:00:00|2007-08-21 00:00:00|2007|8|21|3|STRONTIUM-90|9.31|pCi/L|8.38|pCi/L|31258040|30922620|231.96000000000001|234.78999999999999|199.78999999999999|189.78
1015623|FSL  7D|436722.93|3682186.17|33.278591912|-81.6794920359|2007-08-22 00:00:00|2007-08-09 00:00:00|2007-08-22 00:00:00|2007|8|22|3|STRONTIUM-90|18.2|pCi/L|13.1|pCi/L|31258437|30922632|285.60000000000002|287.60000000000002|221.60000000000002|201.50000000000003
1015623|FSL  7D|436722.93|3682186.17|33.278591912|-81.6794920359|2007-08-22 00:00:00|2007-08-09 00:00:00|2007-08-22 00:00:00|2007|8|22|3|STRONTIUM-90|13.8|pCi/L|12.1|pCi/L|31258445|30922632|285.60000000000002|287.60000000000002|221.60000000000002|201.50000000000003
28528971|FSP 47A|436993.762|3681360.76|33.27116289|-81.6765265|2008-06-10 00:00:00|2008-05-28 00:00:00|2008-06-10 00:00:00|2008|6|10|2|STRONTIUM-90|136|pCi/L|6.3|pCi/L|31686399|31665473|198.30000000000001|200.68000000000001|189.18000000000001|186.69
28528971|FSP 47A|436993.762|3681360.76|33.27116289|-81.6765265|2008-06-10 00:00:00|2008-05-28 00:00:00|2008-06-10 00:00:00|2008|6|10|2|STRONTIUM-90|125|pCi/L|5.6|pCi/L|31686417|31665473|198.30000000000001|200.68000000000001|189.18000000000001|186.69
28679102|FSP204A|436612.996|3680960.787|33.26753297|-81.68058672|2008-06-10 00:00:00|2008-05-28 00:00:00|2008-06-10 00:00:00|2008|6|10|2|STRONTIUM-90|331|pCi/L|14.6|pCi/L|31686436|31665474|190.5|192.91999999999999|180.69|178.19999999999999
24790143|FSP249B|436418.523|3680752.661|33.2656443|-81.68266005|2008-06-26 00:00:00|2008-06-04 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|73.6|pCi/L|21.9|pCi/L|31690613|31651667|185.69999999999999|187.88999999999999|184.88999999999999|179.88999999999999
24790142|FSP249A|436418.964|3680751.569|33.26563448|-81.68265524|2008-06-26 00:00:00|2008-06-04 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|72.5|pCi/L|21.4|pCi/L|31690615|31651666|185.5|188.24000000000001|175.74000000000001|173.24000000000001
24790145|FSP  2B|436773.406|3680895.287|33.2669516|-81.67885993|2008-06-26 00:00:00|2008-06-04 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|10.2|pCi/L|8.38|pCi/L|31690614|31651669|183.80000000000001|186.78999999999999|183.78999999999999|178.78999999999999
25388918|FPZ  3A|436694.150696|3680989.00548|33.2677922551|-81.6797173891|2008-06-26 00:00:00|2008-06-04 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|22.9|pCi/L|11.1|pCi/L|31690612|31651670|194|196.97|193.83000000000001|178.82999999999998
1016748|FPZ  7B|436967.8166081|3681207.44099727|33.2697784921|-81.6767944033|2008-06-26 00:00:00|2008-06-04 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|6.81|pCi/L|7.54|pCi/L|31690616|31651665|194.52000000000001|196.40000000000001|196|191.02000000000001
1016747|FPZ  7A|436967.8166081|3681207.44099727|33.2697784921|-81.6767944033|2008-06-26 00:00:00|2008-06-04 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|33|pCi/L|13.4|pCi/L|31690617|31651664|194.5|196.16|188.41|185.91
1016745|FPZ  6A|436872.77744615|3681120.54362076|33.2689891509|-81.6778087487|2008-06-26 00:00:00|2008-06-04 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|295|pCi/L|66.9|pCi/L|31690608|31651662|189.40000000000001|191.53999999999999|180.16|177.66
1016745|FPZ  6A|436872.77744615|3681120.54362076|33.2689891509|-81.6778087487|2008-06-26 00:00:00|2008-06-04 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|257|pCi/L|58.6|pCi/L|31690609|31651662|189.40000000000001|191.53999999999999|180.16|177.66
28528971|FSP 47A|436993.762|3681360.76|33.27116289|-81.6765265|2008-06-26 00:00:00|2008-06-05 00:00:00|2008-06-26 00:00:00|2008|6|26|2|STRONTIUM-90|99.7|pCi/L|27.1|pCi/L|31690620|31651656|198.30000000000001|200.68000000000001|189.18000000000001|186.69
1013082|FSB104D|436615.14|3681179.56|33.2695063444|-81.6805790096|2008-02-27 00:00:00|2008-02-05 00:00:00|2008-02-27 00:00:00|2008|2|27|1|STRONTIUM-90|0.686|pCi/L|4.18|pCi/L|31591038|31448047|216.90000000000001|219.40000000000001|212.90000000000001|192.90000000000001
1015609|FSL  8D|436778.78|3682123.89|33.2780334473|-81.678887987|2008-02-22 00:00:00|2008-02-05 00:00:00|2008-02-22 00:00:00|2008|2|22|1|STRONTIUM-90|-0.344|pCi/L|4.29|pCi/L|31591166|31448092|288.80000000000001|290.80000000000001|224.80000000000001|204.70000000000002
1015622|FSL  9D|436837.61|3682058.81|33.2774498992|-81.6782517526|2008-02-27 00:00:00|2008-02-05 00:00:00|2008-02-27 00:00:00|2008|2|27|1|STRONTIUM-90|1.4|pCi/L|4.53|pCi/L|31591198|31448094|283.5|286.60000000000002|224.60000000000002|204.50000000000003
28661820|FSB137D|436454.876|3680970.429|33.26761063|-81.68228502|2008-02-21 00:00:00|2008-02-06 00:00:00|2008-02-21 00:00:00|2008|2|21|1|STRONTIUM-90|13.6|pCi/L|12.7|pCi/L|31592113|31448088|200.61000000000001|203.28|188.28|183.28
28661810|FSB126D|436740.272|3681381.343|33.2713337|-81.67924961|2008-03-02 00:00:00|2008-02-07 00:00:00|2008-03-02 00:00:00|2008|3|2|1|STRONTIUM-90|226|pCi/L|20.3|pCi/L|31595429|31448078|236.86000000000001|239.77000000000001|185.98000000000002|175.97000000000003
29191793|FSB125DR|436766.8|3681484|33.27226118|-81.67897195|2008-03-02 00:00:00|2008-02-07 00:00:00|2008-03-02 00:00:00|2008|3|2|1|STRONTIUM-90|359|pCi/L|26.6|pCi/L|31595457|31448090|240.75|243.97999999999999|188.97999999999999|178.97999999999999
1015608|FSL  6D|436709.94|3682329.47|33.2798836596|-81.6796415345|2008-03-02 00:00:00|2008-02-07 00:00:00|2008-03-02 00:00:00|2008|3|2|1|STRONTIUM-90|7|pCi/L|7.54|pCi/L|31595487|31448091|284.10000000000002|286.80000000000001|224.80000000000001|204.80000000000001
1013090|FSB108D|436650.39|3682108.07|33.2778832202|-81.6802654854|2008-03-06 00:00:00|2008-02-11 00:00:00|2008-03-06 00:00:00|2008|3|6|1|STRONTIUM-90|1.98|pCi/L|6.26|pCi/L|31599271|31448049|295.80000000000001|298.19999999999999|226.19999999999999|206.19999999999999
1015812|BRR  6D|436491.87|3682298.04|33.2795873481|-81.681980935|2008-03-06 00:00:00|2008-02-20 00:00:00|2008-03-06 00:00:00|2008|3|6|1|STRONTIUM-90|0.0361|pCi/L|6.08|pCi/L|31604013|31470823|294.30000000000001|296.19999999999999|221.19999999999999|201.29999999999998
1012775|BRR  5D|436190.8|3682152.67|33.2782583899|-81.6852035257|2008-03-06 00:00:00|2008-02-19 00:00:00|2008-03-06 00:00:00|2008|3|6|1|STRONTIUM-90|-0.0131|pCi/L|6.15|pCi/L|31604010|31470820|292.60000000000002|294.80000000000001|224.30000000000001|204.30000000000001
1012771|BRR  1D|436315.82|3682280.8|33.2794214641|-81.6838701154|2008-03-06 00:00:00|2008-02-21 00:00:00|2008-03-06 00:00:00|2008|3|6|1|STRONTIUM-90|0.286|pCi/L|6.25|pCi/L|31604014|31470819|293.80000000000001|296.19999999999999|222.79999999999998|202.79999999999998
29767690|FGW012 D|436263.94266|3681955.8927|33.27648786|-81.6844043|2008-03-06 00:00:00|2008-02-21 00:00:00|2008-03-06 00:00:00|2008|3|6|1|STRONTIUM-90|0.107|pCi/L|6.15|pCi/L|31604015|31470855||286.55000000000001|211.55000000000001|191.55000000000001
28677656|FSP-12A|436755.266|3681184.762|33.26956149|-81.6790749|2008-03-14 00:00:00|2008-03-03 00:00:00|2008-03-14 00:00:00|2008|3|14|1|STRONTIUM-90|0.18|pCi/L|0.87|pCi/L|31624855|31490584|200.69999999999999|203.37|191.45000000000002|188.94
28677656|FSP-12A|436755.266|3681184.762|33.26956149|-81.6790749|2008-03-14 00:00:00|2008-03-03 00:00:00|2008-03-14 00:00:00|2008|3|14|1|STRONTIUM-90|0.35|pCi/L|0.92|pCi/L|31624867|31490584|200.69999999999999|203.37|191.45000000000002|188.94
1016741|FPZ  2A|436546.23207576|3681074.67576295|33.2685562759|-81.6813114996|2008-03-14 00:00:00|2008-03-03 00:00:00|2008-03-14 00:00:00|2008|3|14|1|STRONTIUM-90|1.59|pCi/L|1.08|pCi/L|31624885|31490587|201.19999999999999|203.41|194.06|191.56
28679102|FSP204A|436612.996|3680960.787|33.26753297|-81.68058672|2008-03-14 00:00:00|2008-03-03 00:00:00|2008-03-14 00:00:00|2008|3|14|1|STRONTIUM-90|329|pCi/L|13.9|pCi/L|31624903|31490586|190.5|192.91999999999999|180.69|178.19999999999999
24790143|FSP249B|436418.523|3680752.661|33.2656443|-81.68266005|2007-10-15 00:00:00|2007-09-18 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|82.4|pCi/L|23.7|pCi/L|31380056|31180520|185.69999999999999|187.88999999999999|184.88999999999999|179.88999999999999
24790142|FSP249A|436418.964|3680751.569|33.26563448|-81.68265524|2007-10-15 00:00:00|2007-09-18 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|88.3|pCi/L|25.1|pCi/L|31380054|31180519|185.5|188.24000000000001|175.74000000000001|173.24000000000001
1016746|FPZ  6B|436872.77744615|3681120.54362076|33.2689891509|-81.6778087487|2007-10-15 00:00:00|2007-09-17 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|31.8|pCi/L|13.4|pCi/L|31380048|31180516|189.40000000000001|191.59999999999999|189.31999999999999|184.31999999999999
28679101|FSP226A|436556.675|3680922.679|33.26718594|-81.68118874|2007-10-15 00:00:00|2007-09-18 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|58.4|pCi/L|19|pCi/L|31380055|31180511|189.5|192.00999999999999|179.91999999999999|177.41
28528971|FSP 47A|436993.762|3681360.76|33.27116289|-81.6765265|2007-10-15 00:00:00|2007-09-19 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|118|pCi/L|31.3|pCi/L|31380062|31180509|198.30000000000001|200.68000000000001|189.18000000000001|186.69
28679102|FSP204A|436612.996|3680960.787|33.26753297|-81.68058672|2007-10-15 00:00:00|2007-09-18 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|277|pCi/L|62.7|pCi/L|31380057|31180512|190.5|192.91999999999999|180.69|178.19999999999999
1016741|FPZ  2A|436546.23207576|3681074.67576295|33.2685562759|-81.6813114996|2007-10-15 00:00:00|2007-09-17 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|2.41|pCi/L|6.4|pCi/L|31380052|31180513|201.19999999999999|203.41|194.06|191.56
1016742|FPZ  4A|436782.35308005|3681237.51346308|33.2700388782|-81.6787877549|2007-10-15 00:00:00|2007-09-18 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|1.48|pCi/L|5.76|pCi/L|31380053|31180514|203.09999999999999|205.94|197.30000000000001|194.80000000000001
1016745|FPZ  6A|436872.77744615|3681120.54362076|33.2689891509|-81.6778087487|2007-10-15 00:00:00|2007-09-17 00:00:00|2007-10-15 00:00:00|2007|10|15|4|STRONTIUM-90|392|pCi/L|86.5|pCi/L|31380049|31180515|189.40000000000001|191.53999999999999|180.16|177.66
