Years,H.3.sw,Sr.90.sw,Cs.137.sw,I.129.sw,Tc.99.sw
1954,,,,,
1955,,,,,
1956,,,,,
1957,,,,,
1958,,,,,
1959,,,,,
1960,,,,,
1961,,,,,
1962,,,,,
1963,,,,,
1964,,,,,
1965,,,,,
1966,,,,,
1967,2.60E+03,,,,
1968,2.89E+03,3.93E-01,,,
1969,2.59E+03,4.40E-01,,,
1970,2.59E+03,4.45E-01,,,
1971,2.30E+03,1.59E+00,,,
1972,3.49E+03,1.13E+00,,,
1973,4.19E+03,1.61E+00,,,
1974,3.18E+03,1.20E+00,,,
1975,2.08E+03,1.06E+00,,,
1976,2.65E+03,8.90E-01,,,
1977,3.66E+03,6.50E-01,,,
1978,3.45E+03,4.50E-01,,,
1979,2.16E+03,4.40E-01,,,
1980,1.51E+03,3.80E-01,,,
1981,1.11E+03,2.48E-01,,,
1982,2.77E+03,2.10E-01,,,
1983,2.57E+03,2.44E-01,,,
1984,2.32E+03,2.00E-01,,,
1985,2.69E+03,1.10E-01,,,
1986,1.80E+03,1.60E-01,,,
1987,2.76E+03,1.91E-01,,,
1988,3.33E+03,1.19E-01,,,
1989,4.44E+03,9.95E-02,,,
1990,3.57E+03,1.63E-01,,,
1991,5.75E+03,4.60E-01,,,
1992,4.26E+03,1.94E-01,0.047,,
1993,2.18E+03,0.15,,0.022,
1994,2.88E+03,0.078,0.003,0.074,
1995,2.37E+03,0.111,,0.01,
1996,1.62E+03,0.0682,2.98E-02,0.0782,
1997,1.00E+03,0.105,,,
1998,1.48E+03,0.0843,5.50E-02,,
1999,6.48E+02,0.0593,1.78E-02,,
2000,3.53E+02,0.0328,,,
2001,2.84E+02,0.0146,,,0.0426
2002,2.26E+02,0.0249,,,0.0154
2003,5.55E+02,0.0763,6.98E-02,,
2004,5.26E+02,0.0694,,,0.00217
2005,6.30E+02,0.00937,,0.00744,
2006,6.90E+01,0.0146,2.66E-02,0.00751,0.0043
2007,1.54E+02,0.0222,,0.00922,
2008,7.10E+01,0.0126,,0.0196,0.00358
2009,2.70E+01,,,0.0346,0.0111
2010,3.40E+01,0.00367,0.0257,0.02193,0.0118
2011,1.30E+01,0.0037,,0.0131,0.00825
