STATION_SEQ|STATION_ID|EASTING|NORTHING|LATITUDE|LONGITUDE|ANALYSIS_DATE|COLLECTION_DATE|MDATE|MYEAR|MMONTH|MDAY|MQUARTER|ANALYTE_NAME|RESULT|RESULT_UNITS|PQL|PQL_UNITS|RESULT_SEQ|SAMPLE_SEQ|GROUND_ELEVATION|REFERENCE_ELEVATION|TOP_ELEV|BOTTOM_ELEV
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-01-23 00:00:00|1993-01-11 00:00:00|1993-01-23 00:00:00|1993|1|23|1|TECHNETIUM-99|300|pCi/L|300|pCi/L|22900680|15244734|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-03-01 00:00:00|1993-02-11 00:00:00|1993-03-01 00:00:00|1993|3|1|1|TECHNETIUM-99|300|pCi/L|300|pCi/L|22900485|15246282|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013047|FSB 88C|436857.95|3682017.46|33.2770781296|-81.6780304674|1993-03-09 00:00:00|1993-02-18 00:00:00|1993-03-09 00:00:00|1993|3|9|1|TECHNETIUM-99|300|pCi/L|300|pCi/L|22900430|15246884|280.39999999999998|283.10000000000002|171.10000000000002|161.10000000000002
1013069|FSB 97C|436555.62|3681631.62|33.273580253|-81.6812497127|1993-03-22 00:00:00|1993-02-21 00:00:00|1993-03-22 00:00:00|1993|3|22|1|TECHNETIUM-99|13600|pCi/L|300|pCi/L|22900364|15246972|283.80000000000001|286.30000000000001|156.30000000000001|146.30000000000001
1013105|FSB115C|436975.58|3680933.25|33.2673058442|-81.6766919769|1993-03-09 00:00:00|1993-02-19 00:00:00|1993-03-09 00:00:00|1993|3|9|1|TECHNETIUM-99|300|pCi/L|300|pCi/L|22900417|15246926|205.80000000000001|207.90000000000001|175.90000000000001|165.90000000000001
1013038|FSB 78C|436677.79|3681567.13|33.2730057595|-81.6799334541|1993-05-22 00:00:00|1993-02-19 00:00:00|1993-05-22 00:00:00|1993|5|22|2|TECHNETIUM-99|8400|pCi/L|300|pCi/L|22900139|15246902|271.39999999999998|273.60000000000002|153.60000000000002|143.80000000000001
1013038|FSB 78C|436677.79|3681567.13|33.2730057595|-81.6799334541|1993-03-29 00:00:00|1993-02-19 00:00:00|1993-03-29 00:00:00|1993|3|29|1|TECHNETIUM-99|6140|pCi/L|300|pCi/L|22900350|15246902|271.39999999999998|273.60000000000002|153.60000000000002|143.80000000000001
1013059|FSB 94C|436662.9|3681592.66|33.2732351558|-81.6800951135|1993-03-29 00:00:00|1993-02-21 00:00:00|1993-03-29 00:00:00|1993|3|29|1|TECHNETIUM-99|8210|pCi/L|300|pCi/L|22900340|15246988|278.80000000000001|281.30000000000001|152.30000000000001|142.30000000000001
1013049|FSB 89C|436827.25|3681970.17|33.2766497935|-81.6783568105|1993-03-09 00:00:00|1993-02-20 00:00:00|1993-03-09 00:00:00|1993|3|9|1|TECHNETIUM-99|300|pCi/L|300|pCi/L|22900410|15246952|279.10000000000002|281.5|168.5|158.5
1013051|FSB 90C|436809.36|3681892.96|33.2759523405|-81.6785435166|1993-03-11 00:00:00|1993-02-20 00:00:00|1993-03-11 00:00:00|1993|3|11|1|TECHNETIUM-99|548|pCi/L|300|pCi/L|22900381|15246962|276.10000000000002|278.60000000000002|170.60000000000002|160.60000000000002
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|1993-02-12 00:00:00|1993-01-25 00:00:00|1993-02-12 00:00:00|1993|2|12|1|TECHNETIUM-99|300|pCi/L|300|pCi/L|22900549|15245764|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
1013045|FSB 87C|436511.93|3681755.21|33.2746924154|-81.681727479|1993-03-03 00:00:00|1993-02-16 00:00:00|1993-03-03 00:00:00|1993|3|3|1|TECHNETIUM-99|701|pCi/L|300|pCi/L|22900448|15246832|285.64999999999998|287.97000000000003|161.97000000000003|151.47000000000003
1013042|FSB 79C|436876.13|3681295.23|33.2705649532|-81.6777849256|1993-03-09 00:00:00|1993-02-17 00:00:00|1993-03-09 00:00:00|1993|3|9|1|TECHNETIUM-99|6650|pCi/L|300|pCi/L|22900429|15246848|216.59999999999999|218.69999999999999|161.69999999999999|151.89999999999998
1013118|FSB123C|437104.01|3681799.82|33.2751294821|-81.6753732769|1993-03-01 00:00:00|1993-02-12 00:00:00|1993-03-01 00:00:00|1993|3|1|1|TECHNETIUM-99|300|pCi/L|300|pCi/L|22900480|15246356|236.30000000000001|238.30000000000001|167.30000000000001|157.30000000000001
1013100|FSB113C|437012.67|3681580.32|33.2731443425|-81.6763387564|1993-03-09 00:00:00|1993-02-19 00:00:00|1993-03-09 00:00:00|1993|3|9|1|TECHNETIUM-99|300|pCi/L|300|pCi/L|22900422|15246938|221|223.09999999999999|166.09999999999999|156.09999999999999
1013063|FSB 95CR|436591.72|3681590.93|33.2732153684|-81.6808592553|1993-03-29 00:00:00|1993-02-19 00:00:00|1993-03-29 00:00:00|1993|3|29|1|TECHNETIUM-99|7160|pCi/L|300|pCi/L|22900345|15246910|281.89999999999998|284.39999999999998|164.39999999999998|154.39999999999998
1013092|FSB110C|436777.3|3681420.28|33.2716870673|-81.6788547636|1993-04-03 00:00:00|1993-02-25 00:00:00|1993-04-03 00:00:00|1993|4|3|2|TECHNETIUM-99|1070|pCi/L|300|pCi/L|22900285|15247256|232.47999999999999|235.03999999999999|150.03999999999999|140.03999999999999
1013505|HSB143C|437504.53|3681779.12|33.2749660659|-81.6710713468|1993-05-20 00:00:00|1993-04-21 00:00:00|1993-05-20 00:00:00|1993|5|20|2|TECHNETIUM-99|300|pCi/L|300|pCi/L|22899998|15252612|220.09999999999999|222.40000000000001|181.40000000000001|171.40000000000001
1013103|FSB114C|437044.36|3682028.44|33.2771880666|-81.6760296485|1993-06-01 00:00:00|1993-05-11 00:00:00|1993-06-01 00:00:00|1993|6|1|2|TECHNETIUM-99|300|pCi/L|300|pCi/L|22899630|15249548|250.09999999999999|253|170.80000000000001|160.80000000000001
1013097|FSB112C|436436.7|3681186.21|33.2695558221|-81.6824953128|1993-06-11 00:00:00|1993-05-11 00:00:00|1993-06-11 00:00:00|1993|6|11|2|TECHNETIUM-99|13000|pCi/L|300|pCi/L|22899641|15249520|227.09999999999999|229.87|141.87|131.87
1013033|FSB 76C|436739.58|3682117.11|33.2779699948|-81.6793084288|1993-05-21 00:00:00|1993-05-03 00:00:00|1993-05-21 00:00:00|1993|5|21|2|TECHNETIUM-99|300|pCi/L|300|pCi/L|22899921|15252924|291.30000000000001|293.80000000000001|167.80000000000001|157.30000000000001
1013063|FSB 95CR|436591.72|3681590.93|33.2732153684|-81.6808592553|1993-06-08 00:00:00|1993-05-06 00:00:00|1993-06-08 00:00:00|1993|6|8|2|TECHNETIUM-99|17300|pCi/L|300|pCi/L|22899661|15253072|281.89999999999998|284.39999999999998|164.39999999999998|154.39999999999998
